Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,class
A11,6,A34,A43,1169,A65,__NOISE__Attribute7__144178437638,4,A93,A101,4,A121,67,A143,A152,2,A173,1,A192,A201,1
A12,48,A32,A43,5951,A61,A73,2,A92,A101,2,A121,22,A143,A152,8.649149948119662,A173,1,A191,A201,2
A14,12,A34,A46,2096,A61,A74,2,A93,A101,3,A121,49,A143,A152,1,A172,2,A191,A201,1
A11,42,A32,A42,7882,A61,A74,2,A93,A103,9.766708882357143,A122,45,A143,A153,1,A173,2,A191,A201,1
A11,24,A33,A40,4870,A61,A73,5.813327024074617,A93,A101,4,A124,53,A143,A153,2,A173,2,A191,A201,2
A14,36,A32,A46,9055,A65,A73,7.0471242089638215,A93,A101,4,__NOISE__Attribute12__52264408884,35,A143,__NOISE__Attribute15__92162113096,1,A172,2,A192,A201,1
A14,24,A32,A42,2835,A63,A75,3,A93,A101,4,A122,53,A143,A152,1,A173,1,A191,A201,1
A12,36,A32,A41,6948,A61,A73,2,A93,A101,2,A123,35,A143,A151,1,A174,1,A192,A201,1
A14,12,A32,A43,3059,A64,A74,2,__NOISE__Attribute9__274197317651,A101,4,A121,61,A143,A152,-10.802202312008312,A172,1,A191,A201,1
A12,30,A34,A40,5234,A61,A71,4,A94,A101,2,A123,28,A143,A152,2,A174,1,A191,A201,2
A12,12,A32,A40,1295,A61,A72,3,A92,A101,1,A123,25,A143,A151,1,A173,1,A191,A201,2
A11,48,A32,A49,4308,__NOISE__Attribute6__821061575070,A72,3,A92,A101,4,__NOISE__Attribute12__626838637799,24,A143,A151,1,A173,1,A191,A201,2
A12,12,A32,A43,1567,A61,A73,1,A92,A101,1,A123,22,A143,A152,1,A173,1,A192,A201,1
A11,24,A34,A40,1199,A61,A75,4,A93,A101,4,A123,60,A143,A152,2,A172,1,A191,A201,2
A11,15,A32,A40,1403,A61,A73,2,A92,A101,4,A123,28,A143,A151,1,A173,1,A191,A201,1
A11,24,A32,A43,1282,A62,A73,4,A92,A101,2,A123,32,A143,A152,1,A172,1,A191,A201,2
A14,24,A34,A43,2424,A65,A75,4,A93,A101,4,A122,53,A143,A152,2,A173,1,A191,A201,1
A11,30,A30,A49,8072,A65,A72,2,A93,A101,3,A123,25,A141,A152,3,A173,1,A191,A201,1
A12,24,A32,A41,12579,__NOISE__Attribute6__223740213341,A75,4,A92,A101,2,A124,44,A143,A153,1,A174,1,A192,A201,2
A14,24,A32,A43,3430,A63,A75,3,A93,A101,2,A123,31,A143,A152,1,A173,2,A192,A201,1
A14,9,A34,A40,2134,A61,A73,4,A93,A101,4,A123,48,A143,A152,3,A173,1,A192,A201,1
A11,6,A32,A43,2647,__NOISE__Attribute6__234443699292,A73,2,A93,A101,3,A121,44,A143,A151,1,A173,2,A191,A201,1
A11,10,A34,A40,2241,A61,A72,1,A93,A101,3,A121,48,A143,A151,2,A172,2,A191,A202,1
A12,12,A34,A41,1804,A62,A72,3,A93,A101,4,A122,44,A143,__NOISE__Attribute15__258822457905,1,A173,1,A191,A201,1
A14,10,A34,A42,2069,A65,A73,2,A94,A101,1,A123,26,A143,A152,2,A173,1,A191,A202,1
A11,6,A32,A42,1374,A61,A73,1,A93,A101,2,A121,36,A141,__NOISE__Attribute15__958349817847,1,A172,1,A192,A201,1
A14,6,A30,A43,426,A61,A75,4,A94,A101,4,A123,39,A143,__NOISE__Attribute15__436768210413,1,A172,1,__NOISE__Attribute19__568068514787,A201,1
A13,12,A31,A43,409,__NOISE__Attribute6__619646921419,A73,3,__NOISE__Attribute9__709632665258,A101,3,A121,42,A143,A151,5.507864857114411,A173,1,A191,A201,1
A12,7,A32,A43,2415,A61,A73,-9.568608054710579,A93,A103,2,__NOISE__Attribute12__847977549843,34,A143,A152,1,A173,1,A191,A201,1
A11,60,A33,A49,6836,A61,A75,3,A93,A101,4,A124,63,A143,A152,2,A173,1,A192,A201,2
A12,18,A32,A49,1913,A64,A72,3,A94,A101,3,A121,36,A141,A152,1,A173,1,A192,A201,1
A11,24,A32,A42,4020,__NOISE__Attribute6__548760469941,A73,2,A93,A101,2,A123,27,A142,A152,1,A173,1,A191,A201,1
A12,18,A32,A40,5866,A62,A73,2,A93,A101,2,A123,30,A143,A152,9.539013365056464,A173,1,A192,A201,1
A14,12,A34,A49,1264,A65,A75,4,A93,A101,4,A124,57,A143,A151,1,A172,1,A191,A201,1
A13,12,A32,A42,1474,A61,A72,13.964164269175802,A92,A101,1,A122,33,A141,A152,16.132664820258306,A174,1,A192,A201,1
A12,45,A34,A43,4746,A61,__NOISE__Attribute7__51409772899,4,A93,A101,2,A122,25,A143,__NOISE__Attribute15__199365213557,2,A172,1,A191,A201,2
A14,48,A34,A46,6110,A61,__NOISE__Attribute7__880285341987,1,A93,A101,3,A124,31,A141,A153,1,A173,1,__NOISE__Attribute19__610535033173,A201,1
A13,18,A32,A43,2100,A61,__NOISE__Attribute7__526818709942,-9.568608054710579,A93,A102,2,A121,37,A142,A152,1,A173,1,A191,A201,2
A13,10,A32,A44,1225,A61,A73,2,A93,A101,2,A123,37,A143,A152,1,A173,1,A192,A201,1
A12,9,A32,A43,458,A61,__NOISE__Attribute7__360802186693,4,A93,A101,3,A121,24,A143,__NOISE__Attribute15__199365213557,1,A173,1,A191,A201,1
A14,30,A32,A43,2333,A63,A75,4,A93,A101,-9.194579681312064,A123,30,A141,__NOISE__Attribute15__496574155463,1,A174,1,A191,A201,1
A12,12,A32,A43,1158,A63,A73,3,A91,A101,1,A123,26,A143,A152,10.793087301162316,A173,1,A192,A201,1
A12,18,A33,A45,6204,A61,A73,2,A93,A101,4,A121,44,A143,A152,-6.675599463751767,A172,2,A192,A201,1
A11,30,A34,A41,6187,A62,A74,1,A94,A101,4,A123,24,A143,A151,2,A173,1,__NOISE__Attribute19__485506503504,A201,1
A11,48,A34,A41,6143,A61,__NOISE__Attribute7__689144920939,4,A92,A101,-9.096722154860467,A124,58,A142,A153,2,A172,1,A191,A201,2
A14,11,A34,A40,1393,A61,__NOISE__Attribute7__502859337581,4,__NOISE__Attribute9__577653010530,A101,4,A123,35,A143,A152,2,A174,1,A191,A201,1
A14,36,A32,A43,2299,A63,A75,4,A93,A101,4,A123,39,A143,A152,1,A173,1,A191,A201,1
A11,6,A32,A41,1352,A63,A71,1,A92,A101,6.814958053607053,A122,23,A143,A151,1,A171,1,A192,A201,1
A14,11,A34,A40,7228,A61,A73,1,A93,A101,4,A122,39,A143,A152,2,A172,1,A191,A201,1
A14,12,A32,A43,2073,A62,A73,4,A92,A102,2,A121,28,A143,__NOISE__Attribute15__958349817847,1,A173,1,A191,A201,1
A12,24,A33,A42,2333,A65,A72,4,A93,A101,2,A122,29,A141,A152,1,A172,1,A191,A201,1
A12,27,A33,A41,5965,A61,A75,1,A93,A101,2,A123,30,A143,A152,2,A174,1,A192,A201,1
A14,12,A32,A43,1262,A61,A73,3,A93,A101,2,A123,25,A143,A152,1,A173,1,A191,A201,1
A14,18,A32,A41,3378,A65,A73,2,A93,A101,1,__NOISE__Attribute12__578611909978,31,A143,A152,5.507864857114411,A173,1,__NOISE__Attribute19__126428503607,A201,1
A12,36,A33,A40,2225,A61,A75,4,A93,A101,4,A124,57,A141,__NOISE__Attribute15__418734263802,2,A173,1,A192,A201,2
A14,6,A31,A40,783,__NOISE__Attribute6__904128144202,__NOISE__Attribute7__689144920939,1,A93,A103,2,A121,26,A142,A152,1,A172,2,__NOISE__Attribute19__514133195635,A201,1
A12,12,A32,A43,6468,A65,A71,2,A93,A101,1,A124,52,A143,A152,1,A174,1,A192,A201,2
A14,36,A34,A43,9566,A61,A73,2,A92,A101,-8.484533486946194,A123,31,A142,A152,2,A173,1,A191,A201,1
A13,18,A32,A40,1961,A61,A75,3,A92,A101,2,A123,23,A143,A152,1,A174,1,A191,A201,1
A11,36,A34,A42,6229,__NOISE__Attribute6__504595089672,A72,4,A92,A102,4,A124,23,A143,A151,2,A172,1,A192,A201,2
A12,9,A32,A49,1391,__NOISE__Attribute6__162637008220,A73,2,A94,A101,1,A121,27,A141,A152,1,A173,1,A192,A201,1
A12,15,A34,A43,1537,A65,A75,4,A93,A103,4,__NOISE__Attribute12__288614355697,50,A143,A152,2,A173,1,A192,A201,1
A12,36,A30,A49,1953,A61,__NOISE__Attribute7__502859337581,4,A93,A101,4,__NOISE__Attribute12__295416964311,61,A143,A153,1,A174,1,A192,A201,2
A12,48,A30,A49,14421,A61,A73,2,A93,A101,2,A123,25,A143,A152,1,A173,1,A192,A201,2
A14,24,A32,A43,3181,__NOISE__Attribute6__234443699292,A72,4,__NOISE__Attribute9__452796555760,A101,4,A122,26,A143,A152,1,A173,1,A192,A201,1
A14,27,A32,A45,5190,A65,A75,4,__NOISE__Attribute9__87777773599,A101,4,A122,48,A143,A152,4,A173,2,A192,A201,1
A14,12,A32,A43,2171,__NOISE__Attribute6__105986515058,A72,2,A92,A101,2,A123,29,A141,A152,1,A173,1,A191,A201,1
A12,12,A32,A40,1007,A64,A73,4,A94,A101,1,A121,22,A143,A152,1,A173,1,__NOISE__Attribute19__568068514787,A201,1
A14,36,A32,A46,1819,A61,__NOISE__Attribute7__689144920939,4,A93,A101,4,A124,37,A142,A153,1,A173,1,A192,A201,2
A14,36,A32,A43,2394,A65,A73,-4.385995693984155,A92,A101,4,A123,25,A143,A152,1,A173,1,A191,A201,1
A14,36,A32,A41,8133,A61,A73,1,A92,A101,-3.6730899862359,A122,30,A141,A152,1,A173,1,__NOISE__Attribute19__541142536417,A201,1
A14,7,A34,A43,730,A65,A75,4,A93,A101,2,A122,46,A143,__NOISE__Attribute15__418734263802,2,A172,1,A192,A201,1
A11,8,A34,A410,1164,A61,__NOISE__Attribute7__120049575159,3,A93,A101,4,A124,51,A141,A153,2,A174,2,A192,A201,1
A12,42,A34,A49,5954,__NOISE__Attribute6__270912945452,A74,2,A92,A101,1,A121,41,A141,A152,2,A172,1,A191,A201,1
A11,36,A32,A46,1977,A65,A75,4,A93,A101,4,A124,40,A143,A152,1,A174,1,A192,A201,2
A11,12,A34,A41,1526,A61,__NOISE__Attribute7__364588468103,4,A93,A101,4,A124,66,A143,A153,2,A174,1,A191,A201,1
A11,42,A32,A43,3965,A61,A72,4,A93,A101,3,A123,34,A143,__NOISE__Attribute15__473005604426,1,A173,1,A191,A201,2
A12,11,A33,A43,4771,A61,A74,2,A93,A101,4,A122,51,A143,A152,1,A173,1,A191,A201,1
A14,54,A30,A41,9436,A65,A73,2,A93,A101,2,A122,39,A143,A152,8.827919216507993,A172,2,A191,A201,1
A12,30,A32,A42,3832,__NOISE__Attribute6__234443699292,A72,2,A94,A101,1,A122,22,A143,A152,5.507864857114411,A173,1,A191,A201,1
A14,24,A32,A43,5943,A65,A72,1,A92,A101,1,A123,44,A143,A152,2,A173,1,__NOISE__Attribute19__484464666738,A201,2
A14,15,A32,A43,1213,__NOISE__Attribute6__105986515058,A75,4,A93,A101,3,A122,47,A142,A152,1,A173,1,A192,A201,1
A14,18,A32,A49,1568,A62,A73,3,A92,A101,4,A122,24,A143,A151,1,A172,1,A191,A201,1
A11,24,A32,A410,1755,A61,A75,4,A92,A103,4,A121,58,A143,A152,1,A172,1,A192,A201,1
A11,10,A32,A43,2315,A61,A75,3,A93,A101,4,A121,52,A143,A152,1,A172,1,A191,A201,1
A14,12,A34,A49,1412,A61,A73,4,A92,A103,11.924333333120966,A121,29,A143,A152,2,A174,1,A192,A201,1
A12,18,A34,A42,1295,A61,A72,4,A92,A101,1,A122,27,A143,A152,2,A173,1,A191,A201,1
A12,36,A32,A46,12612,__NOISE__Attribute6__729675835863,A73,-9.568608054710579,A93,A101,4,A124,47,A143,A153,1,A173,2,A192,A201,2
A11,18,A32,A40,2249,A62,A74,4,A93,A101,3,A123,30,A143,A152,1,A174,2,A192,A201,1
