VENTTUBE,PULMEMBOLUS,INTUBATION,MINVOL,VENTALV,SHUNT,VENTLUNG,PRESS
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,NORMAL
LOW,False,NORMAL,HIGH,HIGH,NORMAL,LOW,HIGH
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,HIGH
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,LOW
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,NORMAL
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,LOW
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,LOW
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,LOW
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,LOW
LOW,False,NORMAL,HIGH,HIGH,NORMAL,LOW,NORMAL
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,LOW
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,HIGH
LOW,False,ONESIDED,LOW,LOW,HIGH,LOW,HIGH
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,HIGH
LOW,False,NORMAL,HIGH,HIGH,NORMAL,LOW,NORMAL
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,LOW
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,LOW
LOW,False,NORMAL,ZERO,ZERO,HIGH,ZERO,NORMAL
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,HIGH
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,NORMAL
HIGH,False,ONESIDED,HIGH,LOW,HIGH,HIGH,HIGH
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,LOW
ZERO,False,ONESIDED,NORMAL,NORMAL,HIGH,ZERO,LOW
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,HIGH
ZERO,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,NORMAL
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,NORMAL
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,LOW
LOW,False,NORMAL,ZERO,ZERO,HIGH,ZERO,LOW
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,LOW
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,NORMAL
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,LOW
LOW,False,ESOPHAGEAL,ZERO,ZERO,NORMAL,LOW,HIGH
ZERO,False,NORMAL,HIGH,HIGH,NORMAL,LOW,HIGH
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,HIGH
ZERO,False,NORMAL,HIGH,HIGH,NORMAL,LOW,HIGH
LOW,False,NORMAL,ZERO,ZERO,HIGH,ZERO,LOW
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,HIGH
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,HIGH
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,HIGH
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,LOW
NORMAL,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,ZERO
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,NORMAL
LOW,False,NORMAL,ZERO,LOW,NORMAL,ZERO,NORMAL
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,NORMAL
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,HIGH
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,HIGH
HIGH,False,NORMAL,HIGH,HIGH,NORMAL,LOW,LOW
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,HIGH
LOW,False,NORMAL,LOW,NORMAL,NORMAL,NORMAL,LOW
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,NORMAL
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,NORMAL
ZERO,False,NORMAL,HIGH,HIGH,NORMAL,LOW,HIGH
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,NORMAL
ZERO,False,NORMAL,HIGH,HIGH,NORMAL,LOW,HIGH
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,LOW
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,LOW
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,HIGH
NORMAL,False,NORMAL,LOW,LOW,HIGH,HIGH,HIGH
ZERO,False,NORMAL,HIGH,HIGH,NORMAL,LOW,HIGH
LOW,False,ESOPHAGEAL,LOW,HIGH,NORMAL,NORMAL,HIGH
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,HIGH
HIGH,False,ESOPHAGEAL,ZERO,HIGH,NORMAL,NORMAL,HIGH
HIGH,False,NORMAL,HIGH,HIGH,NORMAL,LOW,LOW
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,NORMAL
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,LOW
LOW,False,NORMAL,NORMAL,ZERO,NORMAL,ZERO,LOW
LOW,False,NORMAL,ZERO,NORMAL,NORMAL,NORMAL,NORMAL
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,NORMAL
ZERO,False,NORMAL,HIGH,HIGH,NORMAL,LOW,HIGH
LOW,False,ONESIDED,ZERO,LOW,HIGH,LOW,HIGH
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,LOW
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,LOW
LOW,False,NORMAL,HIGH,HIGH,NORMAL,LOW,NORMAL
HIGH,False,NORMAL,HIGH,HIGH,NORMAL,LOW,LOW
HIGH,False,NORMAL,HIGH,HIGH,NORMAL,LOW,LOW
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,HIGH
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,HIGH
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,HIGH
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,HIGH
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,NORMAL
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,NORMAL
LOW,False,NORMAL,LOW,ZERO,NORMAL,ZERO,NORMAL
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,LOW
LOW,False,ESOPHAGEAL,LOW,HIGH,NORMAL,ZERO,HIGH
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,LOW
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,NORMAL
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,HIGH
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,NORMAL
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,NORMAL
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,HIGH
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,LOW
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,HIGH
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,LOW
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,NORMAL
HIGH,False,NORMAL,HIGH,HIGH,NORMAL,LOW,LOW
LOW,False,ONESIDED,LOW,LOW,HIGH,LOW,HIGH
ZERO,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,ZERO
HIGH,False,NORMAL,HIGH,HIGH,NORMAL,LOW,LOW
ZERO,False,NORMAL,HIGH,HIGH,NORMAL,LOW,HIGH
LOW,False,ONESIDED,ZERO,LOW,HIGH,LOW,HIGH
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,HIGH
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,HIGH
ZERO,False,ONESIDED,NORMAL,NORMAL,HIGH,ZERO,LOW
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,HIGH
ZERO,False,NORMAL,HIGH,HIGH,NORMAL,LOW,HIGH
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,NORMAL
LOW,False,NORMAL,ZERO,HIGH,NORMAL,ZERO,HIGH
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,LOW
LOW,False,NORMAL,ZERO,ZERO,NORMAL,ZERO,HIGH
