VENTMACH,VENTTUBE,HYPOVOLEMIA,DISCONNECT,STROKEVOLUME,MINVOLSET
NORMAL,LOW,False,False,HIGH,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,True,False,LOW,NORMAL
NORMAL,LOW,True,False,LOW,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,False,False,LOW,NORMAL
NORMAL,LOW,False,False,LOW,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,True,False,NORMAL,NORMAL
NORMAL,LOW,True,False,LOW,NORMAL
NORMAL,LOW,False,False,LOW,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,False,False,LOW,NORMAL
NORMAL,LOW,False,False,LOW,NORMAL
NORMAL,LOW,True,False,LOW,NORMAL
HIGH,HIGH,False,False,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,ZERO,False,True,NORMAL,NORMAL
NORMAL,LOW,True,False,NORMAL,NORMAL
NORMAL,ZERO,False,True,NORMAL,NORMAL
NORMAL,LOW,True,False,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,ZERO,True,True,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
LOW,ZERO,True,False,LOW,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,True,False,NORMAL,NORMAL
LOW,NORMAL,False,False,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,False,False,HIGH,NORMAL
NORMAL,LOW,True,False,HIGH,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
HIGH,HIGH,False,False,NORMAL,HIGH
NORMAL,LOW,True,False,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
ZERO,ZERO,True,True,LOW,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,ZERO,False,True,NORMAL,NORMAL
NORMAL,LOW,False,False,HIGH,NORMAL
NORMAL,LOW,True,False,LOW,NORMAL
NORMAL,LOW,True,False,LOW,NORMAL
HIGH,NORMAL,False,True,NORMAL,NORMAL
ZERO,ZERO,False,False,LOW,NORMAL
NORMAL,LOW,True,False,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
HIGH,HIGH,False,False,NORMAL,HIGH
HIGH,HIGH,False,False,NORMAL,HIGH
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,True,False,LOW,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,ZERO,False,True,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,False,False,LOW,NORMAL
NORMAL,LOW,True,False,NORMAL,NORMAL
HIGH,HIGH,True,False,NORMAL,HIGH
HIGH,HIGH,False,False,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,True,False,LOW,NORMAL
NORMAL,LOW,False,False,LOW,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,True,False,NORMAL,NORMAL
NORMAL,LOW,True,False,NORMAL,NORMAL
NORMAL,LOW,True,False,LOW,NORMAL
NORMAL,LOW,True,False,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,True,False,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,HIGH,False,False,LOW,NORMAL
NORMAL,LOW,True,False,NORMAL,NORMAL
LOW,ZERO,False,False,HIGH,LOW
HIGH,HIGH,False,False,HIGH,HIGH
LOW,ZERO,True,False,LOW,LOW
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,ZERO,True,True,LOW,NORMAL
NORMAL,LOW,True,False,LOW,NORMAL
LOW,ZERO,False,False,NORMAL,LOW
NORMAL,LOW,True,False,LOW,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
ZERO,ZERO,True,False,LOW,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,False,False,HIGH,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,True,False,LOW,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,True,False,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,ZERO,False,True,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,ZERO,False,True,NORMAL,NORMAL
ZERO,ZERO,False,False,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,False,False,LOW,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,True,False,LOW,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,True,False,NORMAL,NORMAL
LOW,LOW,False,False,NORMAL,LOW
NORMAL,LOW,True,False,LOW,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,True,False,NORMAL,NORMAL
HIGH,HIGH,False,False,NORMAL,NORMAL
NORMAL,LOW,True,False,NORMAL,NORMAL
NORMAL,LOW,True,False,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
ZERO,ZERO,False,True,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL
