VENTTUBE,LVFAILURE,INTUBATION,KINKEDTUBE,ARTCO2,PRESS,HISTORY
LOW,False,NORMAL,False,HIGH,NORMAL,False
LOW,False,NORMAL,False,LOW,HIGH,False
LOW,False,NORMAL,True,HIGH,HIGH,False
LOW,False,NORMAL,False,HIGH,LOW,False
LOW,True,NORMAL,False,HIGH,NORMAL,True
LOW,False,NORMAL,False,HIGH,LOW,False
LOW,False,NORMAL,False,HIGH,LOW,False
LOW,False,NORMAL,False,HIGH,LOW,False
LOW,True,NORMAL,False,HIGH,LOW,True
LOW,True,NORMAL,False,LOW,NORMAL,True
LOW,False,NORMAL,False,HIGH,LOW,False
LOW,False,NORMAL,False,HIGH,HIGH,False
LOW,False,ONESIDED,False,HIGH,HIGH,False
LOW,True,NORMAL,False,HIGH,HIGH,True
LOW,False,NORMAL,False,LOW,NORMAL,False
LOW,False,NORMAL,False,HIGH,LOW,False
LOW,False,NORMAL,False,HIGH,LOW,False
LOW,False,NORMAL,False,HIGH,NORMAL,False
LOW,True,NORMAL,False,HIGH,HIGH,True
LOW,False,NORMAL,False,HIGH,NORMAL,False
HIGH,False,ONESIDED,False,HIGH,HIGH,False
LOW,False,NORMAL,False,HIGH,LOW,False
ZERO,False,ONESIDED,False,NORMAL,LOW,False
LOW,False,NORMAL,False,HIGH,HIGH,False
ZERO,False,NORMAL,False,HIGH,NORMAL,False
LOW,False,NORMAL,False,HIGH,NORMAL,False
LOW,False,NORMAL,False,HIGH,LOW,False
LOW,False,NORMAL,False,HIGH,LOW,False
LOW,False,NORMAL,False,HIGH,LOW,False
LOW,False,NORMAL,False,HIGH,NORMAL,False
LOW,False,NORMAL,False,HIGH,LOW,False
LOW,False,ESOPHAGEAL,False,HIGH,HIGH,False
ZERO,False,NORMAL,False,LOW,HIGH,False
LOW,False,NORMAL,False,HIGH,HIGH,False
ZERO,False,NORMAL,False,LOW,HIGH,False
LOW,False,NORMAL,False,HIGH,LOW,False
LOW,False,NORMAL,False,NORMAL,HIGH,False
LOW,False,NORMAL,False,HIGH,HIGH,False
LOW,False,NORMAL,False,HIGH,HIGH,False
LOW,False,NORMAL,False,HIGH,LOW,False
NORMAL,False,NORMAL,True,HIGH,ZERO,False
LOW,False,NORMAL,True,HIGH,NORMAL,False
LOW,False,NORMAL,False,HIGH,NORMAL,False
LOW,False,NORMAL,False,HIGH,NORMAL,False
LOW,False,NORMAL,False,HIGH,HIGH,False
LOW,False,NORMAL,False,HIGH,HIGH,False
HIGH,False,NORMAL,False,LOW,LOW,False
LOW,False,NORMAL,False,HIGH,HIGH,False
LOW,False,NORMAL,False,NORMAL,LOW,False
LOW,False,NORMAL,False,HIGH,NORMAL,False
LOW,False,NORMAL,False,HIGH,NORMAL,False
ZERO,False,NORMAL,False,LOW,HIGH,False
LOW,False,NORMAL,False,HIGH,NORMAL,False
ZERO,False,NORMAL,False,LOW,HIGH,False
