MINVOL,TPR,ARTCO2,HR,CATECHOL
ZERO,HIGH,HIGH,HIGH,HIGH
HIGH,LOW,LOW,HIGH,HIGH
ZERO,LOW,HIGH,HIGH,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
ZERO,NORMAL,HIGH,NORMAL,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
ZERO,LOW,HIGH,HIGH,HIGH
ZERO,HIGH,HIGH,HIGH,HIGH
HIGH,HIGH,LOW,NORMAL,NORMAL
ZERO,HIGH,HIGH,HIGH,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
LOW,NORMAL,HIGH,HIGH,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
HIGH,HIGH,LOW,NORMAL,NORMAL
ZERO,HIGH,HIGH,HIGH,HIGH
ZERO,HIGH,HIGH,HIGH,HIGH
ZERO,LOW,HIGH,NORMAL,HIGH
ZERO,LOW,HIGH,HIGH,HIGH
ZERO,HIGH,HIGH,HIGH,HIGH
HIGH,HIGH,HIGH,HIGH,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
NORMAL,LOW,NORMAL,NORMAL,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
ZERO,LOW,HIGH,HIGH,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
ZERO,HIGH,HIGH,NORMAL,NORMAL
ZERO,LOW,HIGH,HIGH,HIGH
ZERO,LOW,HIGH,HIGH,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
ZERO,HIGH,HIGH,HIGH,HIGH
HIGH,HIGH,LOW,NORMAL,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
HIGH,NORMAL,LOW,NORMAL,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
ZERO,LOW,NORMAL,HIGH,HIGH
ZERO,NORMAL,HIGH,LOW,HIGH
ZERO,HIGH,HIGH,HIGH,HIGH
ZERO,HIGH,HIGH,HIGH,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
ZERO,HIGH,HIGH,HIGH,HIGH
ZERO,LOW,HIGH,HIGH,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
ZERO,LOW,HIGH,HIGH,HIGH
ZERO,HIGH,HIGH,HIGH,HIGH
HIGH,NORMAL,LOW,HIGH,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
LOW,HIGH,NORMAL,NORMAL,NORMAL
ZERO,LOW,HIGH,HIGH,HIGH
ZERO,LOW,HIGH,HIGH,HIGH
HIGH,HIGH,LOW,NORMAL,NORMAL
ZERO,HIGH,HIGH,HIGH,HIGH
HIGH,NORMAL,LOW,HIGH,HIGH
ZERO,HIGH,HIGH,HIGH,HIGH
ZERO,LOW,HIGH,HIGH,HIGH
ZERO,HIGH,HIGH,HIGH,HIGH
LOW,NORMAL,HIGH,HIGH,HIGH
HIGH,HIGH,NORMAL,LOW,NORMAL
LOW,LOW,LOW,HIGH,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
ZERO,NORMAL,NORMAL,HIGH,HIGH
HIGH,NORMAL,LOW,HIGH,HIGH
ZERO,LOW,HIGH,HIGH,HIGH
ZERO,HIGH,HIGH,HIGH,HIGH
NORMAL,LOW,HIGH,HIGH,HIGH
ZERO,LOW,LOW,HIGH,HIGH
ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,LOW,LOW,HIGH,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
ZERO,LOW,HIGH,HIGH,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
HIGH,NORMAL,LOW,HIGH,HIGH
HIGH,NORMAL,LOW,HIGH,HIGH
HIGH,HIGH,LOW,NORMAL,NORMAL
ZERO,LOW,NORMAL,HIGH,HIGH
ZERO,HIGH,HIGH,HIGH,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
ZERO,LOW,HIGH,NORMAL,HIGH
ZERO,HIGH,HIGH,HIGH,HIGH
ZERO,LOW,HIGH,HIGH,HIGH
LOW,NORMAL,HIGH,HIGH,HIGH
ZERO,LOW,HIGH,NORMAL,HIGH
LOW,NORMAL,NORMAL,HIGH,HIGH
ZERO,LOW,HIGH,HIGH,HIGH
ZERO,HIGH,HIGH,HIGH,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
ZERO,LOW,HIGH,NORMAL,HIGH
ZERO,HIGH,HIGH,NORMAL,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
ZERO,HIGH,HIGH,HIGH,NORMAL
ZERO,LOW,HIGH,HIGH,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
HIGH,NORMAL,NORMAL,HIGH,HIGH
LOW,LOW,HIGH,HIGH,HIGH
ZERO,HIGH,HIGH,HIGH,HIGH
HIGH,HIGH,LOW,NORMAL,NORMAL
