VENTMACH,VENTTUBE,DISCONNECT
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
HIGH,HIGH,False
NORMAL,LOW,False
NORMAL,ZERO,True
NORMAL,LOW,False
NORMAL,ZERO,True
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,ZERO,True
NORMAL,LOW,False
LOW,ZERO,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
LOW,NORMAL,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
HIGH,HIGH,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
ZERO,ZERO,True
NORMAL,LOW,False
NORMAL,ZERO,True
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
HIGH,NORMAL,True
ZERO,ZERO,False
NORMAL,LOW,False
NORMAL,LOW,False
HIGH,HIGH,False
HIGH,HIGH,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,ZERO,True
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
HIGH,HIGH,False
HIGH,HIGH,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,HIGH,False
NORMAL,LOW,False
LOW,ZERO,False
HIGH,HIGH,False
LOW,ZERO,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,ZERO,True
NORMAL,LOW,False
LOW,ZERO,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
ZERO,ZERO,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
NORMAL,LOW,False
