VENTMACH,ANAPHYLAXIS,INSUFFANESTH,LVFAILURE,LVEDVOLUME,CO,ARTCO2,HR,HYPOVOLEMIA,STROKEVOLUME
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,HIGH
NORMAL,False,False,False,NORMAL,HIGH,LOW,HIGH,False,NORMAL
NORMAL,False,True,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,HIGH,LOW,HIGH,HIGH,True,LOW
NORMAL,False,False,True,LOW,LOW,HIGH,HIGH,True,LOW
NORMAL,False,False,False,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,True,LOW,LOW,HIGH,HIGH,False,LOW
NORMAL,False,False,True,LOW,LOW,LOW,NORMAL,False,LOW
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,HIGH,HIGH,HIGH,HIGH,True,NORMAL
NORMAL,False,True,False,HIGH,LOW,HIGH,HIGH,True,LOW
NORMAL,False,False,True,LOW,NORMAL,HIGH,HIGH,False,LOW
NORMAL,False,True,False,NORMAL,NORMAL,LOW,NORMAL,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,LOW,HIGH,NORMAL,False,LOW
NORMAL,False,False,True,LOW,LOW,HIGH,HIGH,False,LOW
NORMAL,False,False,False,HIGH,LOW,HIGH,HIGH,True,LOW
HIGH,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,True,False,False,NORMAL,NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,False,False,False,HIGH,HIGH,HIGH,HIGH,True,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,HIGH,NORMAL,HIGH,HIGH,True,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,True,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,HIGH,NORMAL,LOW,NORMAL,True,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
LOW,False,False,False,HIGH,NORMAL,LOW,NORMAL,True,LOW
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,NORMAL,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,LOW,HIGH,LOW,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,HIGH,HIGH,HIGH,HIGH,True,NORMAL
LOW,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,HIGH,HIGH,HIGH,HIGH,False,HIGH
NORMAL,False,False,False,HIGH,HIGH,HIGH,HIGH,True,HIGH
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
HIGH,False,False,False,NORMAL,HIGH,LOW,HIGH,False,NORMAL
