LungFlow,ChestXray,DuctFlow,CardiacMixing,LungParench
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Mild,Normal
Low,Asy/Patch,Lt_to_Rt,Mild,Abnormal
Low,Asy/Patch,Lt_to_Rt,Mild,Abnormal
Low,Oligaemic,,Transp.,Normal
High,Oligaemic,,Mild,Normal
Normal,Normal,Lt_to_Rt,Complete,Normal
Low,Normal,,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,,Transp.,Normal
Low,Grd_Glass,Lt_to_Rt,Complete,Congested
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Oligaemic,,Transp.,Abnormal
Low,Asy/Patch,Lt_to_Rt,Complete,Congested
Low,Oligaemic,,Transp.,Normal
Normal,Grd_Glass,,Mild,Congested
Normal,Normal,,Transp.,Normal
High,Grd_Glass,Rt_to_Lt,Transp.,Congested
Normal,Asy/Patch,Lt_to_Rt,,Abnormal
Low,Oligaemic,Lt_to_Rt,Mild,Normal
High,Plethoric,,Transp.,Normal
High,Plethoric,,Mild,Normal
Low,Oligaemic,,Complete,Normal
Normal,Normal,Lt_to_Rt,Complete,Normal
High,Plethoric,,Transp.,Normal
Normal,Grd_Glass,,,Congested
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Asy/Patch,Lt_to_Rt,Complete,Abnormal
Normal,Asy/Patch,Lt_to_Rt,Mild,Abnormal
Low,Oligaemic,Rt_to_Lt,Complete,Normal
High,Plethoric,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,,Transp.,Normal
High,Plethoric,,Mild,Normal
Low,Grd_Glass,Lt_to_Rt,,Congested
High,Plethoric,,Transp.,Normal
Low,Normal,Lt_to_Rt,Mild,Normal
Low,Plethoric,Lt_to_Rt,Complete,Congested
Normal,Grd_Glass,Lt_to_Rt,Mild,Congested
Low,Oligaemic,Lt_to_Rt,Complete,Abnormal
High,Plethoric,Lt_to_Rt,Complete,Normal
High,Grd_Glass,,Transp.,Abnormal
Normal,Asy/Patch,Lt_to_Rt,Complete,Abnormal
Low,Oligaemic,Rt_to_Lt,Complete,Normal
Low,Normal,Lt_to_Rt,Complete,Congested
Normal,Normal,,Transp.,Normal
