BirthAsphyxia,DuctFlow,CardiacMixing
no,Lt_to_Rt,Complete
yes,Lt_to_Rt,Mild
no,Lt_to_Rt,Mild
no,Lt_to_Rt,Mild
yes,,Transp.
no,,Mild
no,Lt_to_Rt,Complete
no,,Complete
no,Lt_to_Rt,Complete
no,Lt_to_Rt,Complete
no,,Transp.
no,Lt_to_Rt,Complete
no,Lt_to_Rt,Complete
no,,Transp.
no,Lt_to_Rt,Complete
no,,Transp.
no,,Mild
no,,Transp.
no,Rt_to_Lt,Transp.
no,Lt_to_Rt,
no,Lt_to_Rt,Mild
no,,Transp.
no,,Mild
no,,Complete
no,Lt_to_Rt,Complete
no,,Transp.
no,,
no,Lt_to_Rt,Complete
no,Lt_to_Rt,Complete
no,Lt_to_Rt,Mild
yes,Rt_to_Lt,Complete
no,Lt_to_Rt,Complete
no,Lt_to_Rt,Complete
no,,Transp.
no,,Mild
yes,Lt_to_Rt,
no,,Transp.
no,Lt_to_Rt,Mild
yes,Lt_to_Rt,Complete
yes,Lt_to_Rt,Mild
no,Lt_to_Rt,Complete
no,Lt_to_Rt,Complete
no,,Transp.
no,Lt_to_Rt,Complete
no,Rt_to_Lt,Complete
no,Lt_to_Rt,Complete
yes,,Transp.
no,Lt_to_Rt,Transp.
no,Lt_to_Rt,Complete
no,Lt_to_Rt,Complete
no,,Transp.
yes,Rt_to_Lt,Mild
no,,Mild
no,,Transp.
no,Lt_to_Rt,Complete
no,,Transp.
no,Lt_to_Rt,Complete
yes,Lt_to_Rt,Complete
yes,Lt_to_Rt,Mild
no,,
no,,Complete
no,Lt_to_Rt,Complete
no,Lt_to_Rt,Complete
no,Lt_to_Rt,Complete
no,Lt_to_Rt,Complete
no,Lt_to_Rt,Complete
yes,,Complete
no,,Complete
no,Lt_to_Rt,Complete
no,Lt_to_Rt,Complete
no,Rt_to_Lt,
no,Lt_to_Rt,Complete
no,,Transp.
yes,Lt_to_Rt,Complete
no,Lt_to_Rt,Complete
no,Lt_to_Rt,Complete
no,Rt_to_Lt,Mild
no,Lt_to_Rt,Complete
no,Lt_to_Rt,Complete
no,Lt_to_Rt,Complete
no,,Transp.
no,Rt_to_Lt,Mild
yes,Lt_to_Rt,Mild
no,,Complete
no,Lt_to_Rt,Complete
no,,Transp.
no,Lt_to_Rt,Complete
no,Lt_to_Rt,Complete
no,,Transp.
no,Lt_to_Rt,Complete
yes,,Transp.
no,,Transp.
no,,Mild
no,,Transp.
no,Lt_to_Rt,Complete
no,,Mild
no,,Transp.
no,Rt_to_Lt,Mild
no,Lt_to_Rt,Transp.
no,Rt_to_Lt,
no,Lt_to_Rt,Complete
no,,Transp.
no,Lt_to_Rt,Complete
no,Lt_to_Rt,Complete
no,Lt_to_Rt,Transp.
no,Rt_to_Lt,Complete
no,,Transp.
no,Lt_to_Rt,Complete
no,Rt_to_Lt,Transp.
no,Lt_to_Rt,Complete
no,,Transp.
yes,Rt_to_Lt,Mild
no,,Complete
no,,Transp.
yes,,Transp.
no,Lt_to_Rt,Complete
no,Lt_to_Rt,Transp.
no,Rt_to_Lt,Transp.
no,,Transp.
no,Lt_to_Rt,Complete
no,,
no,,Complete
no,Lt_to_Rt,Complete
no,Lt_to_Rt,Mild
no,Lt_to_Rt,Complete
no,Rt_to_Lt,Mild
no,Lt_to_Rt,Complete
no,Lt_to_Rt,Complete
no,Lt_to_Rt,Complete
no,,Transp.
no,Lt_to_Rt,Complete
no,Lt_to_Rt,Complete
no,Lt_to_Rt,Complete
no,Lt_to_Rt,Complete
no,,Transp.
no,Lt_to_Rt,Complete
no,,Transp.
no,Lt_to_Rt,Complete
no,Lt_to_Rt,Mild
no,Lt_to_Rt,Complete
no,Lt_to_Rt,Complete
no,Lt_to_Rt,Complete
no,Lt_to_Rt,Mild
no,Lt_to_Rt,Complete
no,,Mild
yes,,Transp.
no,Lt_to_Rt,Complete
yes,,Transp.
no,,Transp.
no,Lt_to_Rt,Transp.
no,,Complete
no,,Transp.
no,,Transp.
no,Lt_to_Rt,Complete
no,,Transp.
no,Lt_to_Rt,Complete
no,,Transp.
no,Rt_to_Lt,Complete
no,Lt_to_Rt,Mild
no,,Mild
no,Lt_to_Rt,Complete
no,Rt_to_Lt,Complete
no,,Complete
no,Lt_to_Rt,Complete
no,Lt_to_Rt,Complete
no,,Transp.
no,Rt_to_Lt,
no,Lt_to_Rt,Mild
no,Lt_to_Rt,Complete
no,,Complete
yes,,Complete
no,Lt_to_Rt,Transp.
no,Lt_to_Rt,Complete
no,Lt_to_Rt,Complete
no,Lt_to_Rt,Transp.
no,Lt_to_Rt,Complete
no,Lt_to_Rt,Mild
no,Rt_to_Lt,Transp.
yes,Lt_to_Rt,Complete
no,Rt_to_Lt,Mild
no,Rt_to_Lt,Mild
no,Lt_to_Rt,Complete
no,,Mild
yes,Lt_to_Rt,Complete
no,,Complete
yes,,Transp.
no,,Mild
no,Lt_to_Rt,Complete
no,Lt_to_Rt,Complete
no,,Transp.
no,Lt_to_Rt,Complete
no,,Mild
no,Lt_to_Rt,
yes,Lt_to_Rt,Mild
no,,Mild
no,Lt_to_Rt,
no,Lt_to_Rt,Complete
yes,Lt_to_Rt,Complete
yes,,Transp.
no,Rt_to_Lt,Mild
yes,,Transp.
no,Lt_to_Rt,Complete
no,Rt_to_Lt,Complete
no,,Complete
no,Lt_to_Rt,Mild
no,Lt_to_Rt,Complete
no,,Transp.
no,Lt_to_Rt,Complete
no,Lt_to_Rt,Complete
no,,Complete
no,,Transp.
no,Lt_to_Rt,Mild
no,,Transp.
no,Lt_to_Rt,Complete
no,,
no,Lt_to_Rt,Complete
no,Lt_to_Rt,Complete
no,Lt_to_Rt,Complete
no,Lt_to_Rt,Complete
no,Lt_to_Rt,Complete
no,,Mild
no,,Complete
no,,Transp.
no,Lt_to_Rt,Transp.
no,Lt_to_Rt,Complete
no,Lt_to_Rt,Complete
no,Lt_to_Rt,Complete
no,Lt_to_Rt,Complete
no,Lt_to_Rt,Mild
no,Lt_to_Rt,
no,Lt_to_Rt,Complete
no,,Transp.
no,Lt_to_Rt,Complete
no,,Complete
no,Lt_to_Rt,Complete
no,Lt_to_Rt,Complete
no,Lt_to_Rt,Complete
no,,Mild
