ANAPHYLAXIS,PULMEMBOLUS,INTUBATION,EXPCO2,PVSAT,PAP,MINVOL,PCWP,VENTALV,SHUNT,TPR,VENTLUNG,ARTCO2,SAO2,PRESS,CATECHOL,BP,ERRLOWOUTPUT
False,False,NORMAL,LOW,LOW,NORMAL,ZERO,NORMAL,ZERO,NORMAL,HIGH,ZERO,HIGH,LOW,NORMAL,HIGH,HIGH,False
False,False,NORMAL,LOW,HIGH,NORMAL,HIGH,NORMAL,HIGH,NORMAL,LOW,LOW,LOW,HIGH,HIGH,HIGH,LOW,False
False,False,NORMAL,LOW,LOW,NORMAL,ZERO,NORMAL,ZERO,NORMAL,LOW,ZERO,HIGH,LOW,HIGH,HIGH,LOW,False
False,False,NORMAL,LOW,LOW,NORMAL,ZERO,NORMAL,ZERO,NORMAL,NORMAL,ZERO,HIGH,LOW,LOW,HIGH,LOW,False
False,False,NORMAL,LOW,LOW,NORMAL,ZERO,LOW,ZERO,NORMAL,NORMAL,ZERO,HIGH,LOW,NORMAL,HIGH,LOW,False
False,False,NORMAL,LOW,LOW,NORMAL,ZERO,NORMAL,ZERO,NORMAL,NORMAL,ZERO,HIGH,LOW,LOW,HIGH,LOW,False
False,False,NORMAL,LOW,LOW,LOW,ZERO,NORMAL,ZERO,NORMAL,NORMAL,ZERO,HIGH,LOW,LOW,HIGH,NORMAL,False
False,False,NORMAL,LOW,LOW,NORMAL,ZERO,NORMAL,ZERO,NORMAL,LOW,ZERO,HIGH,LOW,LOW,HIGH,LOW,False
False,False,NORMAL,LOW,LOW,NORMAL,ZERO,LOW,ZERO,NORMAL,HIGH,ZERO,HIGH,LOW,LOW,HIGH,LOW,False
False,False,NORMAL,LOW,HIGH,LOW,HIGH,LOW,HIGH,NORMAL,HIGH,LOW,LOW,HIGH,NORMAL,NORMAL,NORMAL,False
False,False,NORMAL,LOW,LOW,NORMAL,ZERO,NORMAL,ZERO,NORMAL,HIGH,ZERO,HIGH,LOW,LOW,HIGH,HIGH,False
