HRBP,ERRCAUTER,INSUFFANESTH,LVFAILURE,LVEDVOLUME,EXPCO2,CO,HREKG,PCWP,VENTALV,TPR,ARTCO2,CVP,STROKEVOLUME,BP,ERRLOWOUTPUT,HISTORY
HIGH,True,False,False,NORMAL,LOW,HIGH,NORMAL,NORMAL,ZERO,HIGH,HIGH,NORMAL,HIGH,HIGH,False,False
HIGH,False,False,False,NORMAL,LOW,HIGH,HIGH,NORMAL,HIGH,LOW,LOW,NORMAL,NORMAL,LOW,False,False
HIGH,False,True,False,NORMAL,LOW,HIGH,HIGH,NORMAL,ZERO,LOW,HIGH,NORMAL,NORMAL,LOW,False,False
HIGH,True,False,False,HIGH,LOW,LOW,NORMAL,NORMAL,ZERO,NORMAL,HIGH,HIGH,LOW,LOW,False,False
HIGH,False,False,True,LOW,LOW,LOW,HIGH,LOW,ZERO,NORMAL,HIGH,LOW,LOW,LOW,False,True
LOW,False,False,False,NORMAL,LOW,NORMAL,LOW,NORMAL,ZERO,NORMAL,HIGH,NORMAL,NORMAL,LOW,False,False
HIGH,False,False,False,NORMAL,LOW,HIGH,HIGH,NORMAL,ZERO,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,False,False
HIGH,False,False,False,NORMAL,LOW,HIGH,HIGH,NORMAL,ZERO,LOW,HIGH,NORMAL,NORMAL,LOW,False,False
HIGH,False,False,True,LOW,LOW,LOW,HIGH,LOW,ZERO,HIGH,HIGH,NORMAL,LOW,LOW,False,True
LOW,False,False,True,LOW,LOW,LOW,LOW,LOW,HIGH,HIGH,LOW,LOW,LOW,NORMAL,False,True
HIGH,False,False,False,NORMAL,LOW,HIGH,HIGH,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL,HIGH,False,False
HIGH,False,False,False,HIGH,LOW,HIGH,HIGH,HIGH,ZERO,NORMAL,HIGH,HIGH,NORMAL,NORMAL,False,False
HIGH,False,True,False,HIGH,NORMAL,LOW,HIGH,LOW,LOW,NORMAL,HIGH,HIGH,LOW,LOW,False,False
HIGH,False,False,True,LOW,LOW,NORMAL,HIGH,LOW,ZERO,NORMAL,HIGH,LOW,LOW,NORMAL,False,True
LOW,False,True,False,NORMAL,LOW,NORMAL,LOW,NORMAL,HIGH,HIGH,LOW,NORMAL,NORMAL,HIGH,False,False
HIGH,False,False,False,NORMAL,LOW,HIGH,HIGH,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL,HIGH,False,False
HIGH,False,False,False,NORMAL,LOW,HIGH,HIGH,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL,HIGH,False,False
LOW,False,False,False,NORMAL,LOW,LOW,LOW,NORMAL,ZERO,LOW,HIGH,NORMAL,LOW,LOW,False,False
HIGH,False,False,True,LOW,LOW,LOW,HIGH,LOW,ZERO,LOW,HIGH,LOW,LOW,LOW,False,True
HIGH,False,False,False,HIGH,LOW,LOW,HIGH,HIGH,ZERO,HIGH,HIGH,HIGH,LOW,NORMAL,False,False
