PULMEMBOLUS,INSUFFANESTH,LVFAILURE,LVEDVOLUME,CO,PCWP,SHUNT,FIO2,CVP,HYPOVOLEMIA,DISCONNECT,STROKEVOLUME,BP,MINVOLSET,HISTORY
False,False,False,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,NORMAL,False,False,HIGH,HIGH,NORMAL,False
False,False,False,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,NORMAL,False,False,NORMAL,LOW,NORMAL,False
False,True,False,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,NORMAL,False,False,NORMAL,LOW,NORMAL,False
False,False,False,HIGH,LOW,NORMAL,NORMAL,LOW,HIGH,True,False,LOW,LOW,NORMAL,False
False,False,True,LOW,LOW,LOW,NORMAL,NORMAL,LOW,True,False,LOW,LOW,NORMAL,True
False,False,False,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,False,False,NORMAL,LOW,NORMAL,False
False,False,False,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,NORMAL,False,False,NORMAL,NORMAL,NORMAL,False
False,False,False,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,NORMAL,False,False,NORMAL,LOW,NORMAL,False
False,False,True,LOW,LOW,LOW,NORMAL,NORMAL,NORMAL,False,False,LOW,LOW,NORMAL,True
False,False,True,LOW,LOW,LOW,NORMAL,NORMAL,LOW,False,False,LOW,NORMAL,NORMAL,True
False,False,False,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,NORMAL,False,False,NORMAL,HIGH,NORMAL,False
False,False,False,HIGH,HIGH,HIGH,NORMAL,NORMAL,HIGH,True,False,NORMAL,NORMAL,NORMAL,False
False,True,False,HIGH,LOW,LOW,HIGH,NORMAL,HIGH,True,False,LOW,LOW,NORMAL,False
False,False,True,LOW,NORMAL,LOW,NORMAL,NORMAL,LOW,False,False,LOW,NORMAL,NORMAL,True
False,True,False,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,False,False,NORMAL,HIGH,NORMAL,False
False,False,False,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,NORMAL,False,False,NORMAL,HIGH,NORMAL,False
False,False,False,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,NORMAL,False,False,NORMAL,HIGH,NORMAL,False
False,False,False,NORMAL,LOW,NORMAL,HIGH,NORMAL,NORMAL,False,False,LOW,LOW,NORMAL,False
False,False,True,LOW,LOW,LOW,NORMAL,NORMAL,LOW,False,False,LOW,LOW,NORMAL,True
False,False,False,HIGH,LOW,HIGH,NORMAL,NORMAL,HIGH,True,False,LOW,NORMAL,NORMAL,False
False,False,False,NORMAL,HIGH,NORMAL,HIGH,NORMAL,LOW,False,False,NORMAL,HIGH,NORMAL,False
False,False,False,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,NORMAL,False,False,NORMAL,NORMAL,NORMAL,False
False,False,False,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,NORMAL,False,True,NORMAL,LOW,NORMAL,False
False,False,False,HIGH,HIGH,HIGH,NORMAL,NORMAL,HIGH,True,False,NORMAL,HIGH,NORMAL,False
