Age,HypoxiaInO2,LungFlow,Disease,XrayReport,CO2Report,ChestXray,Grunting,CO2,DuctFlow,GruntingReport,HypDistrib,LVH,LVHreport,CardiacMixing,LungParench
0-3_days,Severe,Low,TGA,Oligaemic,<7.5,Oligaemic,no,Normal,,no,Equal,no,no,Transp.,Normal
0-3_days,Moderate,Low,PAIVS,Oligaemic,<7.5,Oligaemic,no,Normal,Lt_to_Rt,no,Equal,yes,yes,Complete,Normal
0-3_days,Mild,Normal,Lung,Asy/Patchy,>=7.5,Asy/Patch,no,High,Rt_to_Lt,no,Unequal,no,no,,Abnormal
0-3_days,Severe,High,TGA,Normal,<7.5,Normal,no,Normal,,yes,Equal,no,no,Transp.,Abnormal
0-3_days,Moderate,Normal,TGA,Normal,<7.5,Normal,no,Normal,,no,Equal,no,no,Transp.,Normal
0-3_days,Severe,High,TGA,Plethoric,<7.5,Plethoric,no,Normal,,no,Equal,no,no,Transp.,Normal
0-3_days,Severe,Low,PAIVS,Normal,>=7.5,Normal,no,High,Lt_to_Rt,no,Equal,yes,yes,Complete,Normal
11-30_days,Moderate,Low,Fallot,Oligaemic,>=7.5,Oligaemic,no,Normal,Lt_to_Rt,no,Equal,no,no,Mild,Normal
0-3_days,Moderate,Low,PFC,Oligaemic,<7.5,Oligaemic,no,Normal,Rt_to_Lt,no,Equal,no,no,Complete,Normal
0-3_days,Severe,Normal,TGA,Plethoric,<7.5,Normal,no,Normal,,yes,Equal,no,no,Transp.,Normal
0-3_days,Moderate,High,TGA,Plethoric,<7.5,Plethoric,no,Normal,,no,Equal,no,no,Transp.,Normal
0-3_days,Moderate,Normal,PAIVS,Normal,<7.5,Normal,no,Normal,Lt_to_Rt,no,Equal,yes,yes,Complete,Normal
4-10_days,Severe,High,TGA,Plethoric,>=7.5,Plethoric,no,Normal,,no,Equal,no,no,Transp.,Normal
0-3_days,Severe,High,TGA,Plethoric,<7.5,Plethoric,no,Normal,Lt_to_Rt,no,Equal,no,no,Transp.,Normal
0-3_days,Moderate,High,TGA,Plethoric,<7.5,Plethoric,no,Normal,,no,Equal,yes,yes,Transp.,Normal
0-3_days,Moderate,Low,PAIVS,Oligaemic,<7.5,Oligaemic,no,Normal,Lt_to_Rt,no,Equal,no,no,Complete,Normal
4-10_days,Severe,Low,PFC,Normal,<7.5,Normal,no,Normal,Rt_to_Lt,yes,Equal,no,no,Mild,Normal
0-3_days,Mild,Normal,PAIVS,Asy/Patchy,<7.5,Normal,no,Low,Lt_to_Rt,no,Equal,yes,yes,Complete,Normal
0-3_days,Moderate,High,Fallot,Plethoric,>=7.5,Plethoric,no,High,Lt_to_Rt,no,Equal,no,no,Complete,Normal
0-3_days,Mild,High,TGA,Normal,<7.5,Normal,no,Normal,Lt_to_Rt,no,Equal,yes,no,,Normal
0-3_days,Severe,High,TGA,Normal,>=7.5,Oligaemic,no,High,,no,Equal,no,no,Transp.,Abnormal
0-3_days,Moderate,Low,PAIVS,Oligaemic,<7.5,Oligaemic,no,Normal,Lt_to_Rt,no,Equal,yes,yes,Complete,Normal
0-3_days,Severe,High,TGA,Plethoric,<7.5,Plethoric,no,Normal,,no,Equal,yes,yes,Transp.,Normal
0-3_days,Moderate,High,TGA,Normal,<7.5,Normal,no,Normal,,no,Equal,no,no,Transp.,Normal
11-30_days,Moderate,Normal,Fallot,Normal,<7.5,Normal,yes,Normal,,yes,Equal,no,no,Complete,Normal
4-10_days,Severe,High,TGA,Normal,<7.5,Normal,no,Normal,,no,Equal,no,no,Transp.,Normal
0-3_days,Severe,High,TGA,Normal,>=7.5,Plethoric,no,Low,,no,Equal,no,no,Transp.,Normal
11-30_days,Moderate,Low,Fallot,Oligaemic,<7.5,Oligaemic,no,Normal,Lt_to_Rt,no,Equal,no,no,Transp.,Normal
0-3_days,Moderate,Low,Fallot,Oligaemic,<7.5,Oligaemic,no,Normal,Lt_to_Rt,no,Equal,no,no,Complete,Normal
11-30_days,Moderate,Low,PAIVS,Oligaemic,<7.5,Oligaemic,no,Normal,Lt_to_Rt,yes,Equal,yes,no,Complete,Congested
0-3_days,Moderate,Low,TAPVD,Oligaemic,<7.5,Oligaemic,no,Normal,Rt_to_Lt,no,Equal,no,no,Complete,Normal
4-10_days,Moderate,High,TGA,Plethoric,<7.5,Plethoric,no,Normal,Lt_to_Rt,no,Equal,no,no,Complete,Normal
11-30_days,Moderate,Low,PAIVS,Oligaemic,<7.5,Oligaemic,no,Low,Lt_to_Rt,no,Equal,yes,yes,Complete,Normal
4-10_days,Moderate,Low,PAIVS,Oligaemic,<7.5,Oligaemic,no,Normal,Lt_to_Rt,no,Equal,yes,yes,Complete,Normal
11-30_days,Severe,High,TGA,Plethoric,<7.5,Plethoric,no,Low,,no,Unequal,no,no,Transp.,Normal
0-3_days,Mild,Normal,PFC,Normal,<7.5,Normal,yes,Low,Rt_to_Lt,yes,Unequal,no,no,,Normal
4-10_days,Severe,High,TGA,Plethoric,<7.5,Plethoric,yes,Normal,,no,Equal,no,no,Transp.,Normal
0-3_days,Severe,Low,PAIVS,Oligaemic,<7.5,Oligaemic,no,Normal,Lt_to_Rt,no,Equal,yes,yes,Complete,Normal
4-10_days,Severe,High,TAPVD,Normal,>=7.5,Asy/Patch,no,High,Lt_to_Rt,no,Equal,no,no,Complete,Abnormal
11-30_days,Moderate,Low,PAIVS,Oligaemic,>=7.5,Oligaemic,no,Normal,Lt_to_Rt,no,Equal,yes,no,Complete,Normal
0-3_days,Moderate,Low,PAIVS,Plethoric,<7.5,Oligaemic,no,Normal,Lt_to_Rt,no,Equal,yes,yes,Complete,Normal
0-3_days,Mild,Low,PAIVS,Plethoric,<7.5,Plethoric,yes,Normal,Lt_to_Rt,no,Equal,yes,no,Complete,Abnormal
11-30_days,Severe,High,TGA,Oligaemic,>=7.5,Oligaemic,yes,High,,yes,Equal,no,no,Transp.,Abnormal
0-3_days,Moderate,High,TGA,Plethoric,<7.5,Plethoric,no,Low,,no,Equal,no,no,Mild,Normal
0-3_days,Severe,Low,TGA,Asy/Patchy,>=7.5,Asy/Patch,yes,Normal,,yes,Unequal,yes,yes,Transp.,Abnormal
0-3_days,Moderate,Low,PAIVS,Oligaemic,<7.5,Oligaemic,no,Normal,Lt_to_Rt,no,Equal,yes,yes,Complete,Normal
0-3_days,Moderate,Low,PAIVS,Oligaemic,<7.5,Oligaemic,yes,Normal,Lt_to_Rt,yes,Equal,yes,yes,Complete,Normal
0-3_days,Mild,High,TGA,Normal,<7.5,Normal,no,Normal,,no,Equal,no,no,Mild,Abnormal
11-30_days,Severe,High,TGA,Plethoric,<7.5,Plethoric,no,Normal,,no,Equal,no,no,Transp.,Normal
11-30_days,Moderate,Normal,Fallot,Normal,>=7.5,Normal,no,Normal,Lt_to_Rt,yes,Equal,no,no,Complete,Normal
0-3_days,Severe,Normal,TGA,Oligaemic,<7.5,Normal,no,Normal,,yes,Equal,no,no,Transp.,Normal
