G,I
AL,CLAY
AR,PULASKI
AL,MARION
AZ,COCONINO
AL,WASHINGTON
CA,LOS ANGELES
AZ,PIMA
AZ,PIMA
AL,BARBOUR
AR,LOGAN
AL,BALDWIN
AR,ASHLEY
AR,CONWAY
AR,CONWAY
AL,RANDOLPH
AL,MORGAN
AR,MISSISSIPPI
CA,ORANGE
AL,LAWRENCE
AK,SITKA
AZ,COCHISE
AK,SITKA
CA,SAN MATEO
AL,PICKENS
AL,FAYETTE
AL,MORGAN
AL,COFFEE
AZ,MARICOPA
AR,WASHINGTON
CA,SAN FRANCISCO
AZ,APACHE
AR,SEVIER
AK,KENAI PENINSULA
CA,SANTA BARBARA
AZ,MARICOPA
AK,KETCHIKAN GATEWAY
AL,LAWRENCE
AZ,LA PAZ
AZ,YAVAPAI
AR,HEMPSTEAD
CA,LOS ANGELES
CA,MARIN
CA,LOS ANGELES
CA,LOS ANGELES
AK,KENAI PENINSULA
AR,SCOTT
CA,LOS ANGELES
CA,VENTURA
CA,CONTRA COSTA
AZ,APACHE
AZ,APACHE
AZ,APACHE
AR,BOONE
CA,SANTA BARBARA
AK,WRANGELL PETERSBURG
AL,AUTAUGA
AZ,APACHE
CA,STANISLAUS
CA,SAN FRANCISCO
AK,KENAI PENINSULA
AK,KENAI PENINSULA
AZ,PIMA
CA,KERN
AZ,MARICOPA
AL,FAYETTE
AL,CONECUH
AK,KETCHIKAN GATEWAY
CA,KERN
AR,FRANKLIN
AZ,NAVAJO
AR,SEVIER
CA,KERN
AR,STONE
CA,SANTA BARBARA
AZ,YAVAPAI
CA,ALAMEDA
AR,PULASKI
AL,MOBILE
AK,WRANGELL PETERSBURG
AK,SITKA
CA,SANTA BARBARA
AR,CLAY
AR,CLAY
AL,LAWRENCE
CA,ORANGE
AZ,COCHISE
AR,SCOTT
CA,KERN
AR,ARKANSAS
AZ,APACHE
AL,MOBILE
AR,SCOTT
AR,CONWAY
AL,WINSTON
AZ,NAVAJO
CA,ORANGE
AZ,NAVAJO
AK,KENAI PENINSULA
AR,CLAY
AL,WINSTON
AL,ESCAMBIA
AR,HEMPSTEAD
AK,SITKA
AZ,MARICOPA
AR,CONWAY
AR,BOONE
AZ,PIMA
AR,SEVIER
AZ,NAVAJO
AR,HEMPSTEAD
CA,AMADOR
AL,GREENE
CA,STANISLAUS
AL,BARBOUR
AK,KETCHIKAN GATEWAY
AL,CHILTON
AL,COFFEE
AZ,APACHE
AZ,YAVAPAI
AL,GREENE
CA,SANTA BARBARA
AL,MORGAN
AR,YELL
CA,STANISLAUS
AR,PULASKI
AR,ASHLEY
CA,LOS ANGELES
AL,BARBOUR
AZ,YAVAPAI
AR,PIKE
AZ,COCHISE
CA,SAN FRANCISCO
AR,ASHLEY
AR,GARLAND
CA,SONOMA
CA,SANTA BARBARA
AZ,COCHISE
AL,MORGAN
