Facility Type,Risk,City,State,Inspection Type,Results
Shelter,Risk 1 (High),CHICAGO,IL,Complaint,Fail
Shelter,Risk 1 (High),CHICAGO,IL,Complaint,Pass
Long Term Care,Risk 1 (High),CHICAGO,IL,Short Form Complaint,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass
Shelter,Risk 1 (High),CHICAGO,IL,Complaint Re-Inspection,Fail
AFTER SCHOOL PROGRAM,Risk 1 (High),CHICAGO,IL,Canvass,Pass
CHURCH/SPECIAL EVENTS,Risk 1 (High),CHICAGO,IL,Canvass,Pass
CAFETERIA,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 2 (Medium),CHICAGO,IL,Complaint,Fail
Special Event,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass
Restaurant,Risk 2 (Medium),CHICAGO,IL,Complaint,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
CHURCH,Risk 1 (High),CHICAGO,IL,Canvass,Pass
CHURCH (SPECIAL EVENTS),Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass
Special Event,Risk 2 (Medium),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
AFTER SCHOOL PROGRAM,Risk 1 (High),CHICAGO,IL,Consultation,Fail
Mobile Food Preparer,Risk 2 (Medium),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 2 (Medium),CHICAGO,IL,Canvass,Pass
CHURCH,Risk 2 (Medium),CHICAGO,IL,Canvass,Pass
Food Pantry,Risk 3 (Low),CHICAGO,IL,Complaint,Fail
BOYS AND GIRLS CLUB,Risk 2 (Medium),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 3 (Low),CHICAGO,IL,Complaint,Fail
Grocery Store,Risk 1 (High),CHICAGO,IL,Complaint,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass
Grocery Store,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
RESTAURANT/GROCERY STORE,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Grocery Store,Risk 1 (High),CHICAGO,IL,Complaint,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint Re-Inspection,Pass
Grocery Store,Risk 2 (Medium),CHICAGO,IL,Complaint,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Grocery Store,Risk 2 (Medium),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint Re-Inspection,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass
Grocery Store,Risk 2 (Medium),CHICAGO,IL,Canvass Re-Inspection,Pass
Grocery Store,Risk 2 (Medium),CHICAGO,IL,Short Form Complaint,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
School,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Recent Inspection,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass
Grocery Store,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Grocery Store,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Grocery Store,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Grocery Store,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Grocery Store,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Grocery Store,Risk 1 (High),CHICAGO,IL,Complaint Re-Inspection,Pass
Grocery Store,Risk 1 (High),CHICAGO,IL,Complaint,Fail
Grocery Store,Risk 1 (High),CHICAGO,IL,Complaint,Pass w/ Conditions
