A,D,H,K,M,V
GP,U,4,course,2,no
GP,U,1,course,1,yes
GP,U,1,other,1,yes
GP,U,2,home,1,yes
GP,U,3,home,1,no
GP,U,3,reputation,1,yes
GP,U,2,home,1,yes
GP,U,4,home,2,no
GP,U,2,home,1,yes
GP,U,4,home,1,yes
GP,U,4,reputation,1,yes
GP,U,1,reputation,3,yes
GP,U,4,course,1,yes
GP,U,3,course,2,yes
GP,U,2,home,1,yes
GP,U,4,home,1,yes
GP,U,4,reputation,1,yes
GP,U,3,reputation,3,no
GP,U,2,course,1,yes
GP,U,3,home,1,yes
GP,U,3,reputation,1,yes
GP,U,4,other,1,yes
GP,U,2,course,1,yes
GP,U,2,reputation,2,yes
GP,R,4,course,1,yes
GP,U,2,home,1,yes
GP,U,2,home,1,yes
GP,U,2,other,1,yes
GP,U,4,home,1,yes
GP,U,4,home,1,yes
GP,U,4,home,1,yes
GP,U,4,reputation,2,yes
GP,R,3,course,1,yes
GP,U,3,course,1,yes
GP,U,2,home,1,yes
GP,U,3,other,2,no
GP,U,3,home,1,yes
GP,R,4,reputation,2,yes
GP,R,4,course,1,yes
GP,R,2,reputation,1,no
GP,U,2,home,2,yes
GP,U,4,home,1,yes
GP,U,4,course,1,yes
GP,U,2,course,1,yes
GP,U,2,course,2,yes
GP,U,3,course,1,yes
GP,U,3,home,1,yes
GP,U,3,reputation,1,yes
GP,U,2,home,1,no
GP,U,4,other,1,yes
GP,U,2,course,3,yes
GP,U,2,other,1,yes
GP,U,2,other,2,no
GP,U,4,course,1,yes
GP,U,3,other,1,yes
GP,U,1,other,1,yes
GP,U,3,reputation,1,yes
GP,U,4,reputation,1,no
GP,U,2,home,1,yes
GP,U,2,course,1,yes
GP,R,4,other,1,no
GP,U,1,course,4,yes
GP,U,2,reputation,1,yes
GP,U,3,home,1,yes
GP,U,3,reputation,1,yes
GP,U,3,course,3,yes
GP,U,4,reputation,1,yes
GP,U,1,course,1,yes
GP,R,2,reputation,2,yes
GP,R,1,reputation,2,yes
GP,U,1,reputation,2,yes
GP,U,2,course,1,yes
GP,R,1,reputation,1,yes
GP,U,1,reputation,1,no
GP,U,3,home,1,yes
GP,U,3,home,1,yes
GP,U,0,course,2,yes
GP,U,2,reputation,1,yes
GP,U,1,home,2,yes
GP,U,4,course,1,yes
GP,U,3,course,1,yes
