G,Q,R
4,no,no
1,yes,no
1,no,no
4,yes,no
3,yes,no
4,yes,no
2,no,no
4,yes,no
3,yes,no
3,yes,no
4,yes,no
2,yes,no
4,yes,no
4,yes,no
2,yes,no
4,yes,no
4,yes,no
3,yes,no
3,yes,yes
4,no,no
4,no,no
4,yes,yes
4,no,no
2,yes,no
2,yes,no
2,yes,no
2,yes,no
4,no,no
3,yes,yes
4,yes,yes
4,yes,yes
4,yes,no
4,yes,no
3,no,no
3,yes,no
2,yes,no
4,yes,no
4,yes,no
3,yes,no
2,yes,no
2,yes,no
4,yes,no
4,yes,no
2,yes,no
2,no,no
4,yes,yes
3,yes,no
4,no,no
4,yes,no
4,yes,no
2,yes,no
4,yes,no
4,no,no
4,yes,no
3,no,no
2,no,no
4,yes,no
4,yes,no
1,yes,no
4,yes,yes
4,yes,no
1,yes,no
1,no,no
4,yes,no
4,no,no
4,yes,no
4,yes,no
3,yes,no
2,yes,no
3,yes,no
3,yes,no
4,no,no
1,yes,no
3,no,no
3,yes,no
4,yes,no
4,no,no
2,no,no
2,yes,no
3,yes,no
2,yes,no
2,no,no
3,yes,no
2,no,yes
1,yes,no
4,no,no
2,yes,no
4,yes,no
2,no,no
4,yes,no
3,yes,no
4,no,no
3,yes,no
4,yes,no
2,yes,no
1,yes,yes
4,yes,yes
2,yes,no
4,no,no
4,yes,no
4,yes,no
4,yes,no
4,yes,yes
3,yes,no
3,yes,no
3,no,no
2,yes,no
3,yes,no
4,yes,no
4,yes,no
4,no,no
3,yes,no
2,no,no
4,no,no
2,no,no
4,yes,no
4,yes,no
3,no,no
1,yes,no
3,no,no
1,no,no
2,yes,no
2,yes,no
4,yes,no
2,no,no
3,no,no
3,no,no
0,yes,no
4,no,no
2,yes,no
3,yes,no
2,yes,no
2,yes,no
1,yes,no
2,yes,no
3,no,no
2,no,no
2,no,no
3,yes,no
4,yes,no
3,no,no
1,yes,no
3,no,no
3,yes,no
1,yes,no
3,yes,no
1,no,no
4,no,no
1,no,no
4,yes,no
3,no,no
4,yes,no
2,yes,no
4,yes,no
1,no,no
2,yes,no
1,yes,no
2,yes,no
3,yes,no
1,yes,no
1,no,no
4,yes,no
2,no,no
1,no,no
2,no,no
3,yes,yes
3,yes,no
4,yes,no
2,no,yes
1,no,no
1,yes,no
2,no,no
3,yes,no
1,no,no
2,no,yes
3,yes,no
1,no,no
1,no,no
1,no,no
3,yes,no
2,no,no
4,no,no
2,yes,no
4,yes,no
3,yes,no
1,yes,no
4,yes,no
1,no,no
3,yes,no
4,no,no
2,no,no
3,no,no
4,yes,no
4,yes,yes
4,yes,yes
3,no,no
2,yes,no
3,yes,no
3,yes,no
3,yes,no
1,yes,no
2,no,no
3,yes,no
1,no,no
2,no,no
1,no,no
1,no,no
3,yes,no
2,no,no
2,no,no
4,no,no
3,yes,no
4,yes,no
4,yes,no
4,yes,no
2,yes,no
1,yes,no
2,yes,no
2,yes,no
3,yes,yes
3,yes,no
4,no,no
1,yes,no
4,yes,no
3,yes,no
4,yes,no
2,yes,no
2,yes,no
4,yes,no
3,no,no
4,no,no
3,yes,no
2,yes,no
2,yes,no
2,yes,no
1,yes,no
2,no,no
2,yes,yes
4,yes,no
3,no,no
3,no,no
2,yes,no
2,yes,no
2,no,no
4,no,no
2,yes,no
4,yes,no
4,yes,no
1,yes,no
3,no,no
2,no,no
2,no,no
4,no,no
2,yes,no
2,yes,no
3,no,no
2,yes,no
4,yes,no
3,no,no
1,yes,no
1,no,no
2,no,no
1,yes,no
2,no,no
2,yes,no
1,no,no
4,yes,no
4,no,no
4,yes,no
4,no,no
4,no,yes
4,yes,yes
1,no,no
3,yes,no
1,no,no
2,yes,no
2,no,no
1,yes,no
2,no,no
3,no,no
3,yes,no
0,no,no
3,no,no
3,yes,no
2,no,no
2,no,no
2,no,no
1,yes,no
2,yes,no
4,yes,no
2,yes,no
2,no,no
4,yes,no
1,yes,no
2,no,no
4,yes,no
2,no,no
2,no,no
2,no,no
2,yes,yes
4,yes,no
4,yes,no
3,no,no
3,no,no
2,yes,no
2,no,no
3,yes,no
3,no,no
4,no,no
4,yes,no
2,yes,no
3,yes,no
2,yes,no
1,yes,no
1,yes,no
2,yes,no
2,yes,no
2,yes,no
3,no,no
4,no,no
4,yes,no
2,yes,no
3,yes,no
4,no,no
1,no,no
4,no,no
3,no,no
1,yes,no
1,no,no
2,yes,no
2,no,no
1,no,no
2,yes,no
1,yes,no
2,no,no
4,yes,no
4,yes,no
4,yes,no
