B,E,G,K,N,Q,S,X,Y
F,GT3,4,course,2,no,no,4,3
F,GT3,1,course,2,yes,no,5,3
F,LE3,1,other,2,no,no,4,3
F,GT3,4,home,3,yes,yes,3,2
F,GT3,3,home,2,yes,no,4,3
M,LE3,4,reputation,2,yes,yes,5,4
M,LE3,2,home,2,no,no,4,4
F,GT3,4,home,2,yes,no,4,1
M,LE3,3,home,2,yes,no,4,2
M,GT3,3,home,2,yes,yes,5,5
F,GT3,4,reputation,2,yes,no,3,3
F,GT3,2,reputation,3,yes,yes,5,2
M,LE3,4,course,1,yes,yes,4,3
M,GT3,4,course,2,yes,no,5,4
M,GT3,2,home,3,yes,no,4,5
F,GT3,4,home,1,yes,no,4,4
F,GT3,4,reputation,3,yes,yes,3,2
F,GT3,3,reputation,2,yes,yes,5,3
M,GT3,3,course,1,yes,yes,5,5
M,LE3,4,home,1,no,yes,3,1
M,GT3,4,reputation,2,no,no,4,4
M,GT3,4,other,1,yes,no,5,4
M,LE3,4,course,2,no,yes,4,5
M,LE3,2,reputation,2,yes,yes,5,4
F,GT3,2,course,3,yes,yes,4,3
F,GT3,2,home,1,yes,no,1,2
M,GT3,2,home,1,yes,no,4,2
M,GT3,4,other,1,no,no,2,2
M,LE3,3,home,2,yes,yes,5,3
M,GT3,4,home,2,yes,yes,4,4
M,GT3,4,home,2,yes,no,5,4
M,GT3,4,reputation,2,yes,yes,4,3
M,GT3,4,course,2,yes,yes,4,5
M,LE3,3,course,2,no,yes,5,3
M,GT3,3,home,1,yes,no,5,4
F,GT3,2,other,1,yes,yes,3,5
M,LE3,4,home,3,yes,yes,5,4
M,GT3,4,reputation,3,yes,yes,2,4
F,GT3,3,course,3,yes,yes,4,3
F,GT3,2,reputation,1,yes,yes,4,3
F,LE3,2,home,2,yes,yes,3,3
M,LE3,4,home,1,yes,no,5,4
M,GT3,4,course,2,yes,yes,4,3
M,GT3,2,course,1,yes,no,5,4
F,LE3,2,course,2,no,yes,4,3
F,LE3,4,course,2,yes,yes,5,2
F,LE3,3,home,2,yes,no,2,3
M,GT3,4,reputation,4,no,yes,4,2
M,GT3,4,home,2,yes,no,4,3
F,GT3,4,other,2,yes,yes,4,4
F,LE3,2,course,2,yes,no,4,3
F,LE3,4,other,2,yes,no,4,3
M,LE3,4,other,1,no,no,5,5
F,GT3,4,course,1,yes,no,3,3
F,LE3,3,other,1,no,no,5,3
F,GT3,2,other,2,no,yes,5,3
F,GT3,4,reputation,2,yes,yes,4,3
M,GT3,4,reputation,2,yes,yes,3,2
M,LE3,1,home,2,yes,yes,4,3
F,GT3,4,course,2,yes,no,4,2
F,GT3,4,other,2,yes,yes,2,4
F,GT3,1,course,1,yes,yes,5,5
F,LE3,1,reputation,2,no,yes,4,4
F,GT3,4,home,3,yes,yes,3,4
F,LE3,4,reputation,2,no,yes,4,4
F,LE3,4,course,2,yes,yes,5,4
M,GT3,4,reputation,4,yes,yes,1,3
F,GT3,3,course,4,yes,no,4,3
F,LE3,2,reputation,2,yes,no,4,1
F,LE3,3,reputation,4,yes,no,4,4
M,GT3,3,reputation,4,yes,no,4,3
M,GT3,4,course,4,no,no,3,3
F,GT3,1,reputation,2,yes,no,3,3
M,GT3,3,reputation,1,no,yes,5,3
F,GT3,3,home,2,yes,yes,4,3
M,GT3,4,home,2,yes,yes,4,3
M,GT3,4,course,4,no,yes,3,4
F,GT3,2,reputation,4,no,no,5,2
M,GT3,2,home,1,yes,yes,4,5
