C,I,O,U
18,at_home,0,yes
17,at_home,0,yes
15,at_home,0,yes
15,health,0,yes
16,other,0,yes
16,services,0,yes
16,other,0,yes
17,other,0,yes
15,services,0,yes
15,other,0,yes
15,teacher,0,yes
15,services,0,yes
15,health,0,yes
15,teacher,0,yes
15,other,0,yes
16,health,0,yes
16,services,0,yes
16,other,0,yes
17,services,3,yes
16,health,0,yes
15,teacher,0,yes
15,health,0,yes
16,teacher,0,yes
16,other,0,yes
15,services,0,yes
16,services,0,yes
15,other,0,yes
15,health,0,yes
16,services,0,yes
16,teacher,0,yes
15,health,0,yes
15,services,0,yes
15,teacher,0,yes
15,other,0,yes
16,other,0,yes
15,other,0,yes
15,teacher,0,yes
16,other,0,yes
15,services,0,yes
15,at_home,0,yes
16,other,0,yes
15,teacher,0,yes
15,services,0,yes
15,services,0,yes
16,other,1,yes
15,other,0,yes
16,other,0,yes
16,health,0,yes
15,teacher,0,yes
15,services,0,yes
16,services,0,yes
15,health,0,yes
15,health,0,yes
15,services,0,yes
15,other,0,yes
16,other,0,yes
15,services,0,yes
15,teacher,0,yes
15,other,0,yes
16,services,0,yes
16,health,0,yes
16,services,0,yes
16,other,0,yes
16,teacher,0,yes
15,services,0,yes
16,teacher,0,yes
15,other,0,yes
16,services,0,yes
15,health,0,yes
15,other,0,yes
16,other,0,yes
15,other,0,yes
15,other,0,yes
16,other,0,yes
16,other,0,yes
15,teacher,0,yes
15,teacher,0,yes
16,other,0,yes
17,other,3,no
16,at_home,0,yes
15,other,0,yes
15,other,0,yes
15,services,0,yes
15,services,0,yes
15,other,0,yes
15,services,0,yes
16,at_home,0,yes
15,other,0,yes
16,services,0,yes
16,teacher,0,yes
16,other,0,yes
15,services,0,yes
16,other,0,yes
16,teacher,0,yes
15,services,0,yes
15,at_home,0,yes
16,services,0,yes
16,other,0,yes
16,other,0,yes
16,other,0,yes
16,services,0,yes
16,services,0,yes
15,services,0,yes
15,services,0,yes
15,services,0,yes
15,other,0,yes
15,other,0,yes
16,services,0,yes
15,other,0,yes
16,health,0,yes
15,teacher,0,yes
16,services,0,yes
16,at_home,1,yes
15,teacher,0,yes
15,health,0,yes
16,teacher,0,yes
15,other,0,yes
16,other,0,yes
17,other,1,yes
15,other,0,yes
15,at_home,0,yes
15,services,0,yes
16,other,0,yes
16,health,0,yes
16,other,0,yes
15,services,0,yes
15,other,0,yes
19,at_home,2,no
16,teacher,0,yes
16,other,0,yes
15,services,0,yes
18,services,3,no
17,other,0,yes
15,at_home,0,yes
17,other,0,yes
16,services,0,yes
16,at_home,0,yes
16,other,1,yes
15,at_home,0,yes
15,services,0,yes
17,at_home,0,yes
16,at_home,0,yes
18,services,0,yes
18,other,0,yes
16,other,0,yes
16,other,0,yes
16,services,2,yes
15,teacher,0,yes
15,other,1,yes
15,teacher,0,yes
15,services,0,yes
16,services,0,yes
16,services,0,yes
15,teacher,0,yes
16,at_home,0,yes
17,other,0,yes
15,other,0,yes
15,at_home,0,no
15,health,1,yes
15,at_home,0,yes
15,at_home,0,yes
16,teacher,0,no
15,services,0,yes
18,other,2,no
16,at_home,1,yes
