Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,UniqueCarrier,AirlineID
2012,4,12,1,6,2012/12/1,WN,19393
2012,4,12,1,6,2012/12/1,DL,19790
2012,4,12,1,6,2012/12/1,WN,19393
2012,4,12,1,6,2012/12/1,YV,20378
2012,4,12,1,6,2012/12/1,AA,19805
2012,4,12,1,6,2012/12/1,US,20355
2012,4,12,1,6,2012/12/1,EV,20366
2012,4,12,1,6,2012/12/1,US,20355
2012,4,12,1,6,2012/12/1,EV,20366
2012,4,12,1,6,2012/12/1,US,20355
2012,4,12,1,6,2012/12/1,B6,20409
2012,4,12,1,6,2012/12/1,OO,20304
2012,4,12,1,6,2012/12/1,WN,19393
2012,4,12,10,1,2012/12/10,MQ,20398
2012,4,12,10,1,2012/12/10,DL,19790
2012,4,12,10,1,2012/12/10,WN,19393
2012,4,12,10,1,2012/12/10,AS,19930
2012,4,12,10,1,2012/12/10,WN,19393
2012,4,12,10,1,2012/12/10,MQ,20398
2012,4,12,10,1,2012/12/10,YV,20378
2012,4,12,10,1,2012/12/10,UA,19977
2012,4,12,10,1,2012/12/10,AA,19805
2012,4,12,10,1,2012/12/10,DL,19790
2012,4,12,10,1,2012/12/10,OO,20304
2012,4,12,10,1,2012/12/10,UA,19977
2012,4,12,10,1,2012/12/10,AA,19805
2012,4,12,10,1,2012/12/10,DL,19790
2012,4,12,10,1,2012/12/10,DL,19790
2012,4,12,10,1,2012/12/10,UA,19977
2012,4,12,10,1,2012/12/10,FL,20437
2012,4,12,11,2,2012/12/11,WN,19393
2012,4,12,11,2,2012/12/11,OO,20304
2012,4,12,11,2,2012/12/11,AS,19930
2012,4,12,11,2,2012/12/11,VX,21171
2012,4,12,11,2,2012/12/11,DL,19790
2012,4,12,11,2,2012/12/11,AA,19805
2012,4,12,11,2,2012/12/11,AA,19805
2012,4,12,11,2,2012/12/11,UA,19977
2012,4,12,11,2,2012/12/11,AA,19805
2012,4,12,11,2,2012/12/11,EV,20366
2012,4,12,11,2,2012/12/11,OO,20304
2012,4,12,11,2,2012/12/11,WN,19393
2012,4,12,11,2,2012/12/11,EV,20366
2012,4,12,11,2,2012/12/11,FL,20437
2012,4,12,11,2,2012/12/11,WN,19393
2012,4,12,11,2,2012/12/11,WN,19393
2012,4,12,12,3,2012/12/12,WN,19393
2012,4,12,12,3,2012/12/12,US,20355
2012,4,12,12,3,2012/12/12,EV,20366
2012,4,12,12,3,2012/12/12,WN,19393
2012,4,12,12,3,2012/12/12,OO,20304
2012,4,12,12,3,2012/12/12,EV,20366
2012,4,12,12,3,2012/12/12,US,20355
2012,4,12,12,3,2012/12/12,DL,19790
2012,4,12,12,3,2012/12/12,WN,19393
2012,4,12,12,3,2012/12/12,UA,19977
