temp_4,temp_2
____17_0_C,13_0___14_9_C
13_0___14_9_C,13_0___14_9_C
15_0___16_9_C,___13_0_C
____17_0_C,15_0___16_9_C
15_0___16_9_C,15_0___16_9_C
13_0___14_9_C,15_0___16_9_C
15_0___16_9_C,13_0___14_9_C
13_0___14_9_C,___13_0_C
15_0___16_9_C,13_0___14_9_C
13_0___14_9_C,13_0___14_9_C
____17_0_C,13_0___14_9_C
15_0___16_9_C,15_0___16_9_C
____17_0_C,13_0___14_9_C
13_0___14_9_C,15_0___16_9_C
15_0___16_9_C,13_0___14_9_C
15_0___16_9_C,13_0___14_9_C
13_0___14_9_C,13_0___14_9_C
____17_0_C,___13_0_C
15_0___16_9_C,13_0___14_9_C
____17_0_C,13_0___14_9_C
____17_0_C,13_0___14_9_C
15_0___16_9_C,15_0___16_9_C
15_0___16_9_C,___13_0_C
15_0___16_9_C,13_0___14_9_C
13_0___14_9_C,13_0___14_9_C
13_0___14_9_C,____17_0_C
13_0___14_9_C,15_0___16_9_C
____17_0_C,13_0___14_9_C
15_0___16_9_C,___13_0_C
13_0___14_9_C,____17_0_C
15_0___16_9_C,13_0___14_9_C
13_0___14_9_C,15_0___16_9_C
15_0___16_9_C,15_0___16_9_C
____17_0_C,13_0___14_9_C
13_0___14_9_C,15_0___16_9_C
15_0___16_9_C,13_0___14_9_C
13_0___14_9_C,13_0___14_9_C
15_0___16_9_C,13_0___14_9_C
15_0___16_9_C,13_0___14_9_C
13_0___14_9_C,___13_0_C
____17_0_C,15_0___16_9_C
15_0___16_9_C,13_0___14_9_C
15_0___16_9_C,15_0___16_9_C
15_0___16_9_C,___13_0_C
13_0___14_9_C,13_0___14_9_C
15_0___16_9_C,___13_0_C
13_0___14_9_C,15_0___16_9_C
13_0___14_9_C,13_0___14_9_C
____17_0_C,15_0___16_9_C
13_0___14_9_C,13_0___14_9_C
15_0___16_9_C,15_0___16_9_C
15_0___16_9_C,13_0___14_9_C
____17_0_C,13_0___14_9_C
15_0___16_9_C,15_0___16_9_C
____17_0_C,15_0___16_9_C
13_0___14_9_C,13_0___14_9_C
15_0___16_9_C,15_0___16_9_C
13_0___14_9_C,____17_0_C
15_0___16_9_C,13_0___14_9_C
13_0___14_9_C,13_0___14_9_C
____17_0_C,15_0___16_9_C
____17_0_C,15_0___16_9_C
13_0___14_9_C,13_0___14_9_C
13_0___14_9_C,15_0___16_9_C
____17_0_C,15_0___16_9_C
13_0___14_9_C,13_0___14_9_C
____17_0_C,13_0___14_9_C
____17_0_C,___13_0_C
____17_0_C,___13_0_C
15_0___16_9_C,___13_0_C
13_0___14_9_C,15_0___16_9_C
13_0___14_9_C,13_0___14_9_C
____17_0_C,13_0___14_9_C
15_0___16_9_C,13_0___14_9_C
15_0___16_9_C,13_0___14_9_C
13_0___14_9_C,13_0___14_9_C
15_0___16_9_C,13_0___14_9_C
13_0___14_9_C,___13_0_C
15_0___16_9_C,13_0___14_9_C
13_0___14_9_C,13_0___14_9_C
13_0___14_9_C,15_0___16_9_C
15_0___16_9_C,13_0___14_9_C
15_0___16_9_C,____17_0_C
15_0___16_9_C,13_0___14_9_C
____17_0_C,13_0___14_9_C
13_0___14_9_C,13_0___14_9_C
____17_0_C,____17_0_C
15_0___16_9_C,___13_0_C
13_0___14_9_C,13_0___14_9_C
15_0___16_9_C,___13_0_C
15_0___16_9_C,____17_0_C
15_0___16_9_C,13_0___14_9_C
15_0___16_9_C,15_0___16_9_C
13_0___14_9_C,13_0___14_9_C
13_0___14_9_C,____17_0_C
15_0___16_9_C,13_0___14_9_C
____17_0_C,15_0___16_9_C
15_0___16_9_C,13_0___14_9_C
15_0___16_9_C,13_0___14_9_C
13_0___14_9_C,13_0___14_9_C
____17_0_C,13_0___14_9_C
15_0___16_9_C,13_0___14_9_C
13_0___14_9_C,15_0___16_9_C
15_0___16_9_C,____17_0_C
____17_0_C,13_0___14_9_C
15_0___16_9_C,____17_0_C
15_0___16_9_C,13_0___14_9_C
____17_0_C,13_0___14_9_C
____17_0_C,___13_0_C
15_0___16_9_C,13_0___14_9_C
15_0___16_9_C,13_0___14_9_C
13_0___14_9_C,___13_0_C
13_0___14_9_C,13_0___14_9_C
13_0___14_9_C,13_0___14_9_C
13_0___14_9_C,____17_0_C
____17_0_C,15_0___16_9_C
____17_0_C,13_0___14_9_C
15_0___16_9_C,13_0___14_9_C
13_0___14_9_C,15_0___16_9_C
____17_0_C,13_0___14_9_C
15_0___16_9_C,13_0___14_9_C
15_0___16_9_C,15_0___16_9_C
____17_0_C,15_0___16_9_C
13_0___14_9_C,13_0___14_9_C
15_0___16_9_C,___13_0_C
15_0___16_9_C,____17_0_C
13_0___14_9_C,13_0___14_9_C
13_0___14_9_C,13_0___14_9_C
15_0___16_9_C,15_0___16_9_C
13_0___14_9_C,13_0___14_9_C
____17_0_C,13_0___14_9_C
____17_0_C,13_0___14_9_C
15_0___16_9_C,13_0___14_9_C
13_0___14_9_C,13_0___14_9_C
15_0___16_9_C,____17_0_C
13_0___14_9_C,____17_0_C
____17_0_C,13_0___14_9_C
15_0___16_9_C,13_0___14_9_C
15_0___16_9_C,___13_0_C
____17_0_C,___13_0_C
15_0___16_9_C,____17_0_C
15_0___16_9_C,____17_0_C
15_0___16_9_C,13_0___14_9_C
15_0___16_9_C,___13_0_C
____17_0_C,13_0___14_9_C
15_0___16_9_C,15_0___16_9_C
15_0___16_9_C,15_0___16_9_C
13_0___14_9_C,15_0___16_9_C
15_0___16_9_C,13_0___14_9_C
____17_0_C,15_0___16_9_C
____17_0_C,13_0___14_9_C
13_0___14_9_C,____17_0_C
13_0___14_9_C,___13_0_C
13_0___14_9_C,____17_0_C
15_0___16_9_C,13_0___14_9_C
15_0___16_9_C,13_0___14_9_C
____17_0_C,13_0___14_9_C
15_0___16_9_C,13_0___14_9_C
15_0___16_9_C,___13_0_C
15_0___16_9_C,15_0___16_9_C
13_0___14_9_C,____17_0_C
15_0___16_9_C,13_0___14_9_C
13_0___14_9_C,15_0___16_9_C
____17_0_C,____17_0_C
13_0___14_9_C,13_0___14_9_C
____17_0_C,13_0___14_9_C
13_0___14_9_C,___13_0_C
15_0___16_9_C,13_0___14_9_C
13_0___14_9_C,___13_0_C
15_0___16_9_C,15_0___16_9_C
13_0___14_9_C,13_0___14_9_C
13_0___14_9_C,13_0___14_9_C
13_0___14_9_C,13_0___14_9_C
13_0___14_9_C,13_0___14_9_C
13_0___14_9_C,___13_0_C
15_0___16_9_C,13_0___14_9_C
13_0___14_9_C,____17_0_C
15_0___16_9_C,13_0___14_9_C
13_0___14_9_C,13_0___14_9_C
13_0___14_9_C,13_0___14_9_C
15_0___16_9_C,13_0___14_9_C
15_0___16_9_C,13_0___14_9_C
15_0___16_9_C,13_0___14_9_C
____17_0_C,13_0___14_9_C
____17_0_C,15_0___16_9_C
15_0___16_9_C,15_0___16_9_C
13_0___14_9_C,____17_0_C
13_0___14_9_C,____17_0_C
13_0___14_9_C,13_0___14_9_C
____17_0_C,13_0___14_9_C
13_0___14_9_C,15_0___16_9_C
15_0___16_9_C,13_0___14_9_C
15_0___16_9_C,____17_0_C
____17_0_C,13_0___14_9_C
15_0___16_9_C,13_0___14_9_C
13_0___14_9_C,15_0___16_9_C
13_0___14_9_C,____17_0_C
13_0___14_9_C,____17_0_C
15_0___16_9_C,15_0___16_9_C
15_0___16_9_C,13_0___14_9_C
15_0___16_9_C,15_0___16_9_C
13_0___14_9_C,15_0___16_9_C
15_0___16_9_C,13_0___14_9_C
____17_0_C,____17_0_C
15_0___16_9_C,15_0___16_9_C
13_0___14_9_C,13_0___14_9_C
13_0___14_9_C,____17_0_C
____17_0_C,13_0___14_9_C
15_0___16_9_C,13_0___14_9_C
____17_0_C,15_0___16_9_C
15_0___16_9_C,15_0___16_9_C
15_0___16_9_C,15_0___16_9_C
13_0___14_9_C,13_0___14_9_C
____17_0_C,13_0___14_9_C
15_0___16_9_C,15_0___16_9_C
____17_0_C,15_0___16_9_C
____17_0_C,13_0___14_9_C
15_0___16_9_C,15_0___16_9_C
____17_0_C,15_0___16_9_C
15_0___16_9_C,15_0___16_9_C
____17_0_C,13_0___14_9_C
13_0___14_9_C,13_0___14_9_C
13_0___14_9_C,___13_0_C
____17_0_C,13_0___14_9_C
13_0___14_9_C,15_0___16_9_C
____17_0_C,15_0___16_9_C
13_0___14_9_C,13_0___14_9_C
____17_0_C,13_0___14_9_C
____17_0_C,13_0___14_9_C
15_0___16_9_C,___13_0_C
15_0___16_9_C,13_0___14_9_C
15_0___16_9_C,____17_0_C
13_0___14_9_C,___13_0_C
15_0___16_9_C,____17_0_C
____17_0_C,13_0___14_9_C
____17_0_C,15_0___16_9_C
13_0___14_9_C,____17_0_C
____17_0_C,____17_0_C
15_0___16_9_C,13_0___14_9_C
15_0___16_9_C,13_0___14_9_C
15_0___16_9_C,____17_0_C
13_0___14_9_C,___13_0_C
13_0___14_9_C,13_0___14_9_C
____17_0_C,____17_0_C
13_0___14_9_C,15_0___16_9_C
13_0___14_9_C,15_0___16_9_C
15_0___16_9_C,___13_0_C
15_0___16_9_C,___13_0_C
13_0___14_9_C,___13_0_C
15_0___16_9_C,15_0___16_9_C
15_0___16_9_C,15_0___16_9_C
13_0___14_9_C,13_0___14_9_C
15_0___16_9_C,15_0___16_9_C
15_0___16_9_C,15_0___16_9_C
____17_0_C,13_0___14_9_C
13_0___14_9_C,15_0___16_9_C
