VENTMACH,VENTTUBE,INSUFFANESTH,LVFAILURE,EXPCO2,PVSAT,MINVOL,HRSAT,VENTALV,VENTLUNG,ARTCO2,HR,FIO2,CVP
NORMAL,LOW,False,False,LOW,LOW,ZERO,NORMAL,ZERO,ZERO,HIGH,HIGH,NORMAL,NORMAL
NORMAL,LOW,False,False,LOW,HIGH,HIGH,HIGH,HIGH,LOW,LOW,HIGH,NORMAL,NORMAL
NORMAL,LOW,True,False,LOW,LOW,ZERO,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,NORMAL
NORMAL,LOW,False,False,LOW,LOW,ZERO,NORMAL,ZERO,ZERO,HIGH,HIGH,LOW,HIGH
NORMAL,LOW,False,True,LOW,LOW,ZERO,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW
NORMAL,LOW,False,False,LOW,LOW,ZERO,LOW,ZERO,ZERO,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,LOW,False,False,LOW,LOW,ZERO,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,NORMAL
NORMAL,LOW,False,False,LOW,LOW,ZERO,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,NORMAL
NORMAL,LOW,False,True,LOW,LOW,ZERO,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,NORMAL
NORMAL,LOW,False,True,LOW,HIGH,HIGH,LOW,HIGH,LOW,LOW,NORMAL,NORMAL,LOW
NORMAL,LOW,False,False,LOW,LOW,ZERO,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,NORMAL
NORMAL,LOW,False,False,LOW,LOW,ZERO,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,HIGH
NORMAL,LOW,True,False,NORMAL,LOW,LOW,HIGH,LOW,LOW,HIGH,HIGH,NORMAL,HIGH
NORMAL,LOW,False,True,LOW,LOW,ZERO,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW
NORMAL,LOW,True,False,LOW,HIGH,HIGH,LOW,HIGH,LOW,LOW,NORMAL,NORMAL,NORMAL
NORMAL,LOW,False,False,LOW,LOW,ZERO,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,NORMAL
NORMAL,LOW,False,False,LOW,LOW,ZERO,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,NORMAL
NORMAL,LOW,False,False,LOW,LOW,ZERO,LOW,ZERO,ZERO,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,LOW,False,True,LOW,LOW,ZERO,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW
NORMAL,LOW,False,False,LOW,LOW,ZERO,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,HIGH
HIGH,HIGH,False,False,HIGH,LOW,HIGH,HIGH,LOW,HIGH,HIGH,HIGH,NORMAL,LOW
NORMAL,LOW,False,False,LOW,LOW,ZERO,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,NORMAL
NORMAL,ZERO,False,False,LOW,LOW,NORMAL,LOW,NORMAL,ZERO,NORMAL,NORMAL,NORMAL,NORMAL
NORMAL,LOW,False,False,LOW,LOW,ZERO,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,HIGH
NORMAL,ZERO,False,False,LOW,LOW,ZERO,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,NORMAL
NORMAL,LOW,False,False,LOW,LOW,ZERO,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,HIGH
NORMAL,LOW,False,False,LOW,LOW,ZERO,NORMAL,ZERO,ZERO,HIGH,HIGH,NORMAL,NORMAL
NORMAL,LOW,False,False,LOW,LOW,ZERO,LOW,ZERO,ZERO,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,LOW,False,False,LOW,LOW,ZERO,HIGH,ZERO,ZERO,HIGH,HIGH,LOW,NORMAL
NORMAL,LOW,False,False,LOW,LOW,ZERO,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,NORMAL
NORMAL,LOW,False,False,LOW,LOW,ZERO,NORMAL,ZERO,ZERO,HIGH,HIGH,NORMAL,NORMAL
NORMAL,LOW,True,False,NORMAL,LOW,ZERO,HIGH,ZERO,LOW,HIGH,HIGH,NORMAL,NORMAL
NORMAL,ZERO,False,False,LOW,NORMAL,HIGH,LOW,HIGH,LOW,LOW,NORMAL,LOW,HIGH
NORMAL,LOW,False,False,LOW,LOW,ZERO,NORMAL,ZERO,ZERO,HIGH,HIGH,NORMAL,NORMAL
LOW,ZERO,False,False,LOW,HIGH,HIGH,LOW,HIGH,LOW,LOW,NORMAL,NORMAL,HIGH
NORMAL,LOW,False,False,LOW,LOW,ZERO,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,NORMAL
NORMAL,LOW,False,False,LOW,LOW,ZERO,HIGH,ZERO,ZERO,NORMAL,HIGH,NORMAL,NORMAL
NORMAL,LOW,False,False,LOW,LOW,ZERO,NORMAL,ZERO,ZERO,HIGH,LOW,NORMAL,NORMAL
NORMAL,LOW,False,False,LOW,LOW,ZERO,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,NORMAL
NORMAL,LOW,False,False,LOW,LOW,ZERO,NORMAL,ZERO,ZERO,HIGH,HIGH,NORMAL,HIGH
LOW,NORMAL,False,False,LOW,LOW,ZERO,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,NORMAL
NORMAL,LOW,False,False,LOW,LOW,ZERO,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,NORMAL
NORMAL,LOW,False,False,LOW,LOW,ZERO,HIGH,LOW,ZERO,HIGH,HIGH,NORMAL,NORMAL
NORMAL,LOW,False,False,LOW,LOW,ZERO,NORMAL,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW
NORMAL,LOW,False,False,LOW,LOW,ZERO,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,HIGH
NORMAL,LOW,False,False,ZERO,LOW,ZERO,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,HIGH,False,False,LOW,HIGH,HIGH,HIGH,HIGH,LOW,LOW,HIGH,NORMAL,NORMAL
NORMAL,LOW,False,False,LOW,LOW,ZERO,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,HIGH
NORMAL,LOW,False,False,NORMAL,LOW,LOW,LOW,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
NORMAL,LOW,False,False,LOW,LOW,ZERO,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,NORMAL
NORMAL,LOW,False,False,LOW,LOW,ZERO,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,NORMAL
ZERO,ZERO,False,False,LOW,HIGH,HIGH,HIGH,HIGH,LOW,LOW,NORMAL,NORMAL,HIGH
NORMAL,LOW,False,False,LOW,LOW,ZERO,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW
NORMAL,ZERO,False,False,LOW,HIGH,HIGH,HIGH,HIGH,LOW,LOW,HIGH,NORMAL,NORMAL
NORMAL,LOW,False,False,LOW,LOW,ZERO,LOW,ZERO,ZERO,HIGH,HIGH,NORMAL,NORMAL
NORMAL,LOW,False,False,LOW,LOW,ZERO,HIGH,ZERO,ZERO,HIGH,HIGH,LOW,HIGH
NORMAL,LOW,False,False,LOW,LOW,ZERO,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,HIGH
HIGH,NORMAL,False,False,HIGH,LOW,LOW,HIGH,LOW,HIGH,HIGH,HIGH,NORMAL,NORMAL
ZERO,ZERO,False,True,ZERO,HIGH,HIGH,LOW,HIGH,LOW,NORMAL,LOW,NORMAL,LOW
NORMAL,LOW,False,False,NORMAL,HIGH,LOW,HIGH,HIGH,NORMAL,LOW,HIGH,NORMAL,HIGH
NORMAL,LOW,False,False,LOW,LOW,ZERO,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,HIGH,True,False,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
HIGH,HIGH,False,False,LOW,HIGH,HIGH,HIGH,HIGH,LOW,LOW,HIGH,NORMAL,NORMAL
NORMAL,LOW,False,False,LOW,LOW,ZERO,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,NORMAL
NORMAL,LOW,False,False,LOW,LOW,ZERO,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW
NORMAL,LOW,False,False,LOW,LOW,NORMAL,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,HIGH
NORMAL,LOW,False,False,NORMAL,LOW,ZERO,HIGH,NORMAL,NORMAL,LOW,HIGH,NORMAL,NORMAL
NORMAL,LOW,False,False,LOW,LOW,ZERO,LOW,ZERO,ZERO,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,ZERO,False,False,LOW,HIGH,HIGH,HIGH,HIGH,LOW,LOW,HIGH,NORMAL,NORMAL
NORMAL,LOW,True,False,NORMAL,NORMAL,ZERO,HIGH,LOW,LOW,HIGH,HIGH,NORMAL,NORMAL
