E,F,G,H,I,J,O
13,Never-married,Adm-clerical,Not-in-family,White,Male,<=50K
13,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50K
9,Divorced,Handlers-cleaners,Not-in-family,White,Male,<=50K
7,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,<=50K
13,Married-civ-spouse,Prof-specialty,Wife,Black,Female,<=50K
14,Married-civ-spouse,Exec-managerial,Wife,White,Female,<=50K
5,Married-spouse-absent,Other-service,Not-in-family,Black,Female,<=50K
9,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
14,Never-married,Prof-specialty,Not-in-family,White,Female,>50K
13,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,>50K
13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,>50K
13,Never-married,Adm-clerical,Own-child,White,Female,<=50K
12,Never-married,Sales,Not-in-family,Black,Male,<=50K
11,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,>50K
4,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,<=50K
9,Never-married,Farming-fishing,Own-child,White,Male,<=50K
9,Never-married,Machine-op-inspct,Unmarried,White,Male,<=50K
7,Married-civ-spouse,Sales,Husband,White,Male,<=50K
14,Divorced,Exec-managerial,Unmarried,White,Female,>50K
16,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
9,Separated,Other-service,Unmarried,Black,Female,<=50K
5,Married-civ-spouse,Farming-fishing,Husband,Black,Male,<=50K
7,Married-civ-spouse,Transport-moving,Husband,White,Male,<=50K
9,Divorced,Tech-support,Unmarried,White,Female,<=50K
13,Married-civ-spouse,Tech-support,Husband,White,Male,>50K
9,Never-married,Craft-repair,Own-child,White,Male,<=50K
10,Married-civ-spouse,noValueSetHere123156456,Husband,Asian-Pac-Islander,Male,>50K
9,Divorced,Exec-managerial,Not-in-family,White,Male,<=50K
9,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
12,Never-married,Protective-serv,Not-in-family,White,Male,<=50K
10,Never-married,Sales,Own-child,Black,Male,<=50K
13,Divorced,Exec-managerial,Own-child,White,Male,<=50K
10,Married-civ-spouse,Adm-clerical,Own-child,White,Male,<=50K
10,Married-civ-spouse,Other-service,Husband,Black,Male,<=50K
7,Never-married,Machine-op-inspct,Unmarried,White,Male,<=50K
10,Never-married,Machine-op-inspct,Own-child,White,Male,<=50K
9,Married-AF-spouse,Adm-clerical,Wife,White,Female,<=50K
10,Married-civ-spouse,Sales,Husband,White,Male,>50K
12,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50K
5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50K
13,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50K
13,Married-civ-spouse,Tech-support,Husband,White,Male,<=50K
9,Separated,Adm-clerical,Unmarried,White,Female,<=50K
9,Never-married,Handlers-cleaners,Not-in-family,White,Male,<=50K
13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,>50K
9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50K
14,Divorced,Exec-managerial,Unmarried,White,Female,<=50K
11,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
11,Never-married,Prof-specialty,Not-in-family,White,Male,<=50K
10,Married-civ-spouse,Exec-managerial,Wife,Other,Female,<=50K
9,Never-married,Other-service,Own-child,White,Female,<=50K
15,Married-civ-spouse,Prof-specialty,Wife,White,Female,>50K
13,Divorced,Exec-managerial,Not-in-family,White,Male,>50K
9,Divorced,Exec-managerial,Not-in-family,White,Male,<=50K
10,Married-civ-spouse,Tech-support,Husband,White,Male,>50K
3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50K
11,Married-civ-spouse,Other-service,Husband,White,Male,<=50K
9,Married-civ-spouse,Adm-clerical,Husband,White,Male,<=50K
9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50K
13,Married-civ-spouse,Sales,Husband,White,Male,<=50K
4,Married-spouse-absent,noValueSetHere123156456,Not-in-family,White,Male,<=50K
9,Married-civ-spouse,Transport-moving,Husband,White,Male,<=50K
16,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
10,Divorced,Tech-support,Not-in-family,White,Male,<=50K
9,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
10,Divorced,Adm-clerical,Not-in-family,White,Female,<=50K
9,Married-civ-spouse,Adm-clerical,Wife,White,Female,>50K
10,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
10,Never-married,noValueSetHere123156456,Own-child,White,Male,<=50K
10,Never-married,Prof-specialty,Own-child,White,Male,<=50K
13,Separated,Sales,Own-child,Black,Female,<=50K
13,Married-civ-spouse,Sales,Husband,White,Male,>50K
10,Never-married,Machine-op-inspct,Not-in-family,White,Male,<=50K
10,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,<=50K
9,Never-married,Other-service,Own-child,White,Male,<=50K
12,Married-civ-spouse,Adm-clerical,Husband,White,Male,<=50K
6,Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,<=50K
7,Never-married,Other-service,Own-child,White,Female,<=50K
4,Married-civ-spouse,Farming-fishing,Husband,White,Male,<=50K
9,Never-married,Sales,Not-in-family,White,Male,<=50K
13,Married-civ-spouse,Other-service,Husband,White,Male,<=50K
9,Married-civ-spouse,Other-service,Wife,White,Female,<=50K
9,Married-civ-spouse,Sales,Husband,White,Male,<=50K
9,Divorced,Craft-repair,Not-in-family,White,Female,>50K
9,Divorced,Sales,Own-child,White,Female,<=50K
9,Married-civ-spouse,Protective-serv,Husband,White,Male,>50K
14,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50K
5,Never-married,Sales,Not-in-family,White,Male,<=50K
16,Never-married,Prof-specialty,Not-in-family,White,Female,>50K
11,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50K
10,Divorced,Craft-repair,Unmarried,White,Female,<=50K
10,Divorced,Machine-op-inspct,Unmarried,Black,Female,<=50K
9,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,<=50K
13,Married-civ-spouse,Protective-serv,Husband,White,Male,>50K
10,Never-married,Handlers-cleaners,Not-in-family,White,Male,<=50K
16,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
10,Married-civ-spouse,Sales,Husband,White,Male,>50K
12,Divorced,Exec-managerial,Unmarried,White,Female,<=50K
9,Never-married,Other-service,Own-child,Black,Male,<=50K
14,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
13,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
14,Never-married,Prof-specialty,Not-in-family,White,Female,<=50K
10,Never-married,Tech-support,Own-child,White,Female,<=50K
9,Never-married,Craft-repair,Not-in-family,White,Male,<=50K
9,Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
6,Never-married,noValueSetHere123156456,Own-child,White,Female,<=50K
7,Never-married,Handlers-cleaners,Own-child,White,Male,<=50K
9,Never-married,Adm-clerical,Not-in-family,White,Female,<=50K
9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,<=50K
13,Never-married,Sales,Other-relative,White,Male,<=50K
15,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
9,Married-civ-spouse,Other-service,Husband,White,Male,>50K
10,Married-civ-spouse,Sales,Wife,White,Female,<=50K
9,Never-married,Machine-op-inspct,Own-child,White,Female,<=50K
5,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,<=50K
10,Married-civ-spouse,Sales,Husband,White,Male,<=50K
11,Married-civ-spouse,Craft-repair,Husband,Black,Male,>50K
10,Married-civ-spouse,Sales,Husband,White,Male,<=50K
9,Never-married,Craft-repair,Not-in-family,White,Male,<=50K
10,Never-married,Other-service,Own-child,White,Female,<=50K
13,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50K
13,Never-married,Exec-managerial,Own-child,Black,Male,<=50K
13,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
10,Never-married,Other-service,Own-child,Black,Male,<=50K
13,Married-civ-spouse,Exec-managerial,Wife,White,Female,>50K
10,Never-married,Adm-clerical,Own-child,White,Female,<=50K
12,Married-civ-spouse,Adm-clerical,Husband,White,Male,>50K
9,Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,<=50K
10,Divorced,Craft-repair,Not-in-family,White,Male,<=50K
12,Never-married,Sales,Not-in-family,White,Female,<=50K
9,Never-married,Other-service,Not-in-family,White,Female,<=50K
9,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
13,Married-civ-spouse,Sales,Husband,White,Male,<=50K
12,Divorced,Tech-support,Not-in-family,Black,Female,<=50K
14,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
9,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
11,Married-civ-spouse,Adm-clerical,Wife,White,Female,<=50K
10,Never-married,Sales,Own-child,White,Male,<=50K
10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,>50K
9,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
10,Never-married,Sales,Own-child,White,Female,<=50K
10,Never-married,Other-service,Own-child,White,Male,<=50K
11,Never-married,Prof-specialty,Not-in-family,White,Female,>50K
10,Never-married,Tech-support,Other-relative,White,Male,<=50K
9,Never-married,Transport-moving,Unmarried,Black,Female,<=50K
10,Married-civ-spouse,Other-service,Husband,White,Male,<=50K
9,Widowed,Other-service,Unmarried,White,Female,<=50K
7,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
10,Divorced,noValueSetHere123156456,Not-in-family,White,Female,<=50K
10,Divorced,Adm-clerical,Unmarried,White,Female,<=50K
9,Never-married,Adm-clerical,Not-in-family,White,Female,<=50K
13,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,<=50K
9,Never-married,Craft-repair,Own-child,White,Male,<=50K
9,Divorced,noValueSetHere123156456,Not-in-family,White,Male,>50K
9,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
