D,E,G,H,O
Bachelors,13,Adm-clerical,Not-in-family,<=50K
Bachelors,13,Exec-managerial,Husband,<=50K
HS-grad,9,Handlers-cleaners,Not-in-family,<=50K
11th,7,Handlers-cleaners,Husband,<=50K
Bachelors,13,Prof-specialty,Wife,<=50K
Masters,14,Exec-managerial,Wife,<=50K
9th,5,Other-service,Not-in-family,<=50K
HS-grad,9,Exec-managerial,Husband,>50K
Masters,14,Prof-specialty,Not-in-family,>50K
Bachelors,13,Exec-managerial,Husband,>50K
Some-college,10,Exec-managerial,Husband,>50K
Bachelors,13,Prof-specialty,Husband,>50K
Bachelors,13,Adm-clerical,Own-child,<=50K
Assoc-acdm,12,Sales,Not-in-family,<=50K
Assoc-voc,11,Craft-repair,Husband,>50K
7th-8th,4,Transport-moving,Husband,<=50K
HS-grad,9,Farming-fishing,Own-child,<=50K
HS-grad,9,Machine-op-inspct,Unmarried,<=50K
11th,7,Sales,Husband,<=50K
Masters,14,Exec-managerial,Unmarried,>50K
Doctorate,16,Prof-specialty,Husband,>50K
HS-grad,9,Other-service,Unmarried,<=50K
9th,5,Farming-fishing,Husband,<=50K
11th,7,Transport-moving,Husband,<=50K
HS-grad,9,Tech-support,Unmarried,<=50K
Bachelors,13,Tech-support,Husband,>50K
HS-grad,9,Craft-repair,Own-child,<=50K
Some-college,10,noValueSetHere123156456,Husband,>50K
HS-grad,9,Exec-managerial,Not-in-family,<=50K
HS-grad,9,Craft-repair,Husband,<=50K
Assoc-acdm,12,Protective-serv,Not-in-family,<=50K
Some-college,10,Sales,Own-child,<=50K
Bachelors,13,Exec-managerial,Own-child,<=50K
Some-college,10,Adm-clerical,Own-child,<=50K
Some-college,10,Other-service,Husband,<=50K
11th,7,Machine-op-inspct,Unmarried,<=50K
Some-college,10,Machine-op-inspct,Own-child,<=50K
HS-grad,9,Adm-clerical,Wife,<=50K
Some-college,10,Sales,Husband,>50K
Assoc-acdm,12,Prof-specialty,Husband,<=50K
9th,5,Machine-op-inspct,Husband,<=50K
Bachelors,13,Prof-specialty,Husband,<=50K
Bachelors,13,Tech-support,Husband,<=50K
HS-grad,9,Adm-clerical,Unmarried,<=50K
HS-grad,9,Handlers-cleaners,Not-in-family,<=50K
Bachelors,13,Prof-specialty,Husband,>50K
HS-grad,9,Machine-op-inspct,Husband,<=50K
Masters,14,Exec-managerial,Unmarried,<=50K
Assoc-voc,11,Craft-repair,Husband,<=50K
Assoc-voc,11,Prof-specialty,Not-in-family,<=50K
Some-college,10,Exec-managerial,Wife,<=50K
HS-grad,9,Other-service,Own-child,<=50K
Prof-school,15,Prof-specialty,Wife,>50K
Bachelors,13,Exec-managerial,Not-in-family,>50K
HS-grad,9,Exec-managerial,Not-in-family,<=50K
Some-college,10,Tech-support,Husband,>50K
5th-6th,3,Machine-op-inspct,Husband,<=50K
Assoc-voc,11,Other-service,Husband,<=50K
HS-grad,9,Adm-clerical,Husband,<=50K
HS-grad,9,Machine-op-inspct,Husband,<=50K
Bachelors,13,Sales,Husband,<=50K
7th-8th,4,noValueSetHere123156456,Not-in-family,<=50K
HS-grad,9,Transport-moving,Husband,<=50K
Doctorate,16,Prof-specialty,Husband,>50K
Some-college,10,Tech-support,Not-in-family,<=50K
HS-grad,9,Craft-repair,Husband,<=50K
Some-college,10,Adm-clerical,Not-in-family,<=50K
HS-grad,9,Adm-clerical,Wife,>50K
Some-college,10,Exec-managerial,Husband,>50K
Some-college,10,noValueSetHere123156456,Own-child,<=50K
Some-college,10,Prof-specialty,Own-child,<=50K
Bachelors,13,Sales,Own-child,<=50K
Bachelors,13,Sales,Husband,>50K
Some-college,10,Machine-op-inspct,Not-in-family,<=50K
Some-college,10,Prof-specialty,Other-relative,<=50K
HS-grad,9,Other-service,Own-child,<=50K
Assoc-acdm,12,Adm-clerical,Husband,<=50K
10th,6,noValueSetHere123156456,Husband,<=50K
11th,7,Other-service,Own-child,<=50K
7th-8th,4,Farming-fishing,Husband,<=50K
HS-grad,9,Sales,Not-in-family,<=50K
Bachelors,13,Other-service,Husband,<=50K
HS-grad,9,Other-service,Wife,<=50K
HS-grad,9,Sales,Husband,<=50K
