H,I,N
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,Black,United-States
Wife,Black,Cuba
Wife,White,United-States
Not-in-family,Black,Jamaica
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,Black,United-States
Husband,Asian-Pac-Islander,India
Own-child,White,United-States
Not-in-family,Black,United-States
Husband,Asian-Pac-Islander,noValueSetHere123156456
Husband,Amer-Indian-Eskimo,Mexico
Own-child,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Unmarried,Black,United-States
Husband,Black,United-States
Husband,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,Asian-Pac-Islander,South
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,Black,United-States
Own-child,White,United-States
Own-child,White,United-States
Husband,Black,United-States
Unmarried,White,Puerto-Rico
Own-child,White,United-States
Wife,White,United-States
Husband,White,noValueSetHere123156456
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Not-in-family,White,United-States
Husband,Black,United-States
Husband,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Wife,Other,United-States
Own-child,White,noValueSetHere123156456
Wife,White,Honduras
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,Mexico
Husband,White,Puerto-Rico
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,noValueSetHere123156456
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Wife,White,United-States
Husband,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Own-child,Black,United-States
Husband,White,United-States
Not-in-family,White,United-States
Other-relative,White,United-States
Own-child,White,Mexico
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,Cuba
Wife,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Unmarried,Black,United-States
Wife,Asian-Pac-Islander,noValueSetHere123156456
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,White,England
Own-child,Black,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Other-relative,White,United-States
Husband,White,United-States
Husband,White,Canada
Wife,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,Black,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,United-States
Own-child,Black,Germany
Husband,White,United-States
Own-child,Black,United-States
Wife,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,Black,United-States
Husband,White,Iran
Husband,White,United-States
Wife,White,United-States
Own-child,White,United-States
Husband,Asian-Pac-Islander,United-States
Husband,White,United-States
Own-child,White,United-States
Own-child,White,Mexico
Not-in-family,White,United-States
Other-relative,White,United-States
Unmarried,Black,United-States
Husband,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,White,Mexico
Not-in-family,White,United-States
Other-relative,Asian-Pac-Islander,Philippines
Own-child,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,Black,United-States
Not-in-family,White,United-States
Other-relative,Black,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Unmarried,Asian-Pac-Islander,United-States
Not-in-family,Asian-Pac-Islander,England
Husband,White,United-States
Unmarried,White,Mexico
Not-in-family,White,United-States
Unmarried,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Own-child,Black,United-States
Not-in-family,Black,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,Black,United-States
Not-in-family,White,United-States
Not-in-family,Black,United-States
Husband,White,Mexico
Husband,White,United-States
Husband,Black,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Wife,White,United-States
Husband,White,United-States
Not-in-family,Black,United-States
Husband,White,United-States
Husband,Black,United-States
Husband,White,United-States
Husband,White,United-States
Other-relative,White,Mexico
Not-in-family,White,United-States
Not-in-family,White,United-States
Other-relative,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Own-child,White,Italy
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Own-child,White,United-States
Husband,Black,United-States
Not-in-family,White,United-States
Wife,White,United-States
Own-child,White,United-States
Husband,Black,United-States
Husband,White,United-States
Not-in-family,Amer-Indian-Eskimo,United-States
Husband,Asian-Pac-Islander,United-States
Husband,White,United-States
Not-in-family,Black,United-States
Not-in-family,White,United-States
Husband,White,Poland
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,Black,United-States
Husband,Black,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Not-in-family,Amer-Indian-Eskimo,United-States
Husband,White,United-States
Not-in-family,White,Columbia
Not-in-family,White,United-States
Not-in-family,Black,United-States
Unmarried,Black,United-States
Not-in-family,White,United-States
Other-relative,Other,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,Iran
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Wife,White,United-States
Husband,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Husband,White,noValueSetHere123156456
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,noValueSetHere123156456
Wife,White,United-States
Wife,Black,United-States
Unmarried,Black,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Husband,Asian-Pac-Islander,Cambodia
Own-child,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,Asian-Pac-Islander,Thailand
Own-child,White,Canada
Husband,White,United-States
Not-in-family,White,United-States
Wife,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Husband,Black,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Wife,White,United-States
Not-in-family,White,Germany
Husband,White,United-States
Unmarried,Black,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,Ecuador
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
