J,M,O
Male,40,<=50K
Male,13,<=50K
Male,40,<=50K
Male,40,<=50K
Female,40,<=50K
Female,40,<=50K
Female,16,<=50K
Male,45,>50K
Female,50,>50K
Male,40,>50K
Male,80,>50K
Male,40,>50K
Female,30,<=50K
Male,50,<=50K
Male,40,>50K
Male,45,<=50K
Male,35,<=50K
Male,40,<=50K
Male,50,<=50K
Female,45,>50K
Male,60,>50K
Female,20,<=50K
Male,40,<=50K
Male,40,<=50K
Female,40,<=50K
Male,40,>50K
Male,40,<=50K
Male,60,>50K
Male,80,<=50K
Male,40,<=50K
Male,52,<=50K
Male,44,<=50K
Male,40,<=50K
Male,40,<=50K
Male,15,<=50K
Male,40,<=50K
Male,40,<=50K
Female,25,<=50K
Male,38,>50K
Male,40,<=50K
Male,43,<=50K
Male,40,<=50K
Male,50,<=50K
Female,40,<=50K
Male,35,<=50K
Male,40,>50K
Male,38,<=50K
Female,40,<=50K
Male,40,<=50K
Male,43,<=50K
Female,40,<=50K
Female,30,<=50K
Female,60,>50K
Male,55,>50K
Male,60,<=50K
Male,40,>50K
Male,40,<=50K
Male,40,<=50K
Male,48,<=50K
Male,40,<=50K
Male,40,<=50K
Male,40,<=50K
Male,40,<=50K
Male,45,>50K
Male,58,<=50K
Male,40,<=50K
Female,40,<=50K
Female,40,>50K
Male,50,>50K
Male,40,<=50K
Male,32,<=50K
Female,40,<=50K
Male,70,>50K
Male,40,<=50K
Male,20,<=50K
Male,40,<=50K
Male,40,<=50K
Male,2,<=50K
Female,22,<=50K
Male,40,<=50K
Male,30,<=50K
Male,40,<=50K
Female,40,<=50K
Male,48,<=50K
Female,40,>50K
Female,35,<=50K
Male,40,>50K
Male,50,<=50K
Male,40,<=50K
Female,50,>50K
Male,40,<=50K
Female,40,<=50K
Female,25,<=50K
Female,35,<=50K
Male,40,>50K
Male,50,<=50K
Male,60,>50K
Male,48,>50K
Female,40,<=50K
Male,40,<=50K
Male,40,>50K
Male,60,>50K
Female,50,<=50K
Female,40,<=50K
Male,40,<=50K
Male,40,>50K
Female,32,<=50K
Male,40,<=50K
Female,40,<=50K
Male,40,<=50K
Male,40,<=50K
Male,40,>50K
Male,50,>50K
Female,25,<=50K
Female,40,<=50K
Male,50,<=50K
Male,50,<=50K
Male,40,>50K
Male,56,<=50K
Male,41,<=50K
Female,40,<=50K
Male,60,<=50K
Male,40,<=50K
Male,50,>50K
Male,35,<=50K
Female,40,>50K
Female,28,<=50K
Male,40,>50K
Male,40,<=50K
Male,40,<=50K
Female,60,<=50K
Female,40,<=50K
Male,35,<=50K
Male,50,<=50K
Female,36,<=50K
Male,40,>50K
Male,60,<=50K
Female,35,<=50K
Male,20,<=50K
Male,40,>50K
Male,40,<=50K
Female,40,<=50K
Male,30,<=50K
Female,40,>50K
Male,40,<=50K
Female,30,<=50K
Male,24,<=50K
Female,24,<=50K
Male,40,<=50K
Female,40,<=50K
Female,38,<=50K
Female,40,<=50K
Female,40,<=50K
Male,35,<=50K
Male,45,>50K
Male,46,<=50K
Male,40,<=50K
Male,2,<=50K
Male,60,<=50K
Male,50,<=50K
Female,20,<=50K
Female,40,<=50K
Female,40,<=50K
Female,40,<=50K
Male,40,>50K
Female,40,<=50K
Male,42,<=50K
Male,40,<=50K
Male,16,<=50K
Female,20,<=50K
Male,40,<=50K
Male,40,<=50K
Male,40,>50K
Male,50,<=50K
Male,40,>50K
Female,25,<=50K
Male,40,<=50K
Male,40,<=50K
Male,12,<=50K
Male,65,<=50K
Male,38,>50K
Female,40,<=50K
Male,45,<=50K
Male,40,>50K
Male,42,>50K
Male,40,<=50K
Female,40,<=50K
Female,50,<=50K
Female,50,<=50K
Male,1,>50K
Female,28,<=50K
Male,40,<=50K
Male,40,<=50K
Male,45,<=50K
Male,24,<=50K
Male,40,<=50K
Male,40,<=50K
Female,55,>50K
Male,40,>50K
Male,40,<=50K
Female,40,<=50K
Male,40,<=50K
Male,50,>50K
Female,40,<=50K
Female,35,<=50K
Female,40,<=50K
Male,36,>50K
Male,60,<=50K
Female,35,>50K
Female,12,<=50K
Male,40,<=50K
Male,40,>50K
Female,40,<=50K
Male,40,<=50K
Male,40,>50K
Male,60,>50K
Female,40,<=50K
Male,50,<=50K
Male,55,<=50K
Male,40,<=50K
Male,40,<=50K
Male,40,<=50K
Male,40,<=50K
Male,20,<=50K
Female,35,<=50K
Female,40,<=50K
Female,10,<=50K
Male,50,<=50K
Female,20,<=50K
Female,40,<=50K
Male,40,<=50K
Female,38,<=50K
Male,42,<=50K
Female,40,<=50K
Male,55,>50K
Male,40,<=50K
Female,38,<=50K
Male,50,>50K
Male,70,>50K
Male,40,<=50K
Male,40,>50K
Female,20,<=50K
Male,50,<=50K
Male,20,<=50K
Male,40,<=50K
Male,35,<=50K
Male,45,>50K
Female,34,<=50K
Male,60,>50K
Male,40,<=50K
Female,40,>50K
Female,40,<=50K
Female,30,<=50K
Male,40,<=50K
Male,20,<=50K
Male,40,>50K
Female,40,<=50K
Female,30,<=50K
Female,45,<=50K
Male,40,<=50K
Female,40,<=50K
Male,60,<=50K
Male,12,<=50K
Male,40,<=50K
Male,40,<=50K
Male,75,>50K
Male,24,<=50K
Male,40,>50K
Female,45,<=50K
Female,40,>50K
Male,40,>50K
Male,24,<=50K
Male,98,<=50K
Male,35,<=50K
Female,40,<=50K
Male,40,<=50K
Male,40,>50K
Female,40,<=50K
Female,40,<=50K
Female,48,>50K
Female,15,<=50K
Male,40,>50K
Female,45,<=50K
Female,42,<=50K
Male,40,<=50K
Male,40,>50K
Male,60,>50K
Male,45,<=50K
Female,40,<=50K
Male,40,<=50K
Male,45,<=50K
Female,40,<=50K
Male,56,<=50K
Male,45,<=50K
Female,40,<=50K
Male,16,<=50K
Female,60,<=50K
Female,40,<=50K
Male,40,<=50K
Male,80,<=50K
Male,40,>50K
Female,25,<=50K
Male,45,>50K
Male,40,>50K
Female,40,<=50K
Female,40,<=50K
Male,45,<=50K
Female,33,<=50K
Male,40,>50K
Male,54,>50K
Male,40,<=50K
Male,35,>50K
Female,25,<=50K
Female,40,>50K
Male,15,<=50K
Male,40,<=50K
Male,40,<=50K
Female,40,<=50K
Female,40,<=50K
Female,24,<=50K
Male,40,<=50K
Male,50,<=50K
Male,45,<=50K
Female,40,<=50K
Male,10,<=50K
Male,45,<=50K
Female,15,<=50K
Female,50,>50K
Male,40,<=50K
Male,55,<=50K
Male,45,<=50K
Male,40,<=50K
Male,40,<=50K
Male,40,<=50K
Male,40,<=50K
Male,48,<=50K
Male,40,<=50K
Male,60,<=50K
Male,30,<=50K
Male,40,<=50K
Male,40,<=50K
Male,40,>50K
Male,40,>50K
Male,20,<=50K
Female,40,<=50K
Male,42,<=50K
Male,8,<=50K
Female,40,<=50K
Male,25,<=50K
Male,25,<=50K
Male,40,>50K
Male,40,<=50K
Male,40,>50K
Male,30,<=50K
Male,40,>50K
Male,40,>50K
Male,40,<=50K
Male,40,>50K
Female,35,<=50K
Male,40,<=50K
Female,24,<=50K
Male,40,>50K
Male,45,<=50K
Male,45,>50K
Male,55,<=50K
Male,40,<=50K
Male,45,<=50K
Female,15,<=50K
Female,45,>50K
Female,40,<=50K
Female,15,<=50K
Male,10,<=50K
Male,38,>50K
Male,40,<=50K
Male,40,<=50K
Female,10,<=50K
Female,40,<=50K
Male,40,<=50K
Male,30,<=50K
Male,50,<=50K
Male,40,<=50K
Female,45,<=50K
Male,40,<=50K
Female,40,<=50K
Female,40,<=50K
Female,25,<=50K
Male,40,<=50K
Female,6,>50K
Female,16,<=50K
Female,40,<=50K
Female,40,>50K
Male,50,<=50K
Male,40,<=50K
Male,45,>50K
Female,35,<=50K
Male,40,<=50K
Female,40,<=50K
Female,35,<=50K
Male,55,>50K
Male,50,>50K
Male,40,<=50K
Female,40,<=50K
Male,40,>50K
Female,64,<=50K
Male,40,<=50K
Male,65,>50K
Male,40,<=50K
Male,25,<=50K
Female,40,>50K
Male,50,<=50K
Female,24,<=50K
Female,40,<=50K
Female,40,<=50K
Male,60,>50K
Male,40,<=50K
Male,50,>50K
Male,40,<=50K
Female,19,<=50K
Male,40,<=50K
Female,40,<=50K
Male,30,<=50K
Male,18,<=50K
Female,40,>50K
Male,40,<=50K
Female,35,<=50K
Male,60,<=50K
Male,40,<=50K
Male,72,<=50K
Male,40,>50K
Male,40,<=50K
Male,24,<=50K
Male,40,<=50K
Female,40,<=50K
Female,25,>50K
Male,40,<=50K
Male,50,>50K
Male,60,<=50K
Female,40,<=50K
Male,40,<=50K
Female,40,<=50K
Male,40,<=50K
Female,28,<=50K
Male,40,<=50K
Male,40,>50K
Male,40,<=50K
Male,35,<=50K
Female,40,<=50K
Male,40,<=50K
Male,40,<=50K
Female,5,<=50K
Female,40,<=50K
Male,55,>50K
Male,40,>50K
Male,40,>50K
Female,40,>50K
Male,40,>50K
Female,40,<=50K
Male,50,<=50K
Male,60,<=50K
Male,40,<=50K
Male,40,<=50K
Male,40,<=50K
Male,50,<=50K
Male,40,<=50K
Female,20,<=50K
Female,60,<=50K
Male,40,<=50K
Male,40,<=50K
Male,45,>50K
Female,16,>50K
Male,40,>50K
Male,40,<=50K
Male,40,<=50K
Male,60,<=50K
Female,24,<=50K
Female,40,<=50K
Male,6,<=50K
Male,30,<=50K
Male,40,<=50K
Female,35,<=50K
Male,45,<=50K
Male,20,<=50K
Male,20,<=50K
Female,40,<=50K
Male,40,<=50K
Female,20,<=50K
Male,35,<=50K
Male,45,<=50K
Female,40,<=50K
Male,60,>50K
Female,35,<=50K
Male,40,<=50K
Female,60,<=50K
Female,25,<=50K
Male,20,<=50K
Female,36,<=50K
Male,40,<=50K
Male,40,<=50K
Female,35,<=50K
Male,20,<=50K
Male,40,<=50K
Male,40,<=50K
Male,40,<=50K
Female,42,<=50K
Female,40,<=50K
Male,40,<=50K
Male,8,<=50K
Male,40,<=50K
Female,40,<=50K
Female,40,<=50K
Male,42,<=50K
Female,30,<=50K
Male,45,<=50K
Male,50,>50K
Male,45,<=50K
Female,38,<=50K
Female,20,<=50K
Male,24,<=50K
Female,35,<=50K
Male,50,>50K
Male,80,>50K
Male,50,>50K
Male,50,<=50K
Male,45,>50K
Male,58,>50K
Female,40,<=50K
Male,40,>50K
Female,9,<=50K
Male,50,<=50K
Male,40,<=50K
Female,46,<=50K
Male,40,<=50K
Male,40,<=50K
Female,50,>50K
Male,48,>50K
Male,50,<=50K
Female,30,<=50K
Male,40,<=50K
Female,45,<=50K
Female,40,<=50K
Male,40,<=50K
Male,40,<=50K
Female,40,<=50K
Male,40,<=50K
Male,50,<=50K
Female,45,<=50K
Female,8,<=50K
Male,40,<=50K
Male,36,<=50K
Male,40,<=50K
Male,50,<=50K
Female,40,<=50K
Female,40,<=50K
Female,40,<=50K
Female,40,>50K
Female,40,<=50K
Male,40,<=50K
Female,20,<=50K
Female,32,<=50K
Male,40,<=50K
Male,55,<=50K
Male,35,>50K
Male,50,>50K
Female,40,<=50K
Male,60,>50K
Male,48,<=50K
Male,45,<=50K
Female,40,<=50K
Male,35,<=50K
Male,42,<=50K
Male,40,<=50K
Male,40,<=50K
Male,12,<=50K
Male,40,>50K
Female,70,<=50K
Male,40,>50K
Male,25,<=50K
Female,35,<=50K
Female,40,<=50K
Male,45,<=50K
Male,30,>50K
Male,40,>50K
Male,40,<=50K
Male,40,<=50K
Male,40,<=50K
Female,24,<=50K
Male,60,<=50K
Male,40,<=50K
Male,47,>50K
Male,80,<=50K
Male,40,<=50K
Female,40,<=50K
Male,48,>50K
Male,40,>50K
Female,40,<=50K
Male,40,<=50K
Female,25,<=50K
