Attribute1,Attribute3,Attribute4,Attribute14,Attribute16,class
A11,A34,A43,A143,2,1
A12,A32,A43,A143,1,2
A14,A34,A46,A143,1,1
A11,A32,A42,A143,1,1
A11,A33,A40,A143,2,2
A14,A32,A46,A143,1,1
A14,A32,A42,A143,1,1
A12,A32,A41,A143,1,1
A14,A32,A43,A143,1,1
A12,A34,A40,A143,2,2
A12,A32,A40,A143,1,2
A11,A32,A49,A143,1,2
A12,A32,A43,A143,1,1
A11,A34,A40,A143,2,2
A11,A32,A40,A143,1,1
A11,A32,A43,A143,1,2
A14,A34,A43,A143,2,1
A11,A30,A49,A141,3,1
A12,A32,A41,A143,1,2
A14,A32,A43,A143,1,1
A14,A34,A40,A143,3,1
A11,A32,A43,A143,1,1
A11,A34,A40,A143,2,1
A12,A34,A41,A143,1,1
A14,A34,A42,A143,2,1
A11,A32,A42,A141,1,1
A14,A30,A43,A143,1,1
A13,A31,A43,A143,2,1
A12,A32,A43,A143,1,1
A11,A33,A49,A143,2,2
A12,A32,A49,A141,1,1
A11,A32,A42,A142,1,1
A12,A32,A40,A143,2,1
A14,A34,A49,A143,1,1
A13,A32,A42,A141,1,1
A12,A34,A43,A143,2,2
A14,A34,A46,A141,1,1
A13,A32,A43,A142,1,2
A13,A32,A44,A143,1,1
A12,A32,A43,A143,1,1
A14,A32,A43,A141,1,1
A12,A32,A43,A143,1,1
A12,A33,A45,A143,1,1
A11,A34,A41,A143,2,1
A11,A34,A41,A142,2,2
A14,A34,A40,A143,2,1
A14,A32,A43,A143,1,1
A11,A32,A41,A143,1,1
A14,A34,A40,A143,2,1
A14,A32,A43,A143,1,1
A12,A33,A42,A141,1,1
A12,A33,A41,A143,2,1
A14,A32,A43,A143,1,1
A14,A32,A41,A143,1,1
A12,A33,A40,A141,2,2
A14,A31,A40,A142,1,1
A12,A32,A43,A143,1,2
A14,A34,A43,A142,2,1
A13,A32,A40,A143,1,1
A11,A34,A42,A143,2,2
A12,A32,A49,A141,1,1
A12,A34,A43,A143,2,1
A12,A30,A49,A143,1,2
A12,A30,A49,A143,1,2
A14,A32,A43,A143,1,1
A14,A32,A45,A143,4,1
A14,A32,A43,A141,1,1
A12,A32,A40,A143,1,1
A14,A32,A46,A142,1,2
A14,A32,A43,A143,1,1
A14,A32,A41,A141,1,1
A14,A34,A43,A143,2,1
A11,A34,A410,A141,2,1
A12,A34,A49,A141,2,1
A11,A32,A46,A143,1,2
A11,A34,A41,A143,2,1
A11,A32,A43,A143,1,2
A12,A33,A43,A143,1,1
A14,A30,A41,A143,1,1
A12,A32,A42,A143,1,1
A14,A32,A43,A143,2,2
A14,A32,A43,A142,1,1
A14,A32,A49,A143,1,1
A11,A32,A410,A143,1,1
A11,A32,A43,A143,1,1
A14,A34,A49,A143,2,1
A12,A34,A42,A143,2,1
A12,A32,A46,A143,1,2
A11,A32,A40,A143,1,1
A11,A30,A45,A143,2,2
A14,A34,A43,A143,1,1
A11,A34,A41,A143,1,1
A14,A34,A43,A141,1,2
A13,A34,A42,A143,2,1
A12,A32,A40,A143,1,1
A12,A30,A49,A143,1,2
A14,A34,A46,A143,1,1
A12,A32,A49,A143,1,1
A12,A34,A43,A143,1,1
A12,A33,A41,A141,2,1
A14,A32,A40,A143,1,1
A12,A32,A43,A143,1,1
A14,A33,A43,A143,1,1
A12,A34,A42,A143,1,1
A14,A32,A41,A143,1,1
A12,A34,A410,A143,2,2
A14,A31,A40,A141,2,2
A12,A32,A40,A143,1,1
A11,A32,A42,A143,1,1
A12,A32,A49,A143,1,1
A12,A33,A49,A141,2,1
A13,A32,A46,A143,1,1
A12,A32,A40,A143,1,1
A14,A34,A40,A142,2,2
A11,A32,A43,A143,1,1
A14,A34,A43,A143,1,1
A11,A32,A43,A143,1,2
A11,A34,A42,A143,2,1
A11,A34,A42,A143,2,2
A12,A34,A40,A143,1,1
A11,A32,A43,A143,2,2
A14,A34,A41,A143,2,1
A14,A32,A42,A143,1,1
A13,A34,A40,A143,2,1
A12,A32,A42,A143,1,2
A11,A34,A40,A143,2,1
A11,A32,A43,A143,1,1
A12,A32,A45,A143,1,2
A12,A34,A41,A143,2,1
A11,A34,A40,A143,2,2
A12,A32,A40,A143,1,1
A11,A33,A46,A142,1,2
A14,A32,A42,A141,2,1
A14,A32,A42,A141,2,1
A14,A32,A43,A143,1,1
A14,A34,A43,A143,2,1
A14,A33,A41,A143,2,1
A12,A32,A43,A143,1,2
A12,A34,A43,A141,3,1
A13,A32,A43,A143,1,1
A13,A32,A40,A143,1,1
A12,A32,A43,A143,1,1
A11,A32,A43,A143,1,1
A11,A32,A42,A143,1,2
A14,A34,A42,A143,1,1
A12,A31,A49,A143,1,1
A11,A34,A40,A143,2,1
A14,A34,A40,A143,2,1
A11,A34,A42,A143,2,1
A14,A34,A43,A143,2,1
A14,A32,A43,A141,1,1
A14,A32,A43,A143,1,1
A13,A32,A43,A143,1,1
A12,A34,A41,A143,1,1
A12,A33,A49,A143,1,1
A11,A32,A42,A143,1,2
A11,A34,A45,A143,2,1
A11,A31,A48,A141,1,1
A12,A32,A40,A141,2,1
A14,A34,A43,A143,2,1
A14,A34,A43,A143,1,1
A14,A34,A40,A143,2,1
A14,A32,A44,A143,2,1
A12,A32,A40,A141,1,1
A14,A32,A40,A143,1,1
A14,A32,A42,A143,1,1
A11,A32,A42,A143,1,2
A12,A32,A42,A143,1,1
A14,A32,A42,A143,1,1
A12,A34,A49,A143,2,2
A11,A30,A40,A143,2,2
A14,A32,A42,A143,1,1
A12,A33,A42,A143,1,2
A12,A32,A43,A143,1,1
A11,A33,A46,A143,2,2
A14,A31,A41,A141,1,2
A11,A32,A42,A143,1,1
A11,A34,A43,A143,2,1
A14,A32,A43,A143,2,1
A11,A34,A40,A143,2,1
A14,A33,A49,A143,2,2
A12,A33,A49,A142,2,2
A11,A31,A40,A143,2,2
A14,A34,A42,A143,1,1
A12,A34,A40,A141,1,2
A14,A34,A43,A143,2,1
A12,A31,A41,A141,1,2
A12,A34,A40,A143,3,1
A11,A32,A43,A143,1,2
A12,A30,A42,A141,2,1
A14,A32,A49,A143,3,2
A12,A30,A49,A143,1,2
A12,A32,A49,A143,1,2
A14,A32,A43,A143,1,1
A12,A32,A43,A143,1,2
A12,A34,A46,A143,2,2
A14,A34,A43,A143,2,1
A12,A32,A42,A141,4,2
A12,A32,A41,A141,1,1
A12,A33,A42,A143,1,2
A14,A34,A46,A143,2,1
A11,A32,A40,A143,1,1
A14,A33,A49,A143,2,1
A11,A32,A48,A143,1,2
A14,A34,A40,A143,2,1
A11,A34,A41,A143,3,1
A14,A34,A42,A143,3,1
A12,A34,A44,A143,1,1
A11,A32,A49,A142,1,1
A14,A32,A41,A143,1,1
A14,A34,A43,A143,2,1
A14,A32,A43,A143,1,1
A11,A30,A49,A142,2,2
A13,A33,A49,A143,1,2
A14,A34,A43,A143,1,1
A12,A34,A48,A143,2,1
A11,A30,A49,A141,1,1
A13,A32,A43,A143,1,1
A11,A32,A42,A143,1,1
A14,A32,A40,A143,1,1
A12,A32,A43,A141,1,1
A11,A32,A46,A141,1,1
A14,A32,A43,A141,2,1
A14,A33,A49,A143,2,1
A14,A32,A41,A143,1,1
A14,A30,A45,A143,2,1
A12,A32,A43,A141,2,2
A11,A32,A42,A143,1,2
A14,A32,A43,A143,1,2
A11,A32,A42,A141,1,1
A13,A32,A43,A143,1,2
A14,A32,A40,A143,1,1
A14,A32,A43,A143,1,1
A12,A32,A43,A143,1,1
A14,A34,A43,A143,3,1
A11,A32,A43,A142,1,2
A12,A32,A40,A143,1,2
A12,A32,A49,A141,2,2
A14,A34,A43,A143,2,1
A11,A32,A43,A143,1,1
A11,A32,A40,A141,1,2
A14,A32,A43,A143,1,1
A11,A30,A41,A143,2,2
A14,A34,A49,A143,2,1
A14,A31,A48,A143,1,1
A14,A32,A49,A143,1,1
A14,A34,A43,A143,3,1
A14,A30,A40,A141,1,1
A13,A32,A42,A143,1,1
A14,A32,A43,A143,1,2
A11,A34,A40,A143,2,1
A13,A32,A42,A143,1,1
A12,A32,A40,A141,1,2
A14,A33,A42,A143,2,1
A12,A32,A42,A143,1,1
A12,A33,A43,A143,1,1
A14,A34,A43,A143,2,1
A11,A31,A43,A143,1,2
A14,A32,A41,A143,1,1
A14,A34,A43,A143,3,1
A11,A32,A42,A143,1,1
A11,A32,A43,A143,1,1
A11,A34,A40,A143,3,1
A14,A34,A46,A141,3,1
A14,A34,A40,A143,2,1
A12,A32,A43,A143,1,2
A14,A34,A49,A143,2,1
A14,A32,A43,A142,1,1
A11,A32,A40,A143,1,2
A14,A32,A43,A143,2,1
A14,A32,A40,A143,1,1
A14,A34,A42,A143,1,1
A12,A31,A40,A143,1,1
A12,A32,A43,A143,2,2
A11,A32,A45,A143,1,2
A14,A32,A43,A143,1,1
A14,A34,A43,A143,2,1
A11,A32,A42,A143,1,1
A14,A32,A42,A143,1,2
A14,A32,A43,A143,1,1
A14,A34,A41,A143,2,1
A14,A32,A42,A143,1,1
A13,A31,A43,A141,1,1
A14,A34,A42,A143,1,1
A12,A34,A40,A143,1,1
A11,A32,A40,A143,1,1
A11,A32,A41,A143,1,1
A12,A33,A410,A143,1,1
A12,A32,A43,A143,2,1
A11,A33,A43,A142,1,2
A14,A32,A49,A143,1,1
A12,A32,A41,A143,1,2
A11,A34,A41,A143,2,1
A13,A34,A41,A143,1,1
A14,A34,A49,A141,2,1
A12,A32,A42,A143,1,2
A14,A32,A41,A143,1,1
A14,A32,A40,A143,1,1
A14,A32,A42,A143,1,1
A12,A34,A42,A143,2,1
A14,A32,A40,A143,1,1
A12,A30,A43,A143,1,2
A13,A34,A40,A141,2,2
A11,A34,A40,A143,2,1
A14,A34,A40,A141,1,2
A14,A32,A42,A143,1,1
A14,A32,A41,A142,1,1
A11,A32,A43,A143,1,2
A12,A32,A42,A143,1,2
A12,A32,A40,A143,1,1
A12,A32,A410,A141,1,1
A14,A32,A42,A142,1,1
A13,A32,A42,A143,1,1
A12,A32,A40,A141,1,2
A13,A32,A40,A143,1,1
A11,A31,A42,A141,1,2
A11,A32,A42,A143,1,1
A12,A32,A42,A143,1,1
A14,A34,A46,A143,2,1
A11,A33,A42,A143,2,1
A12,A34,A40,A143,2,2
A11,A32,A43,A143,1,2
A11,A32,A41,A143,1,1
A11,A32,A42,A143,1,1
A14,A34,A40,A143,2,1
A11,A34,A40,A143,2,1
A14,A34,A42,A143,1,1
A14,A32,A40,A143,1,1
A13,A32,A43,A143,1,1
A12,A32,A43,A143,1,1
A11,A34,A41,A143,2,1
A14,A34,A46,A143,2,2
A12,A32,A40,A143,1,2
A14,A34,A41,A141,2,2
A11,A30,A42,A141,2,2
A11,A34,A42,A143,1,2
A12,A32,A43,A143,1,1
A11,A32,A44,A143,1,2
A11,A32,A42,A143,1,1
A12,A32,A42,A143,1,1
A12,A34,A46,A143,2,1
A11,A32,A42,A143,1,1
A12,A32,A43,A143,1,1
A12,A32,A49,A141,1,1
A13,A32,A40,A143,1,1
A14,A34,A43,A143,1,1
A12,A34,A43,A143,2,1
A12,A32,A43,A143,1,1
A14,A33,A49,A143,2,1
A12,A34,A46,A143,2,2
A14,A32,A44,A143,1,1
A12,A32,A42,A143,1,2
A14,A34,A41,A143,1,1
A11,A30,A43,A143,2,2
A14,A32,A46,A143,1,1
A12,A32,A40,A142,1,2
A14,A34,A43,A143,1,1
A14,A33,A43,A143,2,2
A14,A32,A43,A143,1,1
A11,A32,A42,A143,1,2
A12,A32,A46,A143,1,1
A13,A32,A43,A143,1,1
A13,A33,A40,A142,2,1
A14,A32,A42,A143,1,1
A11,A32,A42,A143,1,2
A14,A32,A49,A143,1,1
A14,A34,A41,A143,2,1
A11,A32,A42,A143,1,1
A11,A32,A42,A143,1,2
A12,A32,A42,A143,1,1
A14,A32,A40,A143,1,1
A14,A34,A43,A143,2,1
A14,A34,A42,A143,2,1
A14,A34,A40,A141,1,1
A12,A31,A410,A141,2,2
A11,A31,A49,A143,1,2
A14,A33,A43,A143,2,1
A14,A33,A43,A143,1,1
A12,A32,A40,A143,1,2
A14,A34,A40,A143,2,1
A11,A32,A42,A143,1,1
A12,A32,A41,A143,1,2
A14,A32,A40,A143,1,1
A13,A32,A40,A143,1,1
A14,A33,A49,A143,2,1
A14,A34,A43,A143,2,1
A14,A32,A43,A143,1,1
A12,A34,A42,A142,2,1
A12,A34,A49,A141,1,1
A14,A32,A49,A143,2,1
A14,A32,A40,A143,1,1
A12,A32,A42,A143,1,1
A11,A32,A40,A141,1,1
A11,A34,A43,A143,1,1
A14,A34,A42,A143,1,1
A12,A33,A46,A143,1,1
A11,A32,A42,A143,1,1
A11,A34,A42,A143,2,1
A12,A32,A40,A143,2,2
A14,A34,A43,A143,2,1
A14,A32,A43,A143,1,1
A12,A34,A49,A141,2,1
A14,A33,A49,A141,2,2
A14,A33,A40,A143,2,1
A12,A33,A40,A143,1,1
A12,A32,A43,A143,1,2
A14,A34,A41,A143,2,1
A11,A32,A43,A143,1,1
A14,A32,A43,A143,1,1
A13,A34,A40,A143,3,2
A12,A32,A43,A143,1,1
A14,A34,A41,A143,2,1
A14,A34,A49,A142,2,2
A14,A32,A40,A143,1,1
A11,A32,A40,A143,1,2
A14,A34,A41,A143,2,1
A11,A32,A40,A143,1,2
A11,A33,A46,A143,2,1
A14,A32,A40,A141,1,1
A12,A32,A40,A143,1,2
A14,A32,A40,A143,1,1
A12,A32,A41,A143,1,1
A12,A34,A40,A143,2,1
A14,A33,A42,A143,2,1
A12,A32,A42,A141,1,2
A12,A32,A41,A143,1,1
A14,A34,A43,A143,2,1
A14,A34,A43,A143,2,1
A14,A32,A42,A143,1,1
A11,A34,A45,A143,3,2
A14,A32,A49,A143,1,1
A12,A32,A410,A141,2,2
A11,A34,A42,A143,3,1
A14,A34,A45,A143,2,1
A11,A32,A42,A143,1,1
A12,A32,A43,A143,1,2
A14,A32,A45,A143,1,1
A14,A34,A40,A143,2,1
A11,A34,A45,A143,2,1
A13,A31,A49,A143,1,2
A14,A32,A40,A143,1,1
A11,A32,A42,A143,1,1
A12,A33,A410,A141,2,1
A14,A32,A46,A141,1,2
A12,A34,A42,A143,1,2
A14,A34,A46,A143,2,1
A11,A32,A40,A143,1,2
A12,A32,A43,A143,1,1
A13,A32,A42,A143,1,1
A12,A33,A45,A142,2,2
A14,A34,A41,A143,1,1
A14,A32,A43,A143,1,1
A14,A30,A42,A143,2,1
A14,A32,A41,A143,1,1
A11,A32,A40,A143,1,2
A14,A32,A41,A143,1,1
A11,A34,A40,A143,2,1
A11,A32,A41,A143,1,2
A11,A32,A44,A143,1,1
A14,A32,A43,A143,1,1
A11,A32,A42,A143,1,1
A11,A32,A40,A143,1,1
A12,A32,A42,A143,1,1
A12,A32,A48,A143,2,1
A14,A32,A49,A142,2,1
A11,A32,A41,A141,1,1
A11,A33,A43,A143,1,2
A14,A33,A43,A141,2,1
A14,A33,A49,A143,2,1
A14,A33,A41,A143,2,1
A12,A32,A43,A143,1,2
A11,A32,A46,A143,1,2
A11,A32,A40,A143,1,2
A14,A32,A48,A143,1,1
A12,A34,A43,A143,1,2
A11,A30,A42,A143,1,2
A14,A32,A41,A143,1,1
A13,A32,A43,A141,1,1
A12,A32,A49,A143,1,1
A11,A34,A42,A143,2,1
A12,A34,A43,A143,1,1
A12,A32,A40,A143,1,1
A11,A32,A42,A143,2,1
A14,A33,A42,A143,2,1
A14,A34,A40,A143,1,1
A12,A33,A40,A143,1,2
A14,A32,A43,A143,1,1
A14,A32,A40,A143,1,1
A14,A32,A40,A143,1,1
A14,A32,A40,A143,1,1
A14,A34,A43,A143,2,1
A12,A30,A49,A143,2,2
A14,A34,A43,A143,2,1
A12,A32,A43,A143,1,1
A11,A34,A40,A143,2,1
A11,A32,A42,A143,1,2
A12,A32,A42,A143,1,2
A14,A34,A42,A143,2,1
A12,A32,A43,A143,1,1
A13,A34,A40,A143,2,1
A11,A32,A40,A143,1,2
A11,A32,A41,A143,1,1
A13,A32,A43,A143,1,1
A12,A34,A43,A141,2,2
A11,A32,A40,A143,1,2
A14,A32,A40,A143,1,2
A13,A34,A41,A143,1,1
A12,A31,A40,A143,1,2
A14,A32,A43,A143,1,1
A14,A32,A41,A143,1,1
A11,A32,A40,A143,1,2
A14,A32,A41,A143,1,1
A13,A32,A49,A143,1,1
A12,A33,A43,A143,2,1
A14,A32,A40,A143,1,1
A11,A34,A40,A143,2,1
A11,A34,A40,A143,1,1
A14,A34,A42,A143,2,2
A11,A32,A40,A143,1,1
A14,A34,A43,A143,2,1
A14,A34,A45,A143,2,1
A11,A32,A43,A143,1,2
A11,A30,A42,A143,2,2
A14,A32,A41,A143,1,1
A12,A32,A43,A143,1,1
A12,A32,A41,A143,2,1
A14,A34,A46,A143,1,1
A14,A34,A43,A143,2,1
A11,A32,A43,A143,1,2
A11,A32,A40,A143,1,1
A12,A32,A46,A143,2,1
A12,A32,A40,A143,2,2
A14,A33,A41,A143,1,1
A14,A32,A43,A143,1,1
A14,A32,A43,A143,2,1
A13,A34,A46,A143,1,2
A11,A32,A40,A143,1,1
A12,A34,A42,A143,1,1
A11,A32,A40,A141,1,2
A13,A32,A42,A142,1,1
A12,A32,A43,A143,1,2
A14,A33,A40,A143,2,1
A11,A32,A42,A143,1,2
A13,A32,A42,A143,1,2
A14,A34,A40,A143,2,1
A11,A33,A40,A143,2,2
A14,A34,A40,A143,1,1
A14,A32,A43,A141,1,1
A11,A31,A43,A141,1,2
A14,A34,A41,A143,2,1
A14,A34,A45,A143,2,1
A14,A31,A43,A141,1,1
A11,A32,A43,A143,2,2
A12,A34,A40,A143,1,1
A12,A32,A46,A143,2,1
A12,A32,A43,A142,1,2
A12,A30,A40,A143,2,2
A14,A30,A40,A141,2,2
A11,A31,A42,A141,1,2
A12,A34,A42,A143,2,2
A11,A32,A41,A141,1,1
A11,A31,A43,A141,1,2
A13,A33,A43,A141,1,1
A12,A32,A40,A143,1,2
A12,A33,A49,A141,2,1
A12,A33,A43,A143,2,1
A11,A32,A40,A143,1,2
A14,A34,A43,A143,1,1
A12,A32,A43,A143,2,1
A11,A32,A43,A143,1,2
A11,A32,A42,A143,1,2
A14,A34,A43,A143,1,1
A14,A32,A41,A143,1,1
A11,A32,A49,A143,1,1
A12,A32,A43,A143,2,1
A14,A34,A42,A141,2,1
A12,A32,A43,A143,1,1
A14,A34,A46,A143,2,1
A12,A34,A40,A143,2,2
A14,A32,A48,A143,2,1
A12,A34,A40,A141,2,2
A12,A34,A40,A141,2,1
A14,A32,A42,A143,1,1
A12,A32,A45,A143,1,2
A14,A32,A40,A143,1,1
A11,A32,A42,A141,1,2
A11,A34,A40,A143,2,1
A11,A32,A42,A143,1,1
A11,A32,A44,A143,1,2
A11,A34,A42,A143,2,2
A11,A34,A43,A143,4,1
A12,A33,A40,A143,2,1
A14,A32,A49,A141,1,1
A12,A32,A40,A143,1,2
A11,A31,A410,A142,1,2
A12,A31,A40,A142,1,2
A11,A32,A40,A143,2,2
A12,A30,A49,A143,3,2
A14,A34,A40,A141,2,2
A14,A33,A49,A143,1,1
A12,A32,A43,A143,1,1
A12,A32,A42,A143,1,2
A12,A31,A46,A141,1,2
A14,A32,A42,A143,1,2
A13,A32,A42,A143,1,1
A11,A31,A42,A142,1,1
A14,A34,A49,A143,1,1
A12,A32,A43,A143,1,2
A14,A32,A43,A143,1,1
A14,A32,A41,A141,1,1
A11,A32,A44,A143,1,2
A13,A32,A40,A143,1,2
A11,A32,A43,A141,1,1
A11,A31,A41,A141,1,1
A14,A33,A42,A143,1,2
A12,A30,A49,A141,1,1
A12,A33,A43,A143,1,1
A11,A34,A40,A143,3,1
A12,A32,A42,A143,1,2
A14,A32,A40,A143,1,1
A12,A34,A49,A143,2,1
A14,A34,A40,A141,2,2
A14,A32,A49,A141,1,2
A11,A32,A42,A143,1,1
A11,A32,A43,A143,2,2
