Attribute7,Attribute12,Attribute17,Attribute19
A75,A121,A173,A192
A73,A121,A173,A191
A74,A121,A172,A191
A74,A122,A173,A191
A73,A124,A173,A191
A73,A124,A172,A192
A75,A122,A173,A191
A73,A123,A174,A192
A74,A121,A172,A191
A71,A123,A174,A191
A72,A123,A173,A191
A72,A122,A173,A191
A73,A123,A173,A192
A75,A123,A172,A191
A73,A123,A173,A191
A73,A123,A172,A191
A75,A122,A173,A191
A72,A123,A173,A191
A75,A124,A174,A192
A75,A123,A173,A192
A73,A123,A173,A192
A73,A121,A173,A191
A72,A121,A172,A191
A72,A122,A173,A191
A73,A123,A173,A191
A73,A121,A172,A192
A75,A123,A172,A191
A73,A121,A173,A191
A73,A121,A173,A191
A75,A124,A173,A192
A72,A121,A173,A192
A73,A123,A173,A191
A73,A123,A173,A192
A75,A124,A172,A191
A72,A122,A174,A192
A72,A122,A172,A191
A73,A124,A173,A192
A73,A121,A173,A191
A73,A123,A173,A192
A73,A121,A173,A191
A75,A123,A174,A191
A73,A123,A173,A192
A73,A121,A172,A192
A74,A123,A173,A191
A75,A124,A172,A191
A72,A123,A174,A191
A75,A123,A173,A191
A71,A122,A171,A192
A73,A122,A172,A191
A73,A121,A173,A191
A72,A122,A172,A191
A75,A123,A174,A192
A73,A123,A173,A191
A73,A122,A173,A192
A75,A124,A173,A192
A73,A121,A172,A191
A71,A124,A174,A192
A73,A123,A173,A191
A75,A123,A174,A191
A72,A124,A172,A192
A73,A121,A173,A192
A75,A121,A173,A192
A75,A124,A174,A192
A73,A123,A173,A192
A72,A122,A173,A192
A75,A122,A173,A192
A72,A123,A173,A191
A73,A121,A173,A191
A73,A124,A173,A192
A73,A123,A173,A191
A73,A122,A173,A191
A75,A122,A172,A192
A75,A124,A174,A192
A74,A121,A172,A191
A75,A124,A174,A192
A75,A124,A174,A191
A72,A123,A173,A191
A74,A122,A173,A191
A73,A122,A172,A191
A72,A122,A173,A191
A72,A123,A173,A192
A75,A122,A173,A192
A73,A122,A172,A191
A75,A121,A172,A192
A75,A121,A172,A191
A73,A121,A174,A192
A72,A122,A173,A191
A73,A124,A173,A192
A74,A123,A174,A192
A74,A121,A173,A191
A75,A121,A173,A191
A75,A121,A173,A191
A75,A122,A172,A191
A75,A124,A173,A191
A75,A121,A173,A192
A72,A124,A173,A192
A74,A123,A173,A191
A73,A123,A173,A191
A75,A121,A173,A191
A74,A122,A174,A192
A75,A121,A172,A191
A74,A123,A173,A191
A73,A121,A173,A191
A74,A123,A173,A192
A72,A123,A173,A192
A73,A123,A174,A192
A75,A124,A174,A192
A74,A123,A173,A191
A72,A122,A173,A192
A75,A121,A173,A192
A75,A123,A173,A191
A72,A122,A173,A192
A74,A121,A172,A191
A73,A121,A173,A192
A75,A121,A173,A191
A75,A121,A173,A192
A74,A123,A174,A192
A72,A121,A173,A191
A73,A123,A173,A191
A74,A123,A174,A192
A73,A121,A173,A192
A75,A123,A174,A192
A73,A121,A172,A191
A75,A124,A173,A192
A72,A121,A173,A191
A73,A122,A173,A191
A73,A121,A172,A191
A73,A123,A173,A191
A71,A123,A174,A192
A73,A121,A173,A191
A74,A123,A173,A191
A73,A122,A173,A192
A72,A122,A172,A191
A73,A124,A173,A191
A74,A121,A173,A192
A75,A121,A173,A192
A73,A123,A173,A191
A73,A121,A172,A191
A74,A121,A173,A192
A73,A123,A172,A192
A72,A121,A171,A191
A72,A124,A174,A192
A73,A123,A174,A191
A73,A123,A173,A191
A72,A122,A173,A192
A74,A123,A173,A191
A75,A124,A173,A192
A74,A123,A173,A192
A73,A122,A173,A191
A75,A123,A173,A191
A75,A124,A173,A192
A73,A122,A173,A192
A73,A123,A173,A191
A75,A124,A173,A191
A74,A123,A174,A192
A73,A123,A173,A191
A75,A121,A173,A191
A75,A123,A172,A191
A74,A123,A173,A192
A73,A121,A172,A191
A75,A121,A173,A192
A72,A122,A173,A191
A74,A122,A173,A192
A71,A124,A174,A192
A75,A122,A173,A191
A73,A123,A173,A192
A71,A123,A173,A191
A72,A121,A173,A191
A74,A122,A173,A192
A75,A121,A173,A192
A75,A123,A173,A191
A73,A121,A173,A192
A71,A122,A174,A192
A73,A121,A173,A191
A72,A122,A173,A191
A71,A121,A174,A192
A73,A123,A173,A191
A75,A123,A173,A191
A74,A123,A174,A192
A75,A121,A173,A191
A72,A123,A173,A191
A73,A121,A174,A192
A73,A122,A172,A191
A73,A121,A173,A192
A75,A123,A173,A192
A73,A122,A173,A191
A75,A124,A174,A192
A71,A123,A171,A192
A74,A122,A173,A191
A73,A123,A173,A192
A73,A122,A174,A192
A74,A124,A172,A191
A73,A123,A173,A192
A74,A121,A173,A191
A73,A122,A173,A191
A75,A123,A174,A192
A73,A123,A173,A192
A72,A123,A173,A191
A75,A124,A173,A192
A75,A124,A174,A192
A75,A123,A173,A192
A73,A121,A172,A191
A74,A123,A173,A191
A74,A122,A173,A191
A75,A121,A172,A191
A75,A124,A174,A192
A75,A121,A173,A192
A74,A122,A173,A191
A73,A123,A172,A191
A74,A122,A173,A191
A73,A121,A173,A191
A75,A121,A172,A192
A71,A122,A173,A192
A75,A121,A174,A192
A75,A123,A173,A192
A74,A122,A172,A191
A74,A122,A173,A192
A73,A121,A173,A192
A73,A121,A172,A191
A73,A123,A173,A192
A72,A121,A172,A191
A73,A122,A173,A192
A73,A121,A173,A191
A73,A121,A173,A192
A73,A123,A173,A192
A73,A123,A173,A191
A74,A124,A173,A192
A75,A124,A174,A192
A74,A123,A173,A191
A72,A124,A173,A191
A73,A123,A173,A191
A75,A124,A172,A191
A74,A124,A173,A191
A73,A121,A172,A191
A74,A121,A172,A191
A71,A123,A174,A191
A71,A122,A171,A192
A75,A123,A172,A191
A73,A122,A173,A191
A75,A122,A173,A191
A75,A123,A173,A191
A74,A122,A173,A191
A75,A124,A173,A191
A73,A121,A173,A191
A73,A121,A172,A191
A74,A121,A173,A192
A75,A121,A173,A191
A73,A124,A173,A191
A73,A121,A173,A191
A71,A121,A173,A191
A74,A121,A172,A192
A73,A123,A172,A191
A73,A124,A173,A191
A73,A122,A173,A191
A74,A123,A173,A192
A73,A121,A172,A191
A73,A121,A172,A191
A73,A124,A173,A191
A72,A123,A173,A192
A71,A121,A172,A191
A73,A121,A173,A191
A75,A123,A173,A191
A75,A124,A174,A192
A75,A124,A172,A191
A75,A121,A172,A191
A75,A123,A173,A191
A75,A121,A173,A191
A72,A123,A173,A192
A75,A122,A174,A192
A75,A123,A173,A191
A74,A122,A173,A191
A74,A123,A173,A192
A71,A124,A174,A192
A74,A121,A173,A191
A72,A124,A172,A192
A73,A121,A173,A191
A73,A123,A173,A191
A75,A122,A172,A192
A72,A122,A173,A191
A73,A123,A174,A192
A75,A124,A173,A192
A73,A121,A173,A191
A74,A123,A172,A191
A75,A122,A173,A191
A72,A123,A173,A192
A72,A121,A172,A192
A74,A122,A173,A191
A71,A124,A174,A192
A73,A121,A173,A192
A72,A121,A173,A191
A73,A121,A173,A192
A72,A123,A174,A192
A75,A124,A174,A192
A75,A124,A173,A191
A75,A123,A174,A191
A72,A123,A173,A192
A72,A123,A173,A191
A75,A122,A172,A191
A73,A121,A173,A192
A74,A123,A173,A192
A71,A121,A171,A192
A73,A123,A173,A192
A74,A121,A172,A191
A74,A122,A173,A192
A73,A124,A173,A191
A73,A121,A173,A191
A74,A122,A172,A191
A72,A124,A172,A192
A73,A121,A173,A191
A73,A121,A172,A191
A71,A124,A171,A192
A73,A123,A173,A191
A72,A123,A173,A191
A74,A123,A172,A191
A72,A121,A172,A191
A75,A123,A173,A191
A73,A122,A172,A191
A73,A122,A172,A192
A73,A123,A173,A191
A75,A122,A172,A191
A71,A123,A174,A191
A72,A122,A173,A191
A74,A124,A174,A192
A73,A123,A173,A191
A73,A121,A173,A191
A74,A121,A172,A191
A75,A122,A173,A192
A74,A123,A173,A192
A75,A123,A173,A191
A75,A123,A173,A191
A71,A124,A174,A192
A73,A121,A173,A191
A72,A122,A174,A191
A73,A123,A172,A191
A75,A124,A173,A191
A73,A121,A174,A192
A72,A122,A172,A191
A73,A123,A173,A191
A73,A122,A173,A191
A73,A123,A172,A191
A72,A124,A173,A192
A74,A123,A172,A191
A72,A121,A173,A191
A75,A121,A174,A192
A72,A122,A172,A191
A73,A123,A172,A191
A72,A121,A173,A191
A71,A124,A171,A191
A73,A121,A172,A191
A75,A124,A173,A191
A72,A121,A173,A192
A73,A123,A173,A191
A71,A124,A174,A192
A73,A122,A173,A192
A75,A124,A173,A192
A72,A121,A172,A191
A75,A121,A173,A192
A73,A123,A174,A192
A73,A121,A173,A191
A74,A121,A173,A191
A73,A124,A173,A191
A75,A123,A174,A191
A73,A123,A173,A192
A73,A122,A173,A191
A71,A123,A171,A191
A74,A123,A173,A192
A74,A123,A173,A191
A72,A123,A173,A191
A75,A123,A173,A191
A74,A121,A173,A191
A73,A121,A173,A191
A75,A123,A173,A192
A72,A121,A173,A191
A75,A124,A174,A192
A75,A124,A174,A192
A74,A123,A173,A191
A71,A121,A173,A191
A75,A124,A173,A191
A75,A124,A174,A192
A73,A123,A172,A191
A74,A123,A173,A192
A71,A124,A174,A192
A74,A122,A173,A191
A72,A121,A173,A191
A73,A122,A172,A191
A73,A123,A173,A191
