Attribute7,Attribute11,Attribute15
A75,4,A152
A73,2,A152
A74,3,A152
A74,4,A153
A73,4,A153
A73,4,A153
A75,4,A152
A73,2,A151
A74,4,A152
A71,2,A152
A72,1,A151
A72,4,A151
A73,1,A152
A75,4,A152
A73,4,A151
A73,2,A152
A75,4,A152
A72,3,A152
A75,2,A153
A75,2,A152
A73,4,A152
A73,3,A151
A72,3,A151
A72,4,A152
A73,1,A152
A73,2,A152
A75,4,A152
A73,3,A151
A73,2,A152
A75,4,A152
A72,3,A152
A73,2,A152
A73,2,A152
A75,4,A151
A72,1,A152
A72,2,A152
A73,3,A153
A73,2,A152
A73,2,A152
A73,3,A152
A75,2,A152
A73,1,A152
A73,4,A152
A74,4,A151
A75,4,A153
A72,4,A152
A75,4,A152
A71,2,A151
A73,4,A152
A73,2,A152
A72,2,A152
A75,2,A152
A73,2,A152
A73,1,A152
A75,4,A153
A73,2,A152
A71,1,A152
A73,2,A152
A75,2,A152
A72,4,A151
A73,1,A152
A75,4,A152
A75,4,A153
A73,2,A152
A72,4,A152
A75,4,A152
A72,2,A152
A73,1,A152
A73,4,A153
A73,4,A152
A73,2,A152
A75,2,A151
A75,4,A153
A74,1,A152
A75,4,A152
A75,4,A153
A72,3,A152
A74,4,A152
A73,2,A152
A72,1,A152
A72,1,A152
A75,3,A152
A73,4,A151
A75,4,A152
A75,4,A152
A73,2,A152
A72,1,A152
A73,4,A153
A74,3,A152
A74,3,A152
A75,4,A152
A75,3,A152
A75,3,A152
A75,4,A151
A75,4,A152
A72,4,A151
A74,2,A152
A73,4,A152
A75,4,A152
A74,4,A151
A75,4,A151
A74,4,A151
A73,2,A152
A74,3,A151
A72,4,A151
A73,3,A152
A75,4,A152
A74,2,A152
A72,2,A152
A75,2,A152
A75,2,A152
A72,4,A151
A74,3,A151
A73,2,A152
A75,1,A152
A75,1,A152
A74,3,A152
A72,3,A151
A73,4,A152
A74,3,A152
A73,2,A152
A75,2,A151
A73,2,A151
A75,4,A153
A72,3,A151
A73,2,A152
A73,2,A152
A73,2,A152
A71,2,A152
A73,2,A152
A74,2,A152
A73,3,A152
A72,3,A152
A73,4,A153
A74,4,A152
A75,2,A152
A73,2,A152
A73,3,A152
A74,2,A152
A73,2,A151
A72,2,A152
A72,1,A152
A73,2,A152
A73,2,A152
A72,4,A152
A74,2,A152
A75,4,A152
A74,3,A152
A73,2,A152
A75,4,A152
A75,4,A153
A73,4,A152
A73,1,A152
A75,4,A151
A74,4,A151
A73,4,A151
A75,4,A152
A75,1,A152
A74,3,A152
A73,2,A152
A75,4,A152
A72,1,A152
A74,3,A152
A71,4,A153
A75,4,A152
A73,2,A152
A71,2,A152
A72,1,A152
A74,4,A151
A75,4,A152
A75,3,A151
A73,1,A152
A71,2,A152
A73,2,A152
A72,1,A152
A71,1,A152
A73,1,A152
A75,4,A152
A74,2,A151
A75,4,A152
A72,1,A152
A73,2,A152
A73,2,A152
A73,4,A152
A75,4,A152
A73,2,A152
A75,4,A153
A71,3,A153
A74,1,A152
A73,4,A152
A73,3,A152
A74,4,A153
A73,2,A152
A74,2,A151
A73,4,A151
A75,3,A152
A73,1,A152
A72,4,A151
A75,4,A153
A75,3,A152
A75,2,A152
A73,3,A152
A74,4,A152
A74,4,A151
A75,1,A152
A75,4,A153
A75,4,A152
A74,3,A152
A73,2,A152
A74,2,A152
A73,2,A152
A75,4,A152
A71,4,A152
A75,4,A152
A75,2,A152
A74,3,A152
A74,1,A152
A73,2,A152
A73,2,A151
A73,4,A152
A72,1,A152
A73,4,A151
A73,2,A152
A73,4,A152
A73,2,A152
A73,2,A152
A74,2,A152
A75,4,A153
A74,2,A152
A72,1,A153
A73,2,A152
A75,4,A153
A74,1,A152
A73,2,A152
A74,1,A152
A71,2,A152
A71,2,A152
A75,2,A151
A73,2,A152
A75,3,A152
A75,2,A152
A74,2,A152
A75,4,A153
A73,2,A152
A73,3,A152
A74,1,A152
A75,4,A152
A73,1,A151
A73,2,A152
A71,4,A151
A74,4,A152
A73,2,A152
A73,2,A152
A73,3,A152
A74,1,A152
A73,1,A152
A73,2,A152
A73,1,A153
A72,4,A152
A71,4,A152
A73,2,A152
A75,4,A152
A75,4,A153
A75,4,A153
A75,4,A152
A75,3,A152
A75,4,A152
A72,3,A152
A75,4,A152
A75,2,A152
A74,3,A152
A74,4,A151
A71,4,A153
A74,4,A152
A72,1,A152
A73,2,A152
A73,2,A152
A75,4,A152
A72,4,A152
A73,4,A151
A75,4,A151
A73,2,A152
A74,4,A152
A75,4,A152
A72,2,A152
A72,1,A152
A74,3,A152
A71,4,A153
A73,4,A152
A72,4,A152
A73,2,A152
A72,4,A151
A75,4,A153
A75,4,A153
A75,2,A152
A72,2,A152
A72,4,A151
A75,2,A152
A73,4,A152
A74,2,A152
A71,4,A152
A73,1,A152
A74,2,A152
A74,3,A152
A73,2,A153
A73,2,A152
A74,4,A151
A72,3,A152
A73,4,A152
A73,4,A151
A71,4,A153
A73,1,A152
A72,4,A152
A74,3,A152
A72,2,A152
A75,4,A152
A73,3,A152
A73,4,A152
A73,2,A152
A75,4,A152
A71,2,A152
