Attribute7,Attribute8,Attribute18,Attribute19
A75,4,1,A192
A73,2,1,A191
A74,2,2,A191
A74,2,2,A191
A73,3,2,A191
A73,2,2,A192
A75,3,1,A191
A73,2,1,A192
A74,2,1,A191
A71,4,1,A191
A72,3,1,A191
A72,3,1,A191
A73,1,1,A192
A75,4,1,A191
A73,2,1,A191
A73,4,1,A191
A75,4,1,A191
A72,2,1,A191
A75,4,1,A192
A75,3,2,A192
A73,4,1,A192
A73,2,2,A191
A72,1,2,A191
A72,3,1,A191
A73,2,1,A191
A73,1,1,A192
A75,4,1,A191
A73,3,1,A191
A73,3,1,A191
A75,3,1,A192
A72,3,1,A192
A73,2,1,A191
A73,2,1,A192
A75,4,1,A191
A72,4,1,A192
A72,4,1,A191
A73,1,1,A192
A73,4,1,A191
A73,2,1,A192
A73,4,1,A191
A75,4,1,A191
A73,3,1,A192
A73,2,2,A192
A74,1,1,A191
A75,4,1,A191
A72,4,1,A191
A75,4,1,A191
A71,1,1,A192
A73,1,1,A191
A73,4,1,A191
A72,4,1,A191
A75,1,1,A192
A73,3,1,A191
A73,2,1,A192
A75,4,1,A192
A73,1,2,A191
A71,2,1,A192
A73,2,1,A191
A75,3,1,A191
A72,4,1,A192
A73,2,1,A192
A75,4,1,A192
A75,4,1,A192
A73,2,1,A192
A72,4,1,A192
A75,4,2,A192
A72,2,1,A191
A73,4,1,A191
A73,4,1,A192
A73,4,1,A191
A73,1,1,A191
A75,4,1,A192
A75,3,2,A192
A74,2,1,A191
A75,4,1,A192
A75,4,1,A191
A72,4,1,A191
A74,2,1,A191
A73,2,2,A191
A72,2,1,A191
A72,1,1,A192
A75,4,1,A192
A73,3,1,A191
A75,4,1,A192
A75,3,1,A191
A73,4,1,A192
A72,4,1,A191
A73,1,2,A192
A74,4,2,A192
A74,4,1,A191
A75,4,1,A191
A75,4,1,A191
A75,4,2,A191
A75,4,1,A191
A75,4,1,A192
A72,3,1,A192
A74,4,1,A191
A73,4,1,A191
A75,4,1,A191
A74,3,2,A192
A75,4,1,A191
A74,4,1,A191
A73,3,1,A191
A74,4,1,A192
A72,2,1,A192
A73,2,2,A192
A75,2,2,A192
A74,2,1,A191
A72,1,1,A192
A75,1,1,A192
A75,1,2,A191
A72,4,1,A192
A74,3,1,A191
A73,4,1,A192
A75,3,1,A191
A75,4,1,A192
A74,4,1,A192
A72,2,1,A191
A73,1,1,A191
A74,3,1,A192
A73,3,1,A192
A75,4,1,A192
A73,3,1,A191
A75,4,1,A192
A72,4,1,A191
