Attribute6,class
A65,1
A61,2
A61,1
A61,1
A61,2
A65,1
A63,1
A61,1
A64,1
A61,2
A61,2
A61,2
A61,1
A61,2
A61,1
A62,2
A65,1
A65,1
A61,2
A63,1
A61,1
A63,1
A61,1
A62,1
A65,1
A61,1
A61,1
A64,1
A61,1
A61,2
A64,1
A61,1
A62,1
A65,1
A61,1
A61,2
A61,1
A61,2
A61,1
A61,1
A63,1
A63,1
A61,1
A62,1
A61,2
A61,1
A63,1
A63,1
A61,1
A62,1
A65,1
A61,1
A61,1
A65,1
A61,2
A65,1
A65,2
A61,1
A61,1
A61,2
A61,1
A65,1
A61,2
A61,2
A61,1
A65,1
A61,1
A64,1
A61,2
A65,1
A61,1
A65,1
A61,1
A61,1
A65,2
A61,1
A61,2
A61,1
A65,1
A61,1
A65,2
A63,1
A62,1
A61,1
A61,1
A61,1
A61,1
A62,2
A62,1
A61,2
A61,1
A61,1
A65,2
A65,1
A64,1
A61,2
A65,1
A62,1
A61,1
A65,1
A62,1
A61,1
A61,1
A61,1
A65,1
A61,2
A61,2
A61,1
A65,1
A63,1
A62,1
A61,1
A61,1
A61,2
A63,1
A65,1
A65,2
A65,1
A63,2
A63,1
A61,2
A61,1
A61,1
A61,1
A65,2
A61,1
A61,1
A61,2
A61,1
A61,2
A65,1
A61,2
A61,1
A61,1
A62,1
A65,1
A64,1
A63,2
A65,1
A61,1
A64,1
A61,1
A61,1
A61,2
A61,1
A62,1
A61,1
A62,1
A61,1
A64,1
A62,1
A61,1
A61,1
A64,1
A62,1
A61,2
A62,1
A61,1
A62,1
A65,1
A62,1
A61,1
A63,1
A61,1
A63,1
A63,1
A61,2
A64,1
A61,1
A61,2
A61,2
A61,1
A61,2
A61,1
A61,2
A65,2
A61,1
A63,1
A61,1
A61,1
A61,2
A61,2
A65,2
A64,1
A61,2
A61,1
A61,2
A61,1
A62,2
A61,1
A64,2
A62,2
A61,2
A61,1
A62,2
A61,2
A61,1
A62,2
A65,1
A61,2
A63,1
A61,1
A61,1
A61,2
A61,1
A61,1
A61,1
A61,1
A61,1
