Attribute7,Attribute20
A75,A201
A73,A201
A74,A201
A74,A201
A73,A201
A73,A201
A75,A201
A73,A201
A74,A201
A71,A201
A72,A201
A72,A201
A73,A201
A75,A201
A73,A201
A73,A201
A75,A201
A72,A201
A75,A201
A75,A201
A73,A201
A73,A201
A72,A202
A72,A201
A73,A202
A73,A201
A75,A201
A73,A201
A73,A201
A75,A201
A72,A201
A73,A201
A73,A201
A75,A201
A72,A201
A72,A201
A73,A201
A73,A201
A73,A201
A73,A201
A75,A201
A73,A201
A73,A201
A74,A201
A75,A201
A72,A201
A75,A201
A71,A201
A73,A201
A73,A201
A72,A201
A75,A201
A73,A201
A73,A201
A75,A201
A73,A201
A71,A201
A73,A201
A75,A201
A72,A201
A73,A201
A75,A201
A75,A201
A73,A201
A72,A201
A75,A201
A72,A201
A73,A201
A73,A201
A73,A201
A73,A201
A75,A201
A75,A201
A74,A201
A75,A201
A75,A201
A72,A201
A74,A201
A73,A201
A72,A201
A72,A201
A75,A201
A73,A201
A75,A201
A75,A201
A73,A201
A72,A201
A73,A201
A74,A201
A74,A201
A75,A201
A75,A201
A75,A201
A75,A201
A75,A201
A72,A201
A74,A201
A73,A201
A75,A201
A74,A201
A75,A201
A74,A201
A73,A201
A74,A201
A72,A201
A73,A201
A75,A201
A74,A201
A72,A202
A75,A201
A75,A201
A72,A201
A74,A201
A73,A201
A75,A201
A75,A201
A74,A201
A72,A202
A73,A201
A74,A201
A73,A201
A75,A201
A73,A201
A75,A201
A72,A201
A73,A201
A73,A201
A73,A201
A71,A201
A73,A201
A74,A201
A73,A201
A72,A201
A73,A201
A74,A201
A75,A201
A73,A201
A73,A201
A74,A201
A73,A201
A72,A202
A72,A201
A73,A201
A73,A201
A72,A201
A74,A201
A75,A201
A74,A201
A73,A201
A75,A201
A75,A201
A73,A202
A73,A201
A75,A201
A74,A201
A73,A201
A75,A202
A75,A201
A74,A201
A73,A201
A75,A201
A72,A201
A74,A201
A71,A201
A75,A201
A73,A201
A71,A201
A72,A201
A74,A201
A75,A201
A75,A201
A73,A201
A71,A201
A73,A202
A72,A201
A71,A201
A73,A201
A75,A201
A74,A201
A75,A201
A72,A201
A73,A201
A73,A201
A73,A201
A75,A201
A73,A201
A75,A201
A71,A201
A74,A201
A73,A201
A73,A201
A74,A201
A73,A201
A74,A201
A73,A201
A75,A201
A73,A201
A72,A201
A75,A201
A75,A201
A75,A201
A73,A201
A74,A201
A74,A201
A75,A201
A75,A201
A75,A201
A74,A201
A73,A201
A74,A202
A73,A201
A75,A201
A71,A201
A75,A201
A75,A201
A74,A201
A74,A201
A73,A201
A73,A201
A73,A201
A72,A201
A73,A201
A73,A201
A73,A201
A73,A201
A73,A201
A74,A201
A75,A201
A74,A201
A72,A201
A73,A201
A75,A201
A74,A201
A73,A201
A74,A201
A71,A201
A71,A201
A75,A201
A73,A201
A75,A201
A75,A201
A74,A201
A75,A201
A73,A201
A73,A201
A74,A201
A75,A201
A73,A202
A73,A201
A71,A201
A74,A201
A73,A201
A73,A201
A73,A201
A74,A201
A73,A201
A73,A201
A73,A201
A72,A201
A71,A201
A73,A201
A75,A201
A75,A201
A75,A201
A75,A202
A75,A201
A75,A201
A72,A201
A75,A202
A75,A201
A74,A202
A74,A201
A71,A201
A74,A201
A72,A201
A73,A201
A73,A201
A75,A201
A72,A201
A73,A201
A75,A201
A73,A201
A74,A201
A75,A201
A72,A201
A72,A201
A74,A201
A71,A201
A73,A201
A72,A201
A73,A202
A72,A201
A75,A201
A75,A201
A75,A201
A72,A201
A72,A201
A75,A202
A73,A201
A74,A201
A71,A201
A73,A201
A74,A201
A74,A201
A73,A201
A73,A201
A74,A201
A72,A201
A73,A201
A73,A201
A71,A201
A73,A201
A72,A201
A74,A201
A72,A202
A75,A201
A73,A201
A73,A201
A73,A201
A75,A201
A71,A201
A72,A201
A74,A201
A73,A201
A73,A201
A74,A202
A75,A201
A74,A201
A75,A201
A75,A201
A71,A201
A73,A201
A72,A201
A73,A201
A75,A201
A73,A201
A72,A201
A73,A201
A73,A201
A73,A201
A72,A201
A74,A201
A72,A201
A75,A201
A72,A201
A73,A201
A72,A201
A71,A201
A73,A201
A75,A201
A72,A201
A73,A202
A71,A201
A73,A201
A75,A201
A72,A201
A75,A201
A73,A201
A73,A201
A74,A201
A73,A201
A75,A201
A73,A201
A73,A201
A71,A201
A74,A201
A74,A201
A72,A201
A75,A201
A74,A201
A73,A201
A75,A201
A72,A201
A75,A201
A75,A201
A74,A201
A71,A201
A75,A201
A75,A201
A73,A201
A74,A201
A71,A201
A74,A201
A72,A201
A73,A201
A73,A201
A72,A201
A71,A201
A73,A201
A74,A201
A73,A201
A72,A201
A74,A201
A74,A201
A71,A201
A74,A201
A71,A201
A73,A201
A75,A201
A73,A201
A72,A201
A73,A201
A72,A201
A73,A201
A75,A201
A72,A201
A74,A201
A72,A202
A75,A201
A74,A201
A75,A201
A74,A201
A71,A201
A73,A202
A73,A201
A75,A201
A72,A201
A73,A201
A74,A201
A73,A201
A74,A201
A73,A201
A74,A201
A74,A201
A75,A201
A73,A201
A75,A201
A73,A201
A75,A201
A71,A201
A74,A201
A73,A201
A71,A201
A73,A201
A73,A201
A73,A201
A74,A201
A75,A201
A71,A201
A72,A201
A75,A201
A73,A201
A73,A201
A75,A201
A73,A201
A75,A201
A72,A201
A73,A201
A75,A201
A73,A201
A73,A201
A73,A201
A75,A201
A75,A201
A74,A201
A72,A201
A73,A201
A75,A201
A72,A201
A72,A201
A73,A201
A72,A201
A72,A201
A75,A201
A74,A201
A73,A201
A72,A201
A75,A201
A73,A201
A74,A201
A72,A201
A72,A201
A73,A201
A71,A201
A73,A201
A72,A201
A73,A201
A74,A201
A74,A201
A75,A201
A73,A201
A72,A201
A75,A201
A74,A201
A73,A201
A71,A201
A73,A201
A75,A201
A73,A202
A73,A201
A75,A201
A75,A201
A73,A201
A75,A201
A73,A202
A73,A201
A72,A201
A74,A201
A75,A201
A75,A201
A72,A201
A75,A201
A75,A201
A72,A201
A72,A201
A73,A201
A73,A201
A71,A201
A73,A201
A75,A201
A74,A201
A73,A201
A74,A201
A73,A201
A72,A201
A74,A202
A72,A202
A72,A201
A75,A201
A75,A201
A75,A201
A73,A201
A73,A201
A74,A201
A73,A201
A72,A201
A73,A201
A74,A201
A73,A201
A72,A201
A74,A201
A73,A201
A73,A201
A74,A201
A72,A201
A72,A201
A71,A201
A75,A201
A75,A201
A72,A201
A72,A201
A75,A201
A75,A201
A73,A201
A75,A201
A71,A201
A73,A201
A74,A201
A73,A201
A74,A201
A74,A201
A75,A201
A74,A201
A72,A201
A74,A201
A72,A201
A72,A201
A73,A201
A74,A201
A72,A201
A75,A201
A74,A201
A72,A201
A73,A201
A73,A201
A74,A201
A74,A201
A75,A201
A74,A201
A73,A201
A72,A201
A74,A201
A71,A201
A73,A201
A75,A201
A74,A201
A74,A201
A73,A201
A72,A201
A72,A201
A75,A201
A72,A201
A73,A201
A72,A201
A75,A201
A73,A201
A73,A201
A73,A201
A73,A201
A75,A201
A74,A201
A73,A201
A75,A201
A73,A201
A75,A201
A72,A201
A74,A201
A73,A201
A74,A201
A73,A201
A72,A201
A73,A201
A74,A201
A73,A201
A72,A201
A73,A201
A73,A201
A73,A201
A72,A201
A75,A201
A71,A201
A75,A201
A72,A201
A73,A202
A74,A201
A73,A201
A73,A201
A73,A201
A73,A201
A73,A201
A74,A201
A73,A201
A73,A201
A72,A201
A73,A201
A75,A201
A73,A201
A74,A201
A73,A201
A75,A201
A73,A201
A73,A201
A72,A201
A72,A201
A72,A201
A75,A201
A74,A201
A74,A201
A72,A201
A74,A201
A71,A201
A75,A201
A73,A201
A74,A201
A74,A201
A72,A201
A73,A201
A73,A201
A74,A201
A73,A201
A74,A201
A73,A201
A75,A201
A75,A201
A74,A201
A71,A201
A75,A201
A74,A201
A73,A201
A75,A201
A73,A201
A73,A201
A75,A201
A71,A201
A73,A201
A71,A201
A73,A201
A73,A201
A75,A201
A75,A201
A73,A201
A74,A201
A75,A201
A73,A201
A72,A201
A74,A201
A75,A201
A73,A201
A75,A201
A72,A201
A72,A201
A73,A201
A73,A201
A72,A201
A74,A201
A73,A201
A74,A201
A75,A201
A75,A201
A73,A201
A73,A201
A73,A201
A72,A201
A72,A201
A74,A201
A73,A201
A74,A202
A71,A201
A73,A201
A75,A201
A73,A201
A75,A201
A75,A201
A75,A201
A72,A201
A75,A201
A74,A201
A72,A201
A75,A201
A73,A201
A75,A201
A75,A201
A75,A201
A73,A201
A74,A201
A75,A201
A75,A201
A73,A201
A73,A201
A75,A201
A72,A201
A72,A201
A73,A201
A73,A201
A73,A201
A73,A201
A73,A201
A73,A201
A75,A201
A73,A201
A72,A201
A73,A201
A74,A201
A73,A201
A74,A201
A72,A201
A73,A201
A73,A201
A74,A201
A73,A201
A74,A201
A73,A201
A75,A201
A73,A201
A74,A201
A72,A201
A71,A201
A72,A201
A73,A201
A74,A201
A75,A201
A72,A201
A74,A201
A74,A201
A75,A201
A74,A201
A73,A202
A73,A201
A73,A201
A75,A201
A75,A201
A73,A201
A73,A201
A75,A201
A74,A201
A75,A201
A72,A201
A72,A201
A75,A201
A75,A201
A75,A201
A73,A201
A75,A201
A75,A201
A71,A201
A73,A201
A74,A201
A74,A201
A75,A201
A71,A201
A74,A201
A75,A201
A73,A201
A72,A201
A71,A201
A73,A201
A75,A201
A75,A201
A75,A201
A73,A201
A75,A201
A75,A201
A73,A201
A75,A201
A75,A201
A72,A201
A75,A201
A72,A201
A75,A201
A72,A201
A75,A201
A75,A201
A75,A201
A75,A201
A71,A201
A74,A201
A72,A202
A75,A201
A71,A201
A72,A201
A72,A201
A74,A201
A74,A201
A73,A201
A74,A201
A73,A201
A73,A201
A74,A201
A71,A201
A73,A201
A73,A201
A73,A201
A75,A201
A75,A201
A72,A201
A75,A201
A75,A201
A73,A201
A75,A201
A73,A201
A73,A201
A72,A201
A75,A201
A75,A201
A72,A201
A73,A201
A73,A201
A72,A201
A75,A201
A75,A201
A74,A201
A73,A201
A72,A201
A74,A201
A75,A201
A74,A201
A73,A201
A72,A201
A74,A201
A75,A201
A73,A202
A74,A201
A73,A201
A74,A201
A75,A201
A72,A201
A74,A201
A73,A201
A73,A201
A73,A202
A73,A201
A73,A201
A72,A201
A72,A201
A73,A201
A73,A201
A72,A201
A75,A201
A75,A201
A75,A201
A74,A201
A75,A202
A74,A201
A72,A201
A73,A201
A73,A201
A72,A201
A75,A201
A72,A201
A74,A201
A74,A201
A73,A201
A75,A201
A71,A201
A74,A201
A72,A201
A74,A201
A73,A201
A75,A201
A72,A201
A75,A201
A75,A201
A73,A202
A73,A201
A73,A201
A74,A201
A72,A201
A74,A202
A74,A201
A73,A201
A75,A201
A72,A201
A75,A201
A73,A201
A75,A201
A73,A201
A74,A202
A73,A201
A72,A201
A73,A201
A73,A201
A72,A201
A75,A201
A75,A201
A73,A201
A73,A202
A73,A201
A75,A201
A71,A201
A75,A201
A73,A201
A74,A201
A72,A201
A74,A201
A72,A201
A72,A201
A72,A201
A74,A201
A75,A201
A73,A201
A72,A202
A72,A201
A73,A201
A75,A201
A73,A201
A72,A201
A73,A201
A72,A201
A73,A201
A73,A201
A72,A201
A73,A202
A74,A201
A74,A201
A72,A201
A72,A201
A72,A201
A71,A201
A72,A201
A75,A201
A71,A201
A74,A201
A72,A201
A71,A201
A73,A201
A75,A201
A75,A201
A75,A201
A73,A201
A75,A201
A75,A201
A73,A201
A73,A201
A75,A201
A72,A201
A73,A201
A73,A201
A75,A201
A74,A201
A73,A201
A73,A201
A73,A201
A71,A201
A75,A201
A73,A201
A73,A201
A73,A201
A75,A201
A75,A201
A73,A201
A74,A201
A71,A201
A73,A201
A73,A201
A74,A201
A73,A201
A72,A201
A71,A201
A71,A201
A75,A201
A72,A201
A75,A201
A74,A201
A71,A201
A75,A201
A74,A201
A73,A201
A75,A201
A73,A201
A71,A201
