Attribute2,Attribute19
6,A192
48,A191
12,A191
42,A191
24,A191
36,A192
24,A191
36,A192
12,A191
30,A191
12,A191
48,A191
12,A192
24,A191
15,A191
24,A191
24,A191
30,A191
24,A192
24,A192
9,A192
6,A191
10,A191
12,A191
10,A191
6,A192
6,A191
12,A191
7,A191
60,A192
18,A192
24,A191
18,A192
12,A191
12,A192
45,A191
48,A192
18,A191
10,A192
9,A191
30,A191
12,A192
18,A192
30,A191
48,A191
11,A191
36,A191
6,A192
11,A191
12,A191
24,A191
27,A192
12,A191
18,A192
36,A192
6,A191
12,A192
36,A191
18,A191
36,A192
9,A192
15,A192
36,A192
48,A192
24,A192
27,A192
12,A191
12,A191
36,A192
36,A191
36,A191
7,A192
8,A192
42,A191
36,A192
12,A191
42,A191
11,A191
54,A191
30,A191
24,A192
15,A192
18,A191
24,A192
10,A191
12,A192
18,A191
36,A192
18,A192
12,A191
12,A191
12,A191
12,A191
24,A191
12,A192
54,A192
12,A191
18,A191
36,A191
20,A192
24,A191
36,A191
6,A191
9,A192
12,A192
24,A192
18,A192
12,A191
24,A192
14,A192
6,A191
15,A192
18,A191
36,A192
12,A191
48,A192
42,A192
10,A191
33,A191
12,A192
21,A192
24,A192
12,A191
10,A192
18,A191
12,A191
12,A191
12,A191
12,A192
12,A191
48,A191
36,A192
15,A191
18,A191
60,A192
12,A192
27,A191
12,A191
15,A192
12,A192
6,A191
36,A192
27,A191
18,A191
21,A192
48,A191
6,A192
12,A192
36,A191
18,A191
6,A192
10,A192
36,A191
24,A191
24,A192
12,A191
9,A191
12,A191
24,A192
6,A191
24,A192
18,A191
15,A192
10,A192
36,A191
6,A192
18,A191
11,A191
24,A192
24,A192
15,A191
12,A192
24,A192
8,A191
21,A191
30,A192
12,A191
6,A191
12,A192
21,A191
36,A191
36,A192
21,A191
24,A192
18,A192
15,A191
9,A192
16,A192
12,A191
18,A192
24,A192
48,A191
27,A192
6,A191
45,A191
9,A192
6,A192
12,A191
24,A192
18,A192
9,A192
12,A191
27,A191
12,A191
12,A191
30,A192
12,A192
12,A191
24,A191
12,A191
9,A191
36,A192
27,A192
30,A192
36,A192
6,A191
18,A192
36,A192
24,A191
10,A192
12,A191
12,A192
12,A191
24,A192
15,A192
36,A191
48,A192
12,A192
9,A191
24,A191
36,A191
9,A191
12,A191
18,A191
4,A191
24,A191
6,A192
21,A191
12,A191
30,A191
24,A191
6,A191
48,A191
12,A191
12,A191
24,A192
12,A191
6,A191
24,A191
18,A191
6,A192
12,A191
30,A191
24,A191
9,A192
60,A191
24,A191
12,A191
15,A192
11,A191
12,A191
24,A191
18,A192
12,A191
10,A191
15,A191
36,A191
24,A192
14,A192
24,A191
18,A191
12,A192
48,A192
48,A191
30,A192
9,A191
18,A191
12,A192
6,A191
24,A192
15,A192
12,A191
18,A191
15,A191
24,A192
47,A192
48,A191
48,A192
12,A192
24,A191
12,A192
36,A192
24,A192
42,A191
48,A191
48,A192
12,A191
10,A191
18,A192
21,A192
6,A192
36,A192
24,A191
10,A192
48,A191
6,A191
30,A191
12,A192
8,A191
9,A191
48,A192
24,A191
24,A191
12,A191
4,A191
36,A191
12,A191
24,A192
12,A191
15,A191
30,A191
24,A191
24,A192
18,A191
18,A191
8,A191
12,A192
24,A192
36,A191
6,A191
24,A192
18,A191
60,A191
48,A191
24,A191
6,A192
13,A191
15,A191
24,A191
10,A191
24,A192
21,A191
18,A191
18,A192
10,A191
15,A191
13,A191
24,A191
6,A191
9,A191
9,A192
9,A191
18,A192
12,A192
10,A192
24,A191
12,A192
36,A192
12,A191
30,A191
18,A191
12,A191
12,A192
6,A191
18,A191
12,A192
18,A191
18,A191
36,A191
18,A191
36,A191
18,A192
10,A191
60,A192
60,A192
48,A191
18,A191
7,A191
36,A192
6,A191
20,A192
18,A192
22,A191
12,A191
30,A191
18,A191
18,A192
18,A192
15,A191
9,A191
18,A192
12,A191
36,A192
6,A191
9,A191
39,A192
12,A191
36,A192
12,A191
24,A191
18,A192
18,A191
24,A192
14,A191
18,A191
24,A192
24,A192
15,A191
24,A192
12,A192
24,A192
33,A192
12,A192
10,A191
24,A191
36,A192
12,A191
18,A192
21,A191
18,A191
15,A191
12,A191
12,A191
21,A191
12,A192
18,A192
28,A191
18,A191
9,A191
18,A191
5,A191
24,A192
6,A192
24,A192
9,A191
12,A192
6,A191
24,A192
42,A191
12,A191
12,A192
12,A191
20,A192
12,A191
48,A192
9,A191
36,A192
7,A191
12,A192
15,A191
36,A192
6,A191
12,A191
24,A192
24,A192
24,A192
11,A191
12,A192
6,A191
18,A192
36,A191
15,A191
12,A191
12,A191
18,A192
24,A192
24,A192
48,A191
33,A192
24,A192
24,A192
6,A191
9,A191
6,A192
18,A191
18,A191
39,A191
24,A191
12,A191
15,A192
12,A191
24,A191
30,A192
15,A191
12,A192
6,A192
12,A192
24,A192
10,A191
6,A191
12,A191
27,A192
6,A191
6,A191
12,A191
24,A191
36,A192
24,A191
18,A191
6,A192
24,A191
36,A191
9,A191
24,A191
24,A191
10,A191
15,A192
15,A192
24,A191
39,A192
12,A191
36,A192
15,A192
12,A191
24,A191
6,A191
6,A191
36,A192
6,A192
6,A191
24,A191
18,A191
48,A191
24,A191
18,A191
26,A191
15,A191
4,A191
36,A191
6,A192
36,A191
15,A192
12,A191
24,A192
24,A191
21,A191
6,A192
18,A192
48,A191
18,A191
12,A191
24,A192
30,A191
18,A191
12,A191
24,A191
24,A192
24,A191
12,A191
48,A192
12,A191
6,A191
48,A192
12,A191
9,A192
12,A191
18,A191
21,A192
24,A191
18,A191
24,A192
24,A191
6,A191
36,A192
24,A192
24,A192
12,A191
24,A191
48,A192
48,A192
24,A192
30,A191
24,A192
15,A191
9,A191
15,A191
12,A191
24,A192
36,A191
24,A191
18,A191
12,A191
9,A191
36,A191
12,A192
18,A191
9,A191
12,A191
18,A192
12,A191
12,A192
24,A192
21,A191
24,A192
24,A192
6,A191
24,A191
24,A192
