Fulfilment,Sales Channel ,ship-service-level,Qty,currency,ship-city,ship-country,fulfilled-by,Unnamed: 22
Merchant,Amazon.in,Standard,1,INR,RAJAHMUNDRY,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,CHENNAI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,NEDUMANGAD,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,LEH,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,PIMPRI CHINCHWAD,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,ANAKAPALLE,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,PIMPRI CHINCHWAD,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,Ernakulam District,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,MUMBAI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,ALAPPUZHA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,PATNA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,NOIDA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,TUMAKURU. Phone Number 9686000855,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,CHHIPABAROD,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,JOGIPET,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,BHILAI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,BENGALURU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,BENGALURU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,JODHPUR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,CHENNAI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,BHOPAL,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,PURNIA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,MUMBAI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,PUNE,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,MAHBUBNAGAR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,Secunderabad,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,SECUNDERABAD,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,AROOR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,GUWAHATI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,BENGALURU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,RANCHI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,RANCHI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,BENGALURU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,Guntur,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,HYDERABAD,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,CHENNAI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,MUMBAI.,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,GURUGRAM,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,HYDERABAD,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,Ulhasnagar 3,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,CHENNAI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,AMRITSAR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,Hyderabad,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,THANE,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,GURUGRAM,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,HOSUR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,MADURAI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,KHAMMAM,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,PALAKKAD,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,MUMBAI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,PUNE,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,VEERAPANDIANPATTINAM,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,VEERAPANDIANPATTINAM,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,KOLKATA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,BENGALURU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,PUNE,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,pallikunnu (p O),IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,HYDERABAD,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,New Delhi,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,RAIPUR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,HYDERABAD,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,Aluva,IN,Easy Ship,False
Merchant,Amazon.in,Standard,1,INR,UTTARKASHI,IN,Easy Ship,False
