Fulfilment,Sales Channel ,ship-service-level,Category,Qty,currency,ship-country,fulfilled-by,Unnamed: 22
Merchant,Amazon.in,Standard,kurta,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,Top,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,Western Dress,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,Western Dress,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,Western Dress,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,Western Dress,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,Western Dress,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,Set,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,Western Dress,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,Western Dress,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,Set,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,Western Dress,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,Western Dress,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,Set,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,Set,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,kurta,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,Set,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,Set,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,kurta,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,Western Dress,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,Western Dress,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,Set,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,Set,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,kurta,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,Set,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,Set,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,Western Dress,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,Top,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,Top,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,Set,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,Top,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,Top,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,Set,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,Set,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,kurta,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,Set,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,Set,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,Set,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,Top,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,Western Dress,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,kurta,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,Set,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,Western Dress,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,kurta,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,Western Dress,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,Top,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,Set,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,kurta,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,kurta,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,kurta,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,Western Dress,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,Set,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,Set,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,kurta,1,INR,IN,Easy Ship,False
