A,D,E,F,G,H,I,J,K,L,M,N,P,Q,U,V,X
GP,U,GT3,A,4,4,at_home,teacher,course,mother,2,2,yes,no,yes,no,4
GP,U,GT3,T,1,1,at_home,other,course,father,1,2,no,yes,yes,yes,5
GP,U,LE3,T,1,1,at_home,other,other,mother,1,2,yes,no,yes,yes,4
GP,U,GT3,T,4,2,health,services,home,mother,1,3,no,yes,yes,yes,3
GP,U,GT3,T,3,3,other,other,home,father,1,2,no,yes,yes,no,4
GP,U,LE3,T,4,3,services,other,reputation,mother,1,2,no,yes,yes,yes,5
GP,U,LE3,T,2,2,other,other,home,mother,1,2,no,no,yes,yes,4
GP,U,GT3,A,4,4,other,teacher,home,mother,2,2,yes,yes,yes,no,4
GP,U,LE3,A,3,2,services,other,home,mother,1,2,no,yes,yes,yes,4
GP,U,GT3,T,3,4,other,other,home,mother,1,2,no,yes,yes,yes,5
GP,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,no,yes,yes,yes,3
GP,U,GT3,T,2,1,services,other,reputation,father,3,3,no,yes,yes,yes,5
GP,U,LE3,T,4,4,health,services,course,father,1,1,no,yes,yes,yes,4
GP,U,GT3,T,4,3,teacher,other,course,mother,2,2,no,yes,yes,yes,5
GP,U,GT3,A,2,2,other,other,home,other,1,3,no,yes,yes,yes,4
GP,U,GT3,T,4,4,health,other,home,mother,1,1,no,yes,yes,yes,4
GP,U,GT3,T,4,4,services,services,reputation,mother,1,3,no,yes,yes,yes,3
GP,U,GT3,T,3,3,other,other,reputation,mother,3,2,yes,yes,yes,no,5
GP,U,GT3,T,3,2,services,services,course,mother,1,1,no,yes,yes,yes,5
GP,U,LE3,T,4,3,health,other,home,father,1,1,no,no,yes,yes,3
GP,U,GT3,T,4,3,teacher,other,reputation,mother,1,2,no,no,yes,yes,4
GP,U,GT3,T,4,4,health,health,other,father,1,1,no,yes,yes,yes,5
GP,U,LE3,T,4,2,teacher,other,course,mother,1,2,no,no,yes,yes,4
GP,U,LE3,T,2,2,other,other,reputation,mother,2,2,no,yes,yes,yes,5
GP,R,GT3,T,2,4,services,health,course,mother,1,3,yes,yes,yes,yes,4
GP,U,GT3,T,2,2,services,services,home,mother,1,1,no,yes,yes,yes,1
GP,U,GT3,T,2,2,other,other,home,mother,1,1,no,yes,yes,yes,4
GP,U,GT3,T,4,2,health,services,other,mother,1,1,no,no,yes,yes,2
GP,U,LE3,A,3,4,services,other,home,mother,1,2,yes,yes,yes,yes,5
GP,U,GT3,T,4,4,teacher,teacher,home,mother,1,2,no,yes,yes,yes,4
GP,U,GT3,T,4,4,health,services,home,mother,1,2,no,yes,yes,yes,5
GP,U,GT3,T,4,4,services,services,reputation,mother,2,2,no,yes,yes,yes,4
GP,R,GT3,T,4,3,teacher,at_home,course,mother,1,2,no,yes,yes,yes,4
GP,U,LE3,T,3,3,other,other,course,mother,1,2,no,no,yes,yes,5
GP,U,GT3,T,3,2,other,other,home,mother,1,1,no,yes,yes,yes,5
GP,U,GT3,T,2,3,other,other,other,father,2,1,no,yes,yes,no,3
GP,U,LE3,T,4,3,teacher,services,home,mother,1,3,no,yes,yes,yes,5
GP,R,GT3,A,4,4,other,teacher,reputation,mother,2,3,no,yes,yes,yes,2
GP,R,GT3,T,3,4,services,health,course,mother,1,3,yes,yes,yes,yes,4
GP,R,GT3,T,2,2,at_home,other,reputation,mother,1,1,yes,yes,yes,no,4
GP,U,LE3,T,2,2,other,other,home,mother,2,2,no,yes,yes,yes,3
GP,U,LE3,T,4,4,teacher,other,home,other,1,1,no,yes,yes,yes,5
GP,U,GT3,T,4,4,services,teacher,course,father,1,2,no,yes,yes,yes,4
GP,U,GT3,T,2,2,services,services,course,father,1,1,yes,yes,yes,yes,5
GP,U,LE3,T,2,2,other,at_home,course,father,2,2,yes,no,yes,yes,4
GP,U,LE3,A,4,3,other,other,course,mother,1,2,yes,yes,yes,yes,5
GP,U,LE3,A,3,3,other,services,home,mother,1,2,no,yes,yes,yes,2
GP,U,GT3,T,4,3,health,services,reputation,mother,1,4,no,no,yes,yes,4
GP,U,GT3,T,4,2,teacher,other,home,mother,1,2,no,yes,yes,no,4
GP,U,GT3,T,4,4,services,teacher,other,father,1,2,yes,yes,yes,yes,4
GP,U,LE3,T,2,2,services,services,course,mother,3,2,no,yes,yes,yes,4
GP,U,LE3,T,4,2,health,other,other,mother,1,2,no,yes,yes,yes,4
GP,U,LE3,A,4,2,health,health,other,father,2,1,no,no,yes,no,5
GP,U,GT3,T,4,4,services,services,course,mother,1,1,yes,yes,yes,yes,3
GP,U,LE3,A,3,3,other,other,other,mother,1,1,no,no,yes,yes,5
GP,U,GT3,A,2,1,other,other,other,mother,1,2,no,no,yes,yes,5
GP,U,GT3,A,4,3,services,services,reputation,mother,1,2,no,yes,yes,yes,4
GP,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,no,yes,yes,no,3
GP,U,LE3,T,1,2,other,at_home,home,father,1,2,yes,yes,yes,yes,4
GP,U,GT3,T,4,2,services,other,course,mother,1,2,no,yes,yes,yes,4
GP,R,GT3,T,4,4,health,teacher,other,mother,1,2,no,yes,yes,no,2
GP,U,GT3,T,1,1,services,services,course,father,4,1,yes,yes,yes,yes,5
GP,U,LE3,T,1,2,other,services,reputation,father,1,2,yes,no,yes,yes,4
GP,U,GT3,T,4,3,teacher,health,home,mother,1,3,yes,yes,yes,yes,3
GP,U,LE3,T,4,3,services,services,reputation,father,1,2,yes,no,yes,yes,4
GP,U,LE3,T,4,3,teacher,services,course,mother,3,2,no,yes,yes,yes,5
GP,U,GT3,A,4,4,other,services,reputation,mother,1,4,no,yes,yes,yes,1
GP,U,GT3,T,3,1,services,other,course,mother,1,4,yes,yes,yes,yes,4
GP,R,LE3,T,2,2,health,services,reputation,mother,2,2,yes,yes,yes,yes,4
GP,R,LE3,T,3,1,other,other,reputation,father,2,4,no,yes,yes,yes,4
GP,U,GT3,T,3,1,other,other,reputation,father,2,4,no,yes,yes,yes,4
GP,U,GT3,T,4,2,other,other,course,mother,1,4,no,no,yes,yes,3
GP,R,GT3,T,1,1,other,other,reputation,mother,1,2,yes,yes,yes,yes,3
GP,U,GT3,T,3,1,other,other,reputation,mother,1,1,no,no,yes,no,5
GP,U,GT3,T,3,3,other,services,home,mother,1,2,yes,yes,yes,yes,4
GP,U,GT3,T,4,3,teacher,other,home,mother,1,2,no,yes,yes,yes,4
GP,U,GT3,T,4,0,teacher,other,course,mother,2,4,no,no,yes,yes,3
GP,U,GT3,T,2,2,other,other,reputation,mother,1,4,no,no,yes,yes,5
GP,U,GT3,T,2,1,other,other,home,mother,2,1,yes,yes,no,yes,4
GP,U,GT3,T,3,4,at_home,other,course,mother,1,2,no,yes,yes,yes,2
GP,U,GT3,T,2,3,other,services,course,father,1,1,yes,yes,yes,yes,3
GP,U,GT3,T,2,3,other,other,home,mother,1,3,yes,no,yes,yes,5
GP,U,LE3,T,3,2,services,other,reputation,mother,1,2,no,yes,yes,yes,4
GP,U,LE3,T,2,2,services,services,home,mother,2,2,no,no,yes,yes,5
GP,U,GT3,T,1,1,other,other,home,father,1,2,no,yes,yes,yes,4
GP,U,GT3,T,4,4,services,services,reputation,father,2,2,no,no,yes,yes,4
GP,U,LE3,T,2,2,at_home,other,course,mother,1,2,no,yes,yes,no,4
GP,U,GT3,T,4,2,other,other,reputation,mother,1,3,no,yes,yes,yes,5
GP,U,GT3,T,2,2,services,other,reputation,father,2,2,no,no,yes,yes,4
GP,U,LE3,A,4,4,teacher,health,reputation,mother,1,2,no,yes,yes,no,4
GP,U,GT3,T,3,3,other,other,home,mother,1,3,no,yes,yes,yes,4
GP,U,GT3,T,4,3,services,other,reputation,mother,1,1,no,no,yes,yes,4
GP,U,LE3,T,3,1,other,other,home,father,1,2,yes,yes,yes,no,3
GP,U,GT3,T,4,2,teacher,services,home,mother,2,2,no,yes,yes,yes,5
GP,U,LE3,T,2,2,services,health,reputation,mother,1,4,no,yes,yes,yes,4
GP,R,GT3,T,1,1,at_home,other,home,mother,2,4,yes,yes,yes,yes,3
GP,R,GT3,T,4,3,services,other,reputation,mother,2,1,yes,yes,yes,yes,3
GP,U,GT3,T,2,1,other,other,course,mother,1,2,no,yes,yes,no,4
GP,U,GT3,T,4,4,other,other,reputation,mother,1,1,no,no,yes,yes,5
GP,U,GT3,T,4,3,other,at_home,course,mother,1,3,yes,yes,yes,yes,5
GP,U,GT3,T,4,4,services,services,other,mother,1,1,yes,yes,yes,yes,4
GP,U,GT3,T,4,4,services,teacher,other,father,1,3,no,yes,yes,yes,4
GP,U,GT3,T,4,4,services,other,course,mother,1,1,no,yes,yes,yes,5
GP,U,GT3,T,3,2,services,other,home,mother,2,2,yes,yes,yes,yes,4
GP,U,GT3,A,3,4,services,other,course,mother,1,2,no,yes,yes,yes,5
GP,U,GT3,A,3,3,other,health,reputation,father,1,4,yes,no,yes,no,4
GP,U,GT3,T,2,2,other,other,course,mother,1,4,yes,yes,yes,yes,5
GP,U,GT3,T,3,3,services,other,home,father,1,3,no,yes,yes,yes,5
GP,R,GT3,T,4,4,other,other,home,father,4,4,no,yes,yes,yes,1
GP,U,LE3,T,4,4,health,health,other,mother,1,3,no,yes,yes,yes,5
GP,U,LE3,A,4,4,teacher,teacher,course,mother,1,1,no,no,yes,yes,5
GP,R,GT3,T,3,3,services,other,reputation,father,1,3,yes,yes,yes,yes,4
GP,U,GT3,T,2,2,at_home,other,home,mother,1,2,yes,no,yes,yes,3
