A,B,D,F,G,H,I,K,N,Q,S,U,V,Y
GP,F,U,A,4,4,at_home,course,2,no,no,yes,no,3
GP,F,U,T,1,1,at_home,course,2,yes,no,yes,yes,3
GP,F,U,T,1,1,at_home,other,2,no,no,yes,yes,3
GP,F,U,T,4,2,health,home,3,yes,yes,yes,yes,2
GP,F,U,T,3,3,other,home,2,yes,no,yes,no,3
GP,M,U,T,4,3,services,reputation,2,yes,yes,yes,yes,4
GP,M,U,T,2,2,other,home,2,no,no,yes,yes,4
GP,F,U,A,4,4,other,home,2,yes,no,yes,no,1
GP,M,U,A,3,2,services,home,2,yes,no,yes,yes,2
GP,M,U,T,3,4,other,home,2,yes,yes,yes,yes,5
GP,F,U,T,4,4,teacher,reputation,2,yes,no,yes,yes,3
GP,F,U,T,2,1,services,reputation,3,yes,yes,yes,yes,2
GP,M,U,T,4,4,health,course,1,yes,yes,yes,yes,3
GP,M,U,T,4,3,teacher,course,2,yes,no,yes,yes,4
GP,M,U,A,2,2,other,home,3,yes,no,yes,yes,5
GP,F,U,T,4,4,health,home,1,yes,no,yes,yes,4
GP,F,U,T,4,4,services,reputation,3,yes,yes,yes,yes,2
GP,F,U,T,3,3,other,reputation,2,yes,yes,yes,no,3
GP,M,U,T,3,2,services,course,1,yes,yes,yes,yes,5
GP,M,U,T,4,3,health,home,1,no,yes,yes,yes,1
GP,M,U,T,4,3,teacher,reputation,2,no,no,yes,yes,4
GP,M,U,T,4,4,health,other,1,yes,no,yes,yes,4
GP,M,U,T,4,2,teacher,course,2,no,yes,yes,yes,5
GP,M,U,T,2,2,other,reputation,2,yes,yes,yes,yes,4
GP,F,R,T,2,4,services,course,3,yes,yes,yes,yes,3
GP,F,U,T,2,2,services,home,1,yes,no,yes,yes,2
GP,M,U,T,2,2,other,home,1,yes,no,yes,yes,2
GP,M,U,T,4,2,health,other,1,no,no,yes,yes,2
GP,M,U,A,3,4,services,home,2,yes,yes,yes,yes,3
GP,M,U,T,4,4,teacher,home,2,yes,yes,yes,yes,4
GP,M,U,T,4,4,health,home,2,yes,no,yes,yes,4
GP,M,U,T,4,4,services,reputation,2,yes,yes,yes,yes,3
GP,M,R,T,4,3,teacher,course,2,yes,yes,yes,yes,5
GP,M,U,T,3,3,other,course,2,no,yes,yes,yes,3
GP,M,U,T,3,2,other,home,1,yes,no,yes,yes,4
GP,F,U,T,2,3,other,other,1,yes,yes,yes,no,5
GP,M,U,T,4,3,teacher,home,3,yes,yes,yes,yes,4
