A,B,D,E,F,H,J,K,M,N,O,P,Q,R,S,U,W,X,Y,Z
GP,F,U,GT3,A,4,teacher,course,2,2,0,yes,no,no,no,yes,no,4,3,4
GP,F,U,GT3,T,1,other,course,1,2,0,no,yes,no,no,yes,no,5,3,3
GP,F,U,LE3,T,1,other,other,1,2,0,yes,no,no,no,yes,no,4,3,2
GP,F,U,GT3,T,2,services,home,1,3,0,no,yes,no,yes,yes,yes,3,2,2
GP,F,U,GT3,T,3,other,home,1,2,0,no,yes,no,no,yes,no,4,3,2
GP,M,U,LE3,T,3,other,reputation,1,2,0,no,yes,no,yes,yes,no,5,4,2
GP,M,U,LE3,T,2,other,home,1,2,0,no,no,no,no,yes,no,4,4,4
GP,F,U,GT3,A,4,teacher,home,2,2,0,yes,yes,no,no,yes,no,4,1,4
GP,M,U,LE3,A,2,other,home,1,2,0,no,yes,no,no,yes,no,4,2,2
GP,M,U,GT3,T,4,other,home,1,2,0,no,yes,no,yes,yes,no,5,5,1
GP,F,U,GT3,T,4,health,reputation,1,2,0,no,yes,no,no,yes,no,3,3,3
GP,F,U,GT3,T,1,other,reputation,3,3,0,no,yes,no,yes,yes,no,5,2,2
GP,M,U,LE3,T,4,services,course,1,1,0,no,yes,no,yes,yes,no,4,3,3
GP,M,U,GT3,T,3,other,course,2,2,0,no,yes,no,no,yes,no,5,4,3
GP,M,U,GT3,A,2,other,home,1,3,0,no,yes,no,no,yes,yes,4,5,2
GP,F,U,GT3,T,4,other,home,1,1,0,no,yes,no,no,yes,no,4,4,4
GP,F,U,GT3,T,4,services,reputation,1,3,0,no,yes,no,yes,yes,no,3,2,3
GP,F,U,GT3,T,3,other,reputation,3,2,0,yes,yes,no,yes,yes,no,5,3,2
GP,M,U,GT3,T,2,services,course,1,1,3,no,yes,yes,yes,yes,no,5,5,5
GP,M,U,LE3,T,3,other,home,1,1,0,no,no,no,yes,yes,no,3,1,3
GP,M,U,GT3,T,3,other,reputation,1,2,0,no,no,no,no,yes,no,4,4,1
GP,M,U,GT3,T,4,health,other,1,1,0,no,yes,yes,no,yes,no,5,4,2
GP,M,U,LE3,T,2,other,course,1,2,0,no,no,no,yes,yes,no,4,5,1
GP,M,U,LE3,T,2,other,reputation,2,2,0,no,yes,no,yes,yes,no,5,4,4
GP,F,R,GT3,T,4,health,course,1,3,0,yes,yes,no,yes,yes,no,4,3,2
GP,F,U,GT3,T,2,services,home,1,1,0,no,yes,no,no,yes,no,1,2,2
GP,M,U,GT3,T,2,other,home,1,1,0,no,yes,no,no,yes,no,4,2,2
GP,M,U,GT3,T,2,services,other,1,1,0,no,no,no,no,yes,no,2,2,4
GP,M,U,LE3,A,4,other,home,1,2,0,yes,yes,yes,yes,yes,no,5,3,3
GP,M,U,GT3,T,4,teacher,home,1,2,0,no,yes,yes,yes,yes,yes,4,4,5
GP,M,U,GT3,T,4,services,home,1,2,0,no,yes,yes,no,yes,no,5,4,2
GP,M,U,GT3,T,4,services,reputation,2,2,0,no,yes,no,yes,yes,no,4,3,1
GP,M,R,GT3,T,3,at_home,course,1,2,0,no,yes,no,yes,yes,yes,4,5,2
GP,M,U,LE3,T,3,other,course,1,2,0,no,no,no,yes,yes,no,5,3,2
GP,M,U,GT3,T,2,other,home,1,1,0,no,yes,no,no,yes,no,5,4,3
GP,F,U,GT3,T,3,other,other,2,1,0,no,yes,no,yes,yes,no,3,5,1
GP,M,U,LE3,T,3,services,home,1,3,0,no,yes,no,yes,yes,no,5,4,3
GP,M,R,GT3,A,4,teacher,reputation,2,3,0,no,yes,no,yes,yes,yes,2,4,3
GP,F,R,GT3,T,4,health,course,1,3,0,yes,yes,no,yes,yes,no,4,3,2
GP,F,R,GT3,T,2,other,reputation,1,1,0,yes,yes,no,yes,yes,no,4,3,1
GP,F,U,LE3,T,2,other,home,2,2,0,no,yes,no,yes,yes,yes,3,3,3
GP,M,U,LE3,T,4,other,home,1,1,0,no,yes,no,no,yes,yes,5,4,3
GP,M,U,GT3,T,4,teacher,course,1,2,0,no,yes,no,yes,yes,no,4,3,3
GP,M,U,GT3,T,2,services,course,1,1,0,yes,yes,no,no,yes,no,5,4,1
GP,F,U,LE3,T,2,at_home,course,2,2,1,yes,no,no,yes,yes,no,4,3,3
GP,F,U,LE3,A,3,other,course,1,2,0,yes,yes,yes,yes,yes,yes,5,2,2
GP,F,U,LE3,A,3,services,home,1,2,0,no,yes,no,no,yes,no,2,3,5
GP,M,U,GT3,T,3,services,reputation,1,4,0,no,no,no,yes,yes,no,4,2,2
GP,M,U,GT3,T,2,other,home,1,2,0,no,yes,no,no,yes,no,4,3,3
GP,F,U,GT3,T,4,teacher,other,1,2,0,yes,yes,no,yes,yes,no,4,4,4
GP,F,U,LE3,T,2,services,course,3,2,0,no,yes,no,no,yes,no,4,3,3
GP,F,U,LE3,T,2,other,other,1,2,0,no,yes,no,no,yes,no,4,3,3
GP,M,U,LE3,A,2,health,other,2,1,0,no,no,no,no,yes,no,5,5,5
GP,F,U,GT3,T,4,services,course,1,1,0,yes,yes,no,no,yes,no,3,3,4
GP,F,U,LE3,A,3,other,other,1,1,0,no,no,no,no,yes,no,5,3,4
GP,F,U,GT3,A,1,other,other,1,2,0,no,no,no,yes,yes,yes,5,3,4
GP,F,U,GT3,A,3,services,reputation,1,2,0,no,yes,no,yes,yes,no,4,3,2
GP,M,U,GT3,T,4,health,reputation,1,2,0,no,yes,no,yes,yes,no,3,2,2
GP,M,U,LE3,T,2,at_home,home,1,2,0,yes,yes,no,yes,yes,no,4,3,2
GP,F,U,GT3,T,2,other,course,1,2,0,no,yes,yes,no,yes,no,4,2,3
GP,F,R,GT3,T,4,teacher,other,1,2,0,no,yes,no,yes,yes,no,2,4,4
GP,F,U,GT3,T,1,services,course,4,1,0,yes,yes,no,yes,yes,yes,5,5,5
GP,F,U,LE3,T,2,services,reputation,1,2,0,yes,no,no,yes,yes,no,4,4,3
GP,F,U,GT3,T,3,health,home,1,3,0,yes,yes,no,yes,yes,no,3,4,4
GP,F,U,LE3,T,3,services,reputation,1,2,0,yes,no,no,yes,yes,yes,4,4,4
GP,F,U,LE3,T,3,services,course,3,2,0,no,yes,no,yes,yes,no,5,4,3
GP,M,U,GT3,A,4,services,reputation,1,4,0,no,yes,no,yes,yes,yes,1,3,3
GP,F,U,GT3,T,1,other,course,1,4,0,yes,yes,no,no,yes,no,4,3,3
GP,F,R,LE3,T,2,services,reputation,2,2,0,yes,yes,no,no,yes,no,4,1,3
GP,F,R,LE3,T,1,other,reputation,2,4,0,no,yes,no,no,yes,no,4,4,2
GP,M,U,GT3,T,1,other,reputation,2,4,0,no,yes,no,no,yes,no,4,3,2
GP,M,U,GT3,T,2,other,course,1,4,0,no,no,no,no,yes,no,3,3,3
GP,F,R,GT3,T,1,other,reputation,1,2,0,yes,yes,no,no,yes,yes,3,3,4
GP,M,U,GT3,T,1,other,reputation,1,1,0,no,no,no,yes,yes,no,5,3,2
GP,F,U,GT3,T,3,services,home,1,2,0,yes,yes,no,yes,yes,no,4,3,3
GP,M,U,GT3,T,3,other,home,1,2,0,no,yes,no,yes,yes,no,4,3,3
GP,M,U,GT3,T,0,other,course,2,4,0,no,no,no,yes,yes,no,3,4,3
GP,F,U,GT3,T,2,other,reputation,1,4,0,no,no,no,no,yes,yes,5,2,3
GP,M,U,GT3,T,1,other,home,2,1,3,yes,yes,no,yes,no,no,4,5,1
GP,F,U,GT3,T,4,other,course,1,2,0,no,yes,no,no,yes,no,2,4,3
GP,M,U,GT3,T,3,services,course,1,1,0,yes,yes,no,yes,yes,yes,3,2,2
GP,M,U,GT3,T,3,other,home,1,3,0,yes,no,no,no,yes,no,5,3,2
GP,F,U,LE3,T,2,other,reputation,1,2,0,no,yes,no,no,yes,no,4,4,4
GP,M,U,LE3,T,2,services,home,2,2,0,no,no,yes,yes,yes,no,5,3,3
GP,F,U,GT3,T,1,other,home,1,2,0,no,yes,no,yes,yes,no,4,3,2
GP,F,U,GT3,T,4,services,reputation,2,2,0,no,no,no,no,yes,yes,4,4,4
GP,F,U,LE3,T,2,other,course,1,2,0,no,yes,no,no,yes,no,4,3,4
GP,F,U,GT3,T,2,other,reputation,1,3,0,no,yes,no,yes,yes,no,5,3,3
GP,M,U,GT3,T,2,other,reputation,2,2,0,no,no,no,yes,yes,no,4,4,2
GP,M,U,LE3,A,4,health,reputation,1,2,0,no,yes,no,no,yes,no,4,1,3
GP,F,U,GT3,T,3,other,home,1,3,0,no,yes,no,no,yes,yes,4,3,3
GP,F,U,GT3,T,3,other,reputation,1,1,0,no,no,no,yes,yes,no,4,5,5
GP,F,U,LE3,T,1,other,home,1,2,0,yes,yes,no,no,yes,no,3,3,3
GP,F,U,GT3,T,2,services,home,2,2,0,no,yes,no,yes,yes,no,5,3,3
GP,M,U,LE3,T,2,health,reputation,1,4,0,no,yes,no,yes,yes,no,4,3,4
GP,F,R,GT3,T,1,other,home,2,4,0,yes,yes,yes,yes,yes,no,3,1,2
GP,M,R,GT3,T,3,other,reputation,2,1,0,yes,yes,yes,yes,yes,no,3,3,3
GP,F,U,GT3,T,1,other,course,1,2,0,no,yes,no,no,yes,yes,4,3,5
GP,F,U,GT3,T,4,other,reputation,1,1,0,no,no,no,yes,yes,no,5,3,4
GP,F,U,GT3,T,3,at_home,course,1,3,0,yes,yes,no,no,yes,no,5,3,5
GP,M,U,GT3,T,4,services,other,1,1,0,yes,yes,no,yes,yes,no,4,5,5
GP,M,U,GT3,T,4,teacher,other,1,3,0,no,yes,no,yes,yes,yes,4,4,3
GP,M,U,GT3,T,4,other,course,1,1,0,no,yes,yes,yes,yes,no,5,3,3
GP,F,U,GT3,T,2,other,home,2,2,0,yes,yes,no,no,yes,no,4,3,5
GP,M,U,GT3,A,4,other,course,1,2,0,no,yes,no,yes,yes,no,5,4,4
GP,F,U,GT3,A,3,health,reputation,1,4,0,yes,no,no,no,yes,no,4,3,3
GP,F,U,GT3,T,2,other,course,1,4,0,yes,yes,no,no,yes,no,5,1,2
GP,M,U,GT3,T,3,other,home,1,3,0,no,yes,no,yes,yes,no,5,3,3
GP,M,R,GT3,T,4,other,home,4,4,0,no,yes,no,yes,yes,yes,1,3,5
GP,F,U,LE3,T,4,health,other,1,3,0,no,yes,no,yes,yes,yes,5,4,5
GP,M,U,LE3,A,4,teacher,course,1,1,0,no,no,no,yes,yes,no,5,5,3
GP,F,R,GT3,T,3,other,reputation,1,3,0,yes,yes,no,yes,yes,no,4,1,2
GP,F,U,GT3,T,2,other,home,1,2,1,yes,no,no,yes,yes,no,3,1,2
GP,M,U,LE3,T,2,other,course,1,1,0,no,no,no,no,yes,no,3,5,2
GP,M,R,GT3,T,1,services,reputation,1,2,0,no,no,no,yes,yes,yes,5,4,2
GP,M,U,GT3,T,4,teacher,course,1,2,0,no,yes,no,yes,yes,no,5,4,4
GP,M,U,GT3,T,4,teacher,reputation,2,2,0,no,yes,no,yes,yes,no,4,4,3
GP,M,U,GT3,T,3,services,home,2,1,0,no,no,no,yes,yes,no,5,4,2
GP,M,R,GT3,T,3,other,course,3,2,1,no,yes,no,yes,yes,no,5,2,4
GP,M,U,GT3,T,4,other,reputation,1,1,0,no,no,no,no,yes,no,3,4,3
GP,F,U,GT3,T,2,services,course,1,2,0,no,no,no,no,yes,no,3,2,3
GP,M,U,GT3,T,2,services,home,1,4,0,no,yes,no,yes,yes,no,5,5,4
GP,F,U,LE3,T,4,health,course,2,2,0,no,yes,no,yes,yes,yes,4,2,2
GP,M,U,GT3,T,4,other,course,1,1,0,no,yes,no,yes,yes,no,3,4,4
GP,F,U,GT3,T,2,other,home,1,2,0,no,no,no,no,yes,yes,5,4,4
GP,M,U,GT3,T,4,services,home,1,1,0,yes,no,no,no,yes,no,5,5,5
GP,F,U,LE3,A,4,other,home,1,2,0,yes,no,no,yes,yes,yes,5,3,2
GP,F,U,GT3,T,1,other,course,1,2,2,no,yes,no,no,no,no,3,4,2
GP,M,R,GT3,T,4,teacher,course,1,1,0,no,no,no,yes,yes,no,3,5,5
GP,M,U,GT3,T,3,other,course,2,3,0,no,yes,no,no,yes,yes,3,2,3
GP,F,R,GT3,T,4,teacher,course,2,3,0,no,yes,no,no,yes,yes,4,2,2
GP,F,U,GT3,T,1,other,reputation,1,2,3,no,yes,no,yes,no,yes,5,4,5
GP,F,U,LE3,A,1,other,course,3,1,0,no,yes,no,no,yes,no,3,2,2
GP,F,U,GT3,T,1,other,course,3,1,0,no,yes,no,yes,yes,yes,4,3,3
GP,F,U,LE3,T,2,other,course,1,1,0,no,yes,no,no,yes,yes,3,4,4
GP,F,U,GT3,A,4,other,course,1,1,0,no,no,no,no,yes,no,3,2,1
GP,M,U,GT3,T,1,other,course,4,1,0,no,no,no,no,yes,no,3,2,1
GP,F,U,GT3,A,2,other,home,1,1,1,no,no,no,no,yes,no,5,3,4
GP,M,R,GT3,T,4,teacher,course,4,2,0,no,yes,no,no,yes,yes,5,3,3
GP,F,U,GT3,T,4,at_home,course,1,3,0,no,yes,no,yes,yes,yes,4,3,3
GP,M,R,GT3,T,4,other,course,3,2,0,no,no,no,no,yes,no,5,4,5
GP,F,R,GT3,T,1,other,course,4,2,0,no,yes,no,no,yes,no,5,1,3
GP,M,U,LE3,T,1,services,course,2,1,0,no,no,no,yes,yes,yes,3,3,4
GP,F,U,GT3,A,2,services,course,1,3,0,no,yes,no,yes,yes,yes,4,3,3
GP,F,R,GT3,T,1,services,reputation,2,1,0,no,yes,no,yes,yes,yes,3,3,3
GP,F,U,GT3,A,3,other,course,2,1,0,no,yes,no,yes,yes,yes,4,3,2
GP,M,U,LE3,T,1,other,course,1,2,2,no,no,no,no,yes,yes,4,4,4
GP,F,U,GT3,T,4,teacher,course,2,1,0,no,no,no,yes,yes,no,4,3,2
GP,F,R,GT3,T,1,other,course,3,1,1,no,no,no,yes,yes,yes,5,5,5
GP,M,U,GT3,T,3,services,course,2,4,0,yes,yes,no,no,yes,no,2,2,2
GP,F,U,GT3,A,3,services,home,1,2,0,no,no,no,no,yes,yes,1,3,2
GP,M,U,GT3,T,4,services,course,1,3,0,no,yes,no,yes,yes,no,5,3,3
GP,M,U,LE3,T,2,services,reputation,2,1,0,no,yes,no,yes,yes,no,2,3,3
GP,F,U,GT3,T,4,services,course,1,3,0,no,yes,no,yes,yes,no,4,2,2
GP,F,U,LE3,T,1,at_home,course,1,1,0,no,no,no,no,yes,no,3,4,4
GP,M,U,GT3,T,1,other,home,1,1,0,no,yes,no,no,yes,no,5,4,5
GP,F,U,GT3,T,1,services,course,1,2,0,no,yes,no,no,yes,no,4,4,2
GP,F,U,LE3,A,1,other,home,2,1,0,no,yes,no,yes,no,yes,4,4,2
GP,F,U,GT3,T,2,services,home,1,2,1,no,yes,no,no,yes,no,3,3,2
GP,F,U,GT3,T,2,other,course,1,2,0,no,yes,no,no,yes,no,4,3,2
GP,F,U,GT3,T,2,services,course,1,2,0,no,no,no,no,yes,yes,2,3,4
GP,M,U,GT3,T,4,teacher,course,1,1,0,no,yes,no,no,no,yes,3,3,2
GP,M,U,LE3,A,1,other,course,4,1,0,no,no,no,no,yes,no,4,5,5
GP,M,U,LE3,T,1,other,course,1,1,2,no,no,no,no,no,yes,2,3,5
GP,M,U,LE3,T,1,other,course,1,1,1,no,no,no,yes,yes,yes,4,4,4
GP,F,R,GT3,T,3,services,reputation,2,3,0,no,yes,yes,yes,yes,yes,4,2,1
GP,M,U,GT3,T,2,at_home,home,1,1,0,no,yes,no,no,no,yes,4,5,4
GP,F,U,GT3,T,4,teacher,course,1,1,0,yes,yes,no,no,yes,yes,4,2,1
GP,M,R,GT3,T,3,services,course,1,2,0,yes,no,yes,yes,yes,no,4,4,4
GP,M,R,LE3,T,2,other,reputation,1,1,3,no,no,no,no,yes,no,2,2,2
GP,F,R,GT3,T,1,other,course,3,1,3,no,yes,no,yes,yes,no,5,2,5
GP,M,R,GT3,T,2,other,course,3,1,0,no,no,no,no,yes,no,4,2,2
GP,M,U,GT3,T,3,services,course,1,2,1,no,yes,no,no,yes,yes,4,5,5
GP,M,U,LE3,T,2,services,course,2,1,2,no,no,no,no,yes,no,4,4,5
GP,M,R,LE3,T,1,other,course,2,1,1,no,no,yes,yes,no,yes,3,3,2
GP,M,R,GT3,T,2,other,course,2,2,2,yes,yes,no,no,yes,yes,4,4,4
GP,M,U,LE3,T,2,other,course,2,1,0,no,no,no,yes,yes,no,4,4,4
GP,M,U,GT3,T,3,services,course,1,1,1,no,no,no,no,no,no,5,3,3
GP,M,R,LE3,T,1,services,course,4,2,0,no,no,no,yes,no,yes,5,3,5
GP,M,U,GT3,T,2,services,course,2,1,3,no,yes,no,yes,no,no,4,5,2
GP,M,U,GT3,T,2,other,course,1,2,0,no,no,no,no,no,no,4,3,5
GP,F,U,GT3,T,2,services,home,1,2,0,no,no,no,no,yes,yes,4,2,3
GP,F,U,GT3,T,2,other,home,1,2,0,no,yes,no,no,yes,no,5,1,5
GP,F,U,GT3,T,4,health,reputation,1,2,0,no,yes,no,no,yes,yes,4,4,2
GP,M,U,GT3,T,4,other,course,3,1,1,no,yes,no,yes,yes,no,3,4,5
GP,M,U,GT3,T,0,other,reputation,2,2,0,no,yes,no,yes,yes,yes,4,3,2
GP,M,U,LE3,T,4,other,reputation,1,2,0,no,yes,no,yes,yes,no,4,4,4
GP,F,U,GT3,T,3,services,home,1,2,0,no,no,no,yes,yes,yes,4,3,5
GP,F,U,LE3,T,3,other,reputation,2,2,0,no,yes,no,yes,yes,no,4,4,5
GP,M,U,LE3,T,3,other,course,2,2,0,no,no,no,yes,yes,no,4,4,4
GP,F,U,GT3,T,2,other,reputation,2,2,0,no,no,no,yes,yes,no,3,4,4
GP,M,U,GT3,T,3,other,reputation,1,2,0,no,no,no,yes,yes,no,4,3,4
GP,M,R,GT3,T,2,services,other,1,1,0,no,yes,no,yes,yes,yes,4,3,3
GP,M,U,GT3,T,3,other,course,1,2,0,no,yes,yes,yes,yes,yes,5,2,3
GP,M,U,GT3,T,3,other,home,1,2,0,no,yes,yes,yes,yes,no,3,4,3
GP,M,U,GT3,T,3,other,home,1,2,0,no,no,no,yes,yes,yes,4,2,3
GP,F,U,GT3,T,4,services,reputation,1,2,0,no,yes,no,yes,yes,no,5,4,2
GP,F,U,LE3,T,3,other,reputation,1,2,0,no,yes,no,yes,yes,yes,5,3,3
GP,F,U,GT3,T,2,other,reputation,1,2,0,no,yes,no,no,yes,no,1,2,2
GP,M,U,GT3,T,3,services,other,1,2,0,no,yes,no,yes,yes,yes,4,3,4
GP,M,U,GT3,T,2,services,other,1,1,0,no,yes,no,yes,yes,yes,3,3,3
GP,M,U,LE3,T,1,other,course,1,2,0,no,no,no,yes,yes,yes,4,2,3
GP,F,U,GT3,A,3,other,reputation,1,2,0,no,yes,no,no,yes,yes,3,3,3
GP,M,R,GT3,T,2,other,home,1,2,0,no,no,no,no,yes,no,3,1,3
GP,F,U,GT3,T,3,services,course,1,2,0,no,no,no,no,yes,no,4,3,3
GP,F,U,GT3,T,1,services,course,1,2,0,no,no,no,yes,yes,no,5,3,3
GP,M,U,GT3,T,2,services,other,2,2,0,no,no,no,yes,yes,no,4,4,4
GP,M,R,GT3,T,3,services,reputation,1,1,0,no,yes,no,yes,yes,no,4,3,2
GP,M,U,GT3,T,3,other,home,2,1,0,no,no,no,no,yes,no,5,3,3
GP,F,U,LE3,T,4,services,course,1,2,0,no,no,no,yes,yes,yes,4,3,2
GP,M,U,GT3,T,4,teacher,home,1,1,0,no,no,no,no,yes,no,5,2,3
GP,M,R,LE3,T,3,other,home,3,1,0,no,yes,no,yes,yes,no,3,3,4
GP,F,U,GT3,T,4,teacher,home,2,1,1,no,yes,no,no,yes,no,4,2,4
GP,F,U,LE3,T,4,teacher,reputation,1,2,0,no,yes,no,no,yes,no,4,5,2
GP,F,U,GT3,T,3,other,home,1,2,0,no,yes,no,yes,yes,no,4,3,5
GP,F,U,GT3,T,3,other,reputation,1,2,0,yes,yes,no,yes,yes,no,4,4,3
GP,F,U,GT3,T,1,other,course,1,2,0,no,yes,no,no,yes,no,4,4,4
GP,F,R,GT3,T,2,other,reputation,1,1,0,no,yes,no,no,yes,no,5,3,2
GP,F,R,GT3,T,2,services,reputation,2,4,0,no,yes,no,yes,yes,no,5,3,5
GP,F,U,GT3,T,4,services,home,1,3,1,no,yes,yes,no,yes,yes,4,4,3
GP,F,U,GT3,A,1,other,course,1,2,0,no,yes,no,no,yes,no,2,3,3
GP,F,U,GT3,T,3,other,other,1,2,0,no,no,no,yes,yes,yes,1,3,2
GP,F,U,GT3,T,1,other,home,2,1,0,no,yes,no,no,yes,no,4,3,2
GP,F,R,GT3,T,3,other,reputation,2,3,0,no,yes,no,yes,yes,yes,4,4,2
GP,F,U,GT3,T,3,other,reputation,1,4,0,no,yes,no,yes,yes,no,4,3,3
GP,M,U,LE3,T,4,other,home,1,2,0,no,yes,no,no,yes,yes,5,3,5
GP,F,U,GT3,A,2,other,reputation,1,2,0,yes,yes,no,no,yes,no,3,3,4
GP,M,U,GT3,T,2,other,home,1,2,0,no,yes,no,yes,yes,no,4,4,4
GP,F,R,LE3,T,4,other,other,1,1,0,no,yes,no,no,yes,no,5,2,1
GP,F,U,LE3,T,2,other,reputation,2,2,0,no,no,no,no,yes,no,4,4,4
GP,F,U,GT3,T,3,other,reputation,1,2,0,no,no,no,no,yes,yes,3,4,5
GP,M,U,LE3,T,3,health,home,1,2,0,no,yes,no,no,yes,no,3,2,4
GP,F,U,GT3,T,3,other,home,2,1,0,no,yes,no,no,yes,no,3,3,3
GP,F,U,GT3,T,2,at_home,course,1,3,0,no,yes,no,yes,yes,no,4,3,3
GP,F,R,GT3,T,1,services,reputation,2,2,0,no,yes,no,yes,yes,no,4,2,5
GP,F,U,GT3,T,1,other,reputation,1,3,0,no,yes,no,yes,yes,yes,4,3,4
GP,F,U,GT3,T,3,teacher,other,1,2,0,yes,no,no,no,yes,no,2,3,1
GP,M,U,GT3,T,2,other,home,2,2,3,no,yes,yes,no,yes,no,3,3,3
GP,F,U,GT3,T,4,services,home,1,3,0,no,yes,no,yes,yes,no,5,3,2
GP,F,R,GT3,T,1,other,reputation,1,2,0,no,no,no,yes,yes,yes,5,3,3
GP,F,U,GT3,T,2,other,course,1,2,0,no,no,no,yes,yes,no,5,3,4
GP,M,U,LE3,T,3,services,reputation,1,2,0,no,yes,no,no,yes,no,5,3,3
GP,M,U,LE3,T,1,other,course,4,2,0,yes,yes,no,yes,yes,yes,4,3,2
GP,F,U,GT3,A,1,other,course,2,3,0,no,no,no,yes,yes,yes,3,2,3
GP,F,U,LE3,T,3,other,reputation,1,2,0,no,no,no,yes,yes,yes,3,2,3
GP,M,R,GT3,T,2,other,course,2,2,0,no,yes,no,yes,yes,no,4,5,2
GP,M,U,GT3,T,4,teacher,reputation,1,2,0,yes,yes,no,yes,yes,yes,4,5,5
GP,M,U,GT3,T,4,other,reputation,1,2,0,no,yes,no,yes,yes,no,4,2,4
GP,M,U,LE3,T,1,other,home,2,2,0,no,yes,no,no,yes,no,3,4,2
GP,M,U,GT3,T,2,other,reputation,2,3,0,no,no,no,yes,yes,yes,5,3,3
GP,M,U,LE3,T,2,other,home,1,2,0,no,no,no,yes,yes,yes,4,4,2
GP,F,U,GT3,T,1,other,home,1,1,0,no,no,no,no,yes,yes,4,5,2
GP,F,U,GT3,A,1,other,home,1,2,0,no,no,no,yes,yes,yes,5,3,3
GP,F,U,LE3,A,4,other,course,2,2,1,no,yes,no,no,yes,no,4,3,3
GP,F,U,LE3,T,2,services,course,1,2,1,no,yes,no,no,yes,yes,5,3,1
GP,F,U,GT3,T,3,other,course,2,1,1,no,no,no,no,no,no,4,1,1
GP,M,U,GT3,T,2,at_home,course,1,1,1,no,yes,no,yes,no,yes,4,4,3
GP,M,U,GT3,T,4,teacher,course,1,1,0,no,yes,no,yes,yes,no,4,2,1
GP,F,U,GT3,T,2,other,course,1,2,0,no,no,no,yes,yes,no,5,4,2
GP,F,U,LE3,T,1,at_home,course,1,3,0,no,yes,no,yes,yes,yes,4,3,2
GP,F,U,GT3,T,2,other,course,1,1,0,no,no,no,no,no,no,5,3,5
GP,F,R,GT3,T,1,services,course,3,2,0,no,no,no,yes,yes,no,2,1,1
GP,F,R,LE3,A,4,other,course,4,1,1,no,yes,no,no,yes,no,5,5,4
GP,M,U,GT3,T,2,services,reputation,1,2,0,no,no,no,no,no,no,5,5,4
GP,F,U,LE3,A,2,other,home,1,1,1,no,yes,no,no,no,no,3,1,2
GP,F,R,LE3,T,1,other,course,2,3,0,no,no,no,yes,yes,no,4,3,3
GP,F,U,LE3,A,2,other,course,1,2,0,no,yes,no,yes,yes,no,4,3,2
GP,M,U,LE3,T,3,other,course,2,2,0,no,no,no,yes,yes,yes,2,5,5
GP,M,R,LE3,A,4,other,course,2,2,0,no,yes,no,no,yes,no,3,3,3
GP,M,U,LE3,T,3,other,course,1,1,0,no,no,no,yes,yes,no,5,4,5
GP,M,U,GT3,T,4,services,course,1,1,0,no,no,yes,yes,yes,no,5,3,2
GP,F,U,GT3,T,4,services,course,1,2,0,no,yes,yes,no,yes,yes,5,3,1
GP,M,R,GT3,T,1,other,home,2,3,0,no,no,no,no,yes,yes,4,3,3
GP,F,U,GT3,T,3,other,home,2,3,0,no,yes,no,no,yes,yes,4,2,2
GP,F,U,GT3,T,1,other,course,1,2,0,yes,no,no,no,yes,yes,4,3,2
GP,F,U,GT3,T,1,other,course,2,3,0,no,yes,no,no,yes,yes,4,4,4
GP,M,U,GT3,T,1,other,course,3,1,0,no,no,no,no,yes,no,4,3,3
GP,F,U,GT3,T,1,services,course,1,2,0,no,yes,no,no,yes,no,4,3,4
GP,M,U,GT3,T,3,other,course,2,1,0,no,no,no,no,yes,no,5,2,2
GP,M,U,GT3,T,1,services,other,1,1,3,no,no,no,no,no,yes,5,4,5
GP,M,R,LE3,T,3,services,course,1,2,0,no,yes,no,no,yes,yes,4,3,3
GP,M,U,GT3,T,2,other,other,1,1,0,no,no,no,no,yes,no,4,3,2
GP,M,U,GT3,T,2,other,course,2,1,0,no,no,no,no,no,no,4,4,5
GP,M,U,GT3,T,3,other,reputation,3,2,1,yes,yes,no,no,yes,no,5,3,3
GP,M,U,GT3,T,1,services,other,1,1,2,no,no,no,no,no,no,3,2,5
GP,M,R,GT3,T,1,other,course,2,1,0,no,no,no,yes,yes,no,3,3,2
GP,M,R,GT3,T,1,other,course,1,1,0,no,no,no,no,yes,no,4,4,2
GP,M,U,LE3,T,1,other,course,2,1,1,no,yes,no,yes,yes,no,4,4,4
GP,F,U,LE3,A,1,other,course,1,2,0,no,yes,no,no,yes,yes,4,3,4
GP,F,U,LE3,T,2,services,reputation,1,4,0,no,yes,no,yes,yes,no,4,2,3
GP,F,U,GT3,T,2,services,home,1,2,0,no,yes,no,no,yes,no,4,3,3
GP,M,U,LE3,T,1,other,course,3,2,1,no,no,no,yes,no,no,4,4,5
GP,F,R,GT3,T,2,other,course,1,3,0,no,yes,no,yes,yes,no,4,3,4
GP,F,U,LE3,T,1,at_home,home,1,3,0,no,yes,no,no,yes,no,4,4,3
GP,F,R,GT3,T,2,other,home,1,2,0,yes,no,no,no,yes,no,3,2,3
GP,M,U,LE3,A,3,at_home,reputation,1,2,0,no,yes,no,no,yes,no,4,3,1
