B,D,E,F,G,J,L,N,S,T,V,W,Y
F,U,GT3,A,4,teacher,mother,2,no,yes,no,no,3
F,U,GT3,T,1,other,father,2,no,no,yes,no,3
F,U,LE3,T,1,other,mother,2,no,yes,yes,no,3
F,U,GT3,T,4,services,mother,3,yes,yes,yes,yes,2
F,U,GT3,T,3,other,father,2,no,yes,no,no,3
M,U,LE3,T,4,other,mother,2,yes,yes,yes,no,4
M,U,LE3,T,2,other,mother,2,no,yes,yes,no,4
F,U,GT3,A,4,teacher,mother,2,no,yes,no,no,1
M,U,LE3,A,3,other,mother,2,no,yes,yes,no,2
M,U,GT3,T,3,other,mother,2,yes,yes,yes,no,5
F,U,GT3,T,4,health,mother,2,no,yes,yes,no,3
F,U,GT3,T,2,other,father,3,yes,yes,yes,no,2
M,U,LE3,T,4,services,father,1,yes,yes,yes,no,3
M,U,GT3,T,4,other,mother,2,no,yes,yes,no,4
M,U,GT3,A,2,other,other,3,no,yes,yes,yes,5
F,U,GT3,T,4,other,mother,1,no,yes,yes,no,4
F,U,GT3,T,4,services,mother,3,yes,yes,yes,no,2
F,U,GT3,T,3,other,mother,2,yes,yes,no,no,3
M,U,GT3,T,3,services,mother,1,yes,yes,yes,no,5
M,U,LE3,T,4,other,father,1,yes,yes,yes,no,1
M,U,GT3,T,4,other,mother,2,no,yes,yes,no,4
M,U,GT3,T,4,health,father,1,no,yes,yes,no,4
M,U,LE3,T,4,other,mother,2,yes,yes,yes,no,5
M,U,LE3,T,2,other,mother,2,yes,yes,yes,no,4
F,R,GT3,T,2,health,mother,3,yes,yes,yes,no,3
F,U,GT3,T,2,services,mother,1,no,no,yes,no,2
M,U,GT3,T,2,other,mother,1,no,yes,yes,no,2
M,U,GT3,T,4,services,mother,1,no,yes,yes,no,2
M,U,LE3,A,3,other,mother,2,yes,yes,yes,no,3
M,U,GT3,T,4,teacher,mother,2,yes,yes,yes,yes,4
M,U,GT3,T,4,services,mother,2,no,no,yes,no,4
M,U,GT3,T,4,services,mother,2,yes,yes,yes,no,3
M,R,GT3,T,4,at_home,mother,2,yes,yes,yes,yes,5
M,U,LE3,T,3,other,mother,2,yes,no,yes,no,3
M,U,GT3,T,3,other,mother,1,no,no,yes,no,4
F,U,GT3,T,2,other,father,1,yes,yes,no,no,5
M,U,LE3,T,4,services,mother,3,yes,yes,yes,no,4
M,R,GT3,A,4,teacher,mother,3,yes,yes,yes,yes,4
F,R,GT3,T,3,health,mother,3,yes,yes,yes,no,3
F,R,GT3,T,2,other,mother,1,yes,yes,no,no,3
F,U,LE3,T,2,other,mother,2,yes,no,yes,yes,3
M,U,LE3,T,4,other,other,1,no,no,yes,yes,4
