A,C,D,G,H,I,K,L,M,N,O,T,U,W,Y
GP,18,U,4,4,at_home,course,mother,2,2,0,yes,yes,no,3
GP,17,U,1,1,at_home,course,father,1,2,0,no,yes,no,3
GP,15,U,1,1,at_home,other,mother,1,2,0,yes,yes,no,3
GP,15,U,4,2,health,home,mother,1,3,0,yes,yes,yes,2
GP,16,U,3,3,other,home,father,1,2,0,yes,yes,no,3
GP,16,U,4,3,services,reputation,mother,1,2,0,yes,yes,no,4
GP,16,U,2,2,other,home,mother,1,2,0,yes,yes,no,4
GP,17,U,4,4,other,home,mother,2,2,0,yes,yes,no,1
GP,15,U,3,2,services,home,mother,1,2,0,yes,yes,no,2
GP,15,U,3,4,other,home,mother,1,2,0,yes,yes,no,5
GP,15,U,4,4,teacher,reputation,mother,1,2,0,yes,yes,no,3
GP,15,U,2,1,services,reputation,father,3,3,0,yes,yes,no,2
GP,15,U,4,4,health,course,father,1,1,0,yes,yes,no,3
GP,15,U,4,3,teacher,course,mother,2,2,0,yes,yes,no,4
GP,15,U,2,2,other,home,other,1,3,0,yes,yes,yes,5
GP,16,U,4,4,health,home,mother,1,1,0,yes,yes,no,4
GP,16,U,4,4,services,reputation,mother,1,3,0,yes,yes,no,2
GP,16,U,3,3,other,reputation,mother,3,2,0,yes,yes,no,3
GP,17,U,3,2,services,course,mother,1,1,3,yes,yes,no,5
GP,16,U,4,3,health,home,father,1,1,0,yes,yes,no,1
GP,15,U,4,3,teacher,reputation,mother,1,2,0,yes,yes,no,4
GP,15,U,4,4,health,other,father,1,1,0,yes,yes,no,4
GP,16,U,4,2,teacher,course,mother,1,2,0,yes,yes,no,5
GP,16,U,2,2,other,reputation,mother,2,2,0,yes,yes,no,4
GP,15,R,2,4,services,course,mother,1,3,0,yes,yes,no,3
GP,16,U,2,2,services,home,mother,1,1,0,no,yes,no,2
GP,15,U,2,2,other,home,mother,1,1,0,yes,yes,no,2
GP,15,U,4,2,health,other,mother,1,1,0,yes,yes,no,2
GP,16,U,3,4,services,home,mother,1,2,0,yes,yes,no,3
GP,16,U,4,4,teacher,home,mother,1,2,0,yes,yes,yes,4
GP,15,U,4,4,health,home,mother,1,2,0,no,yes,no,4
GP,15,U,4,4,services,reputation,mother,2,2,0,yes,yes,no,3
GP,15,R,4,3,teacher,course,mother,1,2,0,yes,yes,yes,5
