F,H,I,J,K,N
Never-married,Not-in-family,White,Male,2174,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,Black,Male,0,United-States
Married-civ-spouse,Wife,Black,Female,0,Cuba
Married-civ-spouse,Wife,White,Female,0,United-States
Married-spouse-absent,Not-in-family,Black,Female,0,Jamaica
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Female,14084,United-States
Married-civ-spouse,Husband,White,Male,5178,United-States
Married-civ-spouse,Husband,Black,Male,0,United-States
Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,India
Never-married,Own-child,White,Female,0,United-States
Never-married,Not-in-family,Black,Male,0,United-States
Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,noValueSetHere123156456
Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,0,Mexico
Never-married,Own-child,White,Male,0,United-States
Never-married,Unmarried,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Separated,Unmarried,Black,Female,0,United-States
Married-civ-spouse,Husband,Black,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,South
Divorced,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Own-child,Black,Male,0,United-States
Divorced,Own-child,White,Male,0,United-States
Married-civ-spouse,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,Black,Male,0,United-States
Never-married,Unmarried,White,Male,0,Puerto-Rico
Never-married,Own-child,White,Male,0,United-States
Married-AF-spouse,Wife,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,noValueSetHere123156456
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Separated,Unmarried,White,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,Black,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Wife,Other,Female,0,United-States
Never-married,Own-child,White,Female,0,noValueSetHere123156456
Married-civ-spouse,Wife,White,Female,0,Honduras
Divorced,Not-in-family,White,Male,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,Mexico
Married-civ-spouse,Husband,White,Male,0,Puerto-Rico
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,5013,United-States
Married-civ-spouse,Husband,White,Male,2407,United-States
Married-spouse-absent,Not-in-family,White,Male,0,noValueSetHere123156456
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Separated,Own-child,Black,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Other-relative,White,Male,0,United-States
Never-married,Own-child,White,Male,0,Mexico
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,Cuba
Married-civ-spouse,Wife,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Female,14344,United-States
Divorced,Own-child,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Divorced,Unmarried,Black,Female,0,United-States
Married-civ-spouse,Wife,Asian-Pac-Islander,Female,0,noValueSetHere123156456
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Unmarried,White,Female,0,England
Never-married,Own-child,Black,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,15024,United-States
Never-married,Not-in-family,White,Female,0,United-States
Never-married,Own-child,White,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,7688,United-States
Never-married,Own-child,White,Female,34095,United-States
Never-married,Own-child,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Other-relative,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,Canada
Married-civ-spouse,Wife,White,Female,4064,United-States
Never-married,Own-child,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,Black,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,Black,Male,0,Germany
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,Black,Male,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Never-married,Own-child,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
