B,F,G,H,J,K,L,O
State-gov,Never-married,Adm-clerical,Not-in-family,Male,2174,0,<=50K
Self-emp-not-inc,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,<=50K
Private,Divorced,Handlers-cleaners,Not-in-family,Male,0,0,<=50K
Private,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Prof-specialty,Wife,Female,0,0,<=50K
Private,Married-civ-spouse,Exec-managerial,Wife,Female,0,0,<=50K
Private,Married-spouse-absent,Other-service,Not-in-family,Female,0,0,<=50K
Self-emp-not-inc,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,>50K
Private,Never-married,Prof-specialty,Not-in-family,Female,14084,0,>50K
Private,Married-civ-spouse,Exec-managerial,Husband,Male,5178,0,>50K
Private,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,>50K
State-gov,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,>50K
Private,Never-married,Adm-clerical,Own-child,Female,0,0,<=50K
Private,Never-married,Sales,Not-in-family,Male,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,>50K
Private,Married-civ-spouse,Transport-moving,Husband,Male,0,0,<=50K
Self-emp-not-inc,Never-married,Farming-fishing,Own-child,Male,0,0,<=50K
Private,Never-married,Machine-op-inspct,Unmarried,Male,0,0,<=50K
Private,Married-civ-spouse,Sales,Husband,Male,0,0,<=50K
Self-emp-not-inc,Divorced,Exec-managerial,Unmarried,Female,0,0,>50K
Private,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,>50K
Private,Separated,Other-service,Unmarried,Female,0,0,<=50K
Federal-gov,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Transport-moving,Husband,Male,0,2042,<=50K
Private,Divorced,Tech-support,Unmarried,Female,0,0,<=50K
Local-gov,Married-civ-spouse,Tech-support,Husband,Male,0,0,>50K
Private,Never-married,Craft-repair,Own-child,Male,0,0,<=50K
noValueSetHere123156456,Married-civ-spouse,noValueSetHere123156456,Husband,Male,0,0,>50K
Private,Divorced,Exec-managerial,Not-in-family,Male,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
