B,G,O
State-gov,Adm-clerical,<=50K
Self-emp-not-inc,Exec-managerial,<=50K
Private,Handlers-cleaners,<=50K
Private,Handlers-cleaners,<=50K
Private,Prof-specialty,<=50K
Private,Exec-managerial,<=50K
Private,Other-service,<=50K
Self-emp-not-inc,Exec-managerial,>50K
Private,Prof-specialty,>50K
Private,Exec-managerial,>50K
Private,Exec-managerial,>50K
State-gov,Prof-specialty,>50K
Private,Adm-clerical,<=50K
Private,Sales,<=50K
Private,Craft-repair,>50K
Private,Transport-moving,<=50K
Self-emp-not-inc,Farming-fishing,<=50K
Private,Machine-op-inspct,<=50K
Private,Sales,<=50K
Self-emp-not-inc,Exec-managerial,>50K
Private,Prof-specialty,>50K
Private,Other-service,<=50K
Federal-gov,Farming-fishing,<=50K
Private,Transport-moving,<=50K
Private,Tech-support,<=50K
Local-gov,Tech-support,>50K
Private,Craft-repair,<=50K
noValueSetHere123156456,noValueSetHere123156456,>50K
Private,Exec-managerial,<=50K
Private,Craft-repair,<=50K
Local-gov,Protective-serv,<=50K
Private,Sales,<=50K
Private,Exec-managerial,<=50K
Federal-gov,Adm-clerical,<=50K
State-gov,Other-service,<=50K
Private,Machine-op-inspct,<=50K
Private,Machine-op-inspct,<=50K
Private,Adm-clerical,<=50K
Private,Sales,>50K
Self-emp-not-inc,Prof-specialty,<=50K
Private,Machine-op-inspct,<=50K
Self-emp-not-inc,Prof-specialty,<=50K
Private,Tech-support,<=50K
Private,Adm-clerical,<=50K
Private,Handlers-cleaners,<=50K
Federal-gov,Prof-specialty,>50K
Private,Machine-op-inspct,<=50K
Private,Exec-managerial,<=50K
State-gov,Craft-repair,<=50K
Private,Prof-specialty,<=50K
Private,Exec-managerial,<=50K
Private,Other-service,<=50K
Private,Prof-specialty,>50K
Federal-gov,Exec-managerial,>50K
Self-emp-inc,Exec-managerial,<=50K
Private,Tech-support,>50K
Private,Machine-op-inspct,<=50K
Private,Other-service,<=50K
Private,Adm-clerical,<=50K
Private,Machine-op-inspct,<=50K
Private,Sales,<=50K
noValueSetHere123156456,noValueSetHere123156456,<=50K
Private,Transport-moving,<=50K
Private,Prof-specialty,>50K
Private,Tech-support,<=50K
Private,Craft-repair,<=50K
Private,Adm-clerical,<=50K
Private,Adm-clerical,>50K
Self-emp-inc,Exec-managerial,>50K
noValueSetHere123156456,noValueSetHere123156456,<=50K
Private,Prof-specialty,<=50K
Private,Sales,<=50K
Self-emp-not-inc,Sales,>50K
Private,Machine-op-inspct,<=50K
Private,Prof-specialty,<=50K
Private,Other-service,<=50K
Private,Adm-clerical,<=50K
noValueSetHere123156456,noValueSetHere123156456,<=50K
Private,Other-service,<=50K
Local-gov,Farming-fishing,<=50K
Private,Sales,<=50K
Private,Other-service,<=50K
Private,Other-service,<=50K
Private,Sales,<=50K
Private,Craft-repair,>50K
Private,Sales,<=50K
Local-gov,Protective-serv,>50K
Private,Prof-specialty,<=50K
Private,Sales,<=50K
Federal-gov,Prof-specialty,>50K
Private,Prof-specialty,<=50K
Private,Craft-repair,<=50K
Private,Machine-op-inspct,<=50K
Private,Sales,<=50K
Local-gov,Protective-serv,>50K
Local-gov,Handlers-cleaners,<=50K
Self-emp-not-inc,Prof-specialty,>50K
Private,Sales,>50K
Private,Exec-managerial,<=50K
Federal-gov,Other-service,<=50K
Private,Exec-managerial,>50K
Private,Exec-managerial,>50K
Self-emp-not-inc,Prof-specialty,<=50K
Private,Tech-support,<=50K
Private,Craft-repair,<=50K
Self-emp-inc,Craft-repair,>50K
noValueSetHere123156456,noValueSetHere123156456,<=50K
Private,Handlers-cleaners,<=50K
Local-gov,Adm-clerical,<=50K
Private,Handlers-cleaners,<=50K
