I,N
White,United-States
White,United-States
White,United-States
Black,United-States
Black,Cuba
White,United-States
Black,Jamaica
White,United-States
White,United-States
White,United-States
Black,United-States
Asian-Pac-Islander,India
White,United-States
Black,United-States
Asian-Pac-Islander,noValueSetHere123156456
Amer-Indian-Eskimo,Mexico
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Asian-Pac-Islander,South
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
Black,United-States
White,Puerto-Rico
White,United-States
White,United-States
White,noValueSetHere123156456
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Other,United-States
White,noValueSetHere123156456
White,Honduras
White,United-States
White,United-States
White,United-States
White,Mexico
White,Puerto-Rico
White,United-States
White,United-States
White,United-States
White,noValueSetHere123156456
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,Mexico
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Cuba
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
Asian-Pac-Islander,noValueSetHere123156456
White,United-States
White,United-States
White,United-States
White,United-States
White,England
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Canada
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,Germany
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,Iran
White,United-States
White,United-States
White,United-States
Asian-Pac-Islander,United-States
White,United-States
White,United-States
White,Mexico
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Mexico
White,United-States
Asian-Pac-Islander,Philippines
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
Asian-Pac-Islander,United-States
Asian-Pac-Islander,England
White,United-States
White,Mexico
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
Black,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
Black,United-States
White,Mexico
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,Mexico
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Italy
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
Amer-Indian-Eskimo,United-States
Asian-Pac-Islander,United-States
White,United-States
Black,United-States
White,United-States
White,Poland
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
Black,United-States
White,United-States
White,United-States
Amer-Indian-Eskimo,United-States
White,United-States
White,Columbia
White,United-States
Black,United-States
Black,United-States
White,United-States
Other,United-States
White,United-States
White,United-States
White,United-States
White,Iran
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,noValueSetHere123156456
White,United-States
White,United-States
White,United-States
White,noValueSetHere123156456
White,United-States
Black,United-States
Black,United-States
White,United-States
White,United-States
Asian-Pac-Islander,Cambodia
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Asian-Pac-Islander,Thailand
White,Canada
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Germany
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Ecuador
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
Asian-Pac-Islander,noValueSetHere123156456
White,United-States
White,United-States
White,United-States
Asian-Pac-Islander,United-States
White,United-States
White,United-States
Asian-Pac-Islander,Laos
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Asian-Pac-Islander,Taiwan
Black,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,Mexico
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Mexico
White,United-States
White,United-States
Black,Haiti
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,Iran
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Other,United-States
White,United-States
White,United-States
White,Portugal
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,noValueSetHere123156456
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Other,Puerto-Rico
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Mexico
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Dominican-Republic
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Asian-Pac-Islander,Philippines
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Mexico
White,United-States
Black,United-States
Amer-Indian-Eskimo,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
Black,noValueSetHere123156456
White,United-States
Asian-Pac-Islander,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Portugal
White,United-States
White,United-States
White,United-States
Black,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,El-Salvador
White,United-States
White,United-States
White,Poland
White,United-States
White,United-States
White,France
White,United-States
Black,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Amer-Indian-Eskimo,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Other,Puerto-Rico
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
Black,United-States
White,United-States
White,United-States
White,noValueSetHere123156456
White,United-States
White,Mexico
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
Amer-Indian-Eskimo,United-States
White,United-States
White,Mexico
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Asian-Pac-Islander,United-States
White,United-States
White,Canada
White,United-States
White,United-States
Amer-Indian-Eskimo,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
Amer-Indian-Eskimo,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
Black,United-States
White,United-States
White,El-Salvador
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
Black,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Cuba
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Asian-Pac-Islander,Taiwan
White,United-States
White,United-States
Asian-Pac-Islander,Philippines
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
Asian-Pac-Islander,South
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Mexico
White,United-States
White,United-States
White,United-States
White,Portugal
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Dominican-Republic
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Poland
White,United-States
White,United-States
White,Cuba
White,United-States
White,United-States
White,United-States
White,United-States
Black,Jamaica
Black,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,noValueSetHere123156456
White,United-States
White,Honduras
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,noValueSetHere123156456
White,United-States
White,United-States
White,Mexico
White,noValueSetHere123156456
White,United-States
Asian-Pac-Islander,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
Black,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
Black,Haiti
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,Portugal
White,United-States
White,United-States
White,United-States
White,United-States
White,Germany
White,United-States
White,United-States
White,United-States
White,Guatemala
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,noValueSetHere123156456
White,United-States
White,United-States
White,noValueSetHere123156456
White,United-States
White,United-States
White,United-States
Other,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
Black,United-States
White,United-States
White,England
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,Italy
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Mexico
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Asian-Pac-Islander,China
Black,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Philippines
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,noValueSetHere123156456
Black,United-States
White,United-States
Black,United-States
White,United-States
Asian-Pac-Islander,India
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Amer-Indian-Eskimo,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
Asian-Pac-Islander,South
Asian-Pac-Islander,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Mexico
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Guatemala
White,United-States
White,United-States
White,United-States
White,Mexico
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Amer-Indian-Eskimo,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,noValueSetHere123156456
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Mexico
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Asian-Pac-Islander,India
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,Germany
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Japan
White,United-States
White,United-States
White,United-States
Black,United-States
White,Yugoslavia
Black,noValueSetHere123156456
White,United-States
White,United-States
Asian-Pac-Islander,India
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,noValueSetHere123156456
White,United-States
Black,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Canada
White,United-States
White,United-States
White,Iran
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Mexico
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
Asian-Pac-Islander,Taiwan
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Asian-Pac-Islander,China
White,United-States
White,United-States
Asian-Pac-Islander,India
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Mexico
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Mexico
White,United-States
White,United-States
White,United-States
White,United-States
White,noValueSetHere123156456
White,United-States
White,United-States
White,United-States
Asian-Pac-Islander,Japan
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,Mexico
White,United-States
White,United-States
White,Jamaica
White,United-States
Black,United-States
White,United-States
White,Mexico
White,United-States
White,United-States
White,Germany
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,noValueSetHere123156456
White,United-States
White,United-States
White,Mexico
White,United-States
White,United-States
Asian-Pac-Islander,noValueSetHere123156456
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Asian-Pac-Islander,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,Dominican-Republic
White,noValueSetHere123156456
Black,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Amer-Indian-Eskimo,United-States
Asian-Pac-Islander,China
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,noValueSetHere123156456
White,United-States
White,United-States
White,United-States
White,England
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,Cuba
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,noValueSetHere123156456
White,United-States
White,United-States
Asian-Pac-Islander,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Asian-Pac-Islander,Philippines
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,El-Salvador
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
Black,United-States
Black,Japan
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Mexico
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Canada
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,noValueSetHere123156456
Asian-Pac-Islander,India
Black,United-States
Black,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Other,United-States
White,United-States
White,Germany
White,United-States
Asian-Pac-Islander,noValueSetHere123156456
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Italy
White,United-States
White,United-States
Black,United-States
Black,United-States
Asian-Pac-Islander,Japan
White,United-States
Black,United-States
White,United-States
White,Poland
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,Canada
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,Iran
White,United-States
White,United-States
White,United-States
Black,noValueSetHere123156456
White,United-States
Black,United-States
Black,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Asian-Pac-Islander,Thailand
White,United-States
White,United-States
White,United-States
Asian-Pac-Islander,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
Black,United-States
Amer-Indian-Eskimo,Germany
White,United-States
Black,United-States
White,United-States
White,United-States
White,Peru
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,Mexico
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
Black,United-States
Black,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
Amer-Indian-Eskimo,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Asian-Pac-Islander,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Asian-Pac-Islander,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,Mexico
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Amer-Indian-Eskimo,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
Black,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,England
Asian-Pac-Islander,China
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,noValueSetHere123156456
Black,United-States
White,United-States
White,noValueSetHere123156456
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
Black,Outlying-US(Guam-USVI-etc)
White,United-States
Black,United-States
White,United-States
White,United-States
Black,Jamaica
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Asian-Pac-Islander,noValueSetHere123156456
White,United-States
White,United-States
White,United-States
White,United-States
White,Scotland
