VENTMACH,PULMEMBOLUS,EXPCO2,PAP
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,LOW
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,LOW
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
HIGH,False,HIGH,NORMAL
NORMAL,False,LOW,LOW
NORMAL,False,LOW,HIGH
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,LOW
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,HIGH
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,NORMAL,HIGH
NORMAL,False,LOW,LOW
NORMAL,False,LOW,LOW
LOW,False,LOW,NORMAL
NORMAL,False,LOW,HIGH
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
LOW,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,ZERO,NORMAL
HIGH,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,HIGH
ZERO,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,HIGH
NORMAL,False,LOW,NORMAL
HIGH,False,HIGH,NORMAL
ZERO,False,ZERO,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,LOW,NORMAL
HIGH,False,NORMAL,NORMAL
HIGH,False,LOW,LOW
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
HIGH,False,LOW,NORMAL
HIGH,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,HIGH
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,ZERO,NORMAL
NORMAL,False,NORMAL,NORMAL
LOW,False,LOW,NORMAL
HIGH,False,LOW,NORMAL
LOW,False,ZERO,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
LOW,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,ZERO,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
ZERO,False,ZERO,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,LOW
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,ZERO,NORMAL
ZERO,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,LOW
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,LOW
NORMAL,False,LOW,NORMAL
LOW,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
HIGH,True,LOW,HIGH
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
ZERO,False,LOW,LOW
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
LOW,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
LOW,False,LOW,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,LOW
NORMAL,False,LOW,NORMAL
HIGH,False,LOW,NORMAL
ZERO,False,LOW,NORMAL
ZERO,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
ZERO,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,False,LOW,NORMAL
