ANAPHYLAXIS,EXPCO2,TPR
False,LOW,HIGH
False,LOW,LOW
False,LOW,LOW
False,LOW,NORMAL
False,LOW,NORMAL
False,LOW,NORMAL
False,LOW,NORMAL
False,LOW,LOW
False,LOW,HIGH
False,LOW,HIGH
False,LOW,HIGH
False,LOW,NORMAL
False,NORMAL,NORMAL
False,LOW,NORMAL
False,LOW,HIGH
False,LOW,HIGH
False,LOW,HIGH
False,LOW,LOW
False,LOW,LOW
False,LOW,HIGH
False,HIGH,HIGH
False,LOW,NORMAL
True,LOW,LOW
False,LOW,NORMAL
False,LOW,LOW
False,LOW,NORMAL
False,LOW,NORMAL
False,LOW,HIGH
False,LOW,LOW
False,LOW,LOW
False,LOW,NORMAL
False,NORMAL,HIGH
False,LOW,HIGH
False,LOW,NORMAL
False,LOW,NORMAL
False,LOW,NORMAL
False,LOW,LOW
False,LOW,NORMAL
False,LOW,HIGH
False,LOW,HIGH
False,LOW,NORMAL
False,LOW,HIGH
False,LOW,LOW
False,LOW,NORMAL
False,LOW,LOW
False,ZERO,HIGH
False,LOW,NORMAL
False,LOW,NORMAL
False,NORMAL,HIGH
False,LOW,LOW
False,LOW,LOW
False,LOW,HIGH
False,LOW,HIGH
False,LOW,NORMAL
False,LOW,HIGH
False,LOW,LOW
False,LOW,HIGH
False,HIGH,NORMAL
False,ZERO,HIGH
False,NORMAL,LOW
False,LOW,NORMAL
False,NORMAL,NORMAL
False,LOW,NORMAL
False,LOW,LOW
False,LOW,HIGH
False,LOW,LOW
False,NORMAL,LOW
False,LOW,HIGH
False,LOW,LOW
False,NORMAL,NORMAL
False,LOW,LOW
False,LOW,NORMAL
False,LOW,NORMAL
False,LOW,NORMAL
False,LOW,HIGH
False,LOW,LOW
False,LOW,HIGH
False,LOW,NORMAL
False,LOW,LOW
False,LOW,HIGH
False,LOW,LOW
False,LOW,NORMAL
False,LOW,LOW
False,LOW,NORMAL
False,LOW,LOW
False,LOW,HIGH
False,LOW,NORMAL
False,LOW,LOW
False,LOW,HIGH
False,LOW,NORMAL
False,LOW,NORMAL
False,LOW,HIGH
False,LOW,LOW
False,LOW,NORMAL
False,ZERO,NORMAL
False,NORMAL,LOW
False,LOW,HIGH
False,LOW,HIGH
False,ZERO,LOW
False,NORMAL,HIGH
False,LOW,NORMAL
False,LOW,NORMAL
False,LOW,NORMAL
False,LOW,NORMAL
False,LOW,LOW
False,LOW,HIGH
False,ZERO,NORMAL
False,LOW,NORMAL
False,LOW,LOW
False,ZERO,LOW
False,LOW,HIGH
False,LOW,NORMAL
False,LOW,HIGH
False,LOW,HIGH
False,LOW,HIGH
False,NORMAL,NORMAL
False,LOW,HIGH
False,LOW,HIGH
False,LOW,HIGH
False,LOW,NORMAL
False,LOW,HIGH
False,LOW,HIGH
False,LOW,NORMAL
False,LOW,NORMAL
False,LOW,NORMAL
False,NORMAL,HIGH
False,ZERO,NORMAL
False,LOW,NORMAL
False,LOW,NORMAL
False,LOW,HIGH
False,LOW,NORMAL
False,LOW,NORMAL
False,LOW,LOW
False,LOW,NORMAL
False,LOW,LOW
False,LOW,HIGH
False,LOW,NORMAL
False,LOW,LOW
False,LOW,NORMAL
False,LOW,HIGH
False,LOW,NORMAL
False,LOW,NORMAL
False,LOW,LOW
False,LOW,NORMAL
False,LOW,NORMAL
False,LOW,LOW
False,LOW,NORMAL
False,LOW,NORMAL
False,LOW,HIGH
False,LOW,LOW
False,LOW,HIGH
False,LOW,NORMAL
False,LOW,NORMAL
False,LOW,NORMAL
False,HIGH,HIGH
False,LOW,NORMAL
False,LOW,HIGH
False,LOW,NORMAL
False,LOW,HIGH
False,LOW,NORMAL
False,LOW,HIGH
False,LOW,LOW
False,LOW,NORMAL
False,LOW,NORMAL
False,LOW,NORMAL
False,LOW,NORMAL
False,LOW,LOW
False,LOW,LOW
False,LOW,NORMAL
False,LOW,NORMAL
False,LOW,HIGH
False,LOW,LOW
False,LOW,HIGH
False,LOW,HIGH
False,LOW,HIGH
False,LOW,LOW
False,LOW,NORMAL
False,LOW,HIGH
False,LOW,LOW
False,NORMAL,NORMAL
False,LOW,LOW
False,LOW,HIGH
False,LOW,HIGH
False,LOW,NORMAL
False,LOW,HIGH
False,LOW,LOW
False,LOW,NORMAL
False,LOW,HIGH
False,ZERO,NORMAL
False,LOW,HIGH
False,LOW,NORMAL
False,LOW,LOW
False,LOW,NORMAL
False,LOW,NORMAL
False,LOW,NORMAL
False,LOW,NORMAL
False,ZERO,NORMAL
False,LOW,NORMAL
False,LOW,HIGH
False,LOW,LOW
False,LOW,NORMAL
False,LOW,HIGH
False,NORMAL,LOW
False,LOW,LOW
False,LOW,NORMAL
False,LOW,NORMAL
False,LOW,NORMAL
False,LOW,NORMAL
False,LOW,LOW
False,LOW,HIGH
False,LOW,NORMAL
False,LOW,NORMAL
False,LOW,HIGH
False,LOW,LOW
False,LOW,NORMAL
False,LOW,LOW
False,LOW,NORMAL
False,ZERO,HIGH
False,LOW,HIGH
False,LOW,NORMAL
False,LOW,NORMAL
False,LOW,LOW
False,LOW,NORMAL
False,LOW,NORMAL
False,LOW,LOW
False,LOW,NORMAL
False,LOW,NORMAL
False,LOW,NORMAL
False,LOW,LOW
False,LOW,LOW
False,LOW,NORMAL
False,LOW,NORMAL
False,LOW,HIGH
False,LOW,HIGH
False,LOW,LOW
False,LOW,NORMAL
False,LOW,HIGH
False,LOW,HIGH
False,LOW,HIGH
False,LOW,LOW
False,LOW,NORMAL
False,LOW,LOW
False,LOW,LOW
False,LOW,LOW
False,LOW,NORMAL
False,LOW,LOW
False,LOW,NORMAL
False,LOW,HIGH
False,LOW,HIGH
False,LOW,LOW
False,LOW,NORMAL
False,LOW,NORMAL
False,LOW,HIGH
False,LOW,HIGH
False,LOW,NORMAL
False,HIGH,HIGH
False,LOW,NORMAL
False,LOW,NORMAL
False,LOW,LOW
False,LOW,NORMAL
False,LOW,LOW
False,LOW,HIGH
False,LOW,LOW
False,LOW,HIGH
False,LOW,NORMAL
False,LOW,HIGH
False,LOW,NORMAL
False,LOW,LOW
False,LOW,LOW
False,LOW,HIGH
False,NORMAL,HIGH
False,LOW,HIGH
False,LOW,HIGH
False,LOW,HIGH
False,LOW,HIGH
False,NORMAL,NORMAL
False,LOW,NORMAL
False,LOW,NORMAL
False,LOW,NORMAL
False,LOW,NORMAL
False,LOW,NORMAL
False,LOW,HIGH
False,LOW,LOW
False,LOW,NORMAL
False,LOW,HIGH
False,LOW,NORMAL
False,LOW,NORMAL
False,LOW,HIGH
False,LOW,NORMAL
False,LOW,HIGH
False,LOW,HIGH
False,LOW,LOW
False,LOW,NORMAL
False,LOW,LOW
False,LOW,NORMAL
False,NORMAL,HIGH
False,LOW,LOW
False,ZERO,HIGH
False,LOW,LOW
False,LOW,NORMAL
False,LOW,NORMAL
False,LOW,HIGH
False,LOW,NORMAL
False,LOW,NORMAL
False,LOW,HIGH
False,LOW,NORMAL
False,ZERO,NORMAL
False,LOW,HIGH
False,LOW,NORMAL
False,LOW,LOW
False,LOW,LOW
False,LOW,LOW
False,LOW,HIGH
False,ZERO,NORMAL
False,LOW,NORMAL
False,LOW,NORMAL
False,LOW,NORMAL
False,LOW,NORMAL
False,LOW,LOW
False,NORMAL,HIGH
False,LOW,NORMAL
False,LOW,LOW
False,LOW,HIGH
False,LOW,LOW
False,LOW,NORMAL
False,LOW,LOW
False,LOW,HIGH
False,LOW,HIGH
False,HIGH,LOW
False,ZERO,HIGH
False,LOW,NORMAL
False,LOW,NORMAL
False,LOW,HIGH
False,LOW,HIGH
False,LOW,HIGH
False,LOW,NORMAL
False,LOW,HIGH
False,LOW,NORMAL
False,LOW,LOW
False,LOW,LOW
False,LOW,LOW
False,LOW,NORMAL
False,LOW,LOW
False,LOW,LOW
False,LOW,HIGH
False,LOW,NORMAL
False,LOW,HIGH
False,ZERO,NORMAL
False,LOW,HIGH
False,LOW,NORMAL
False,HIGH,LOW
False,LOW,LOW
False,LOW,LOW
False,LOW,LOW
False,NORMAL,NORMAL
False,LOW,NORMAL
False,LOW,LOW
False,LOW,LOW
False,LOW,HIGH
False,LOW,NORMAL
False,LOW,NORMAL
False,LOW,LOW
False,LOW,LOW
False,NORMAL,NORMAL
False,LOW,HIGH
False,LOW,LOW
False,LOW,NORMAL
False,LOW,LOW
False,LOW,NORMAL
False,LOW,NORMAL
False,LOW,LOW
False,LOW,LOW
False,NORMAL,HIGH
False,LOW,NORMAL
False,LOW,LOW
False,LOW,LOW
False,LOW,NORMAL
False,LOW,NORMAL
False,LOW,LOW
False,LOW,NORMAL
False,LOW,LOW
