HRBP,LVFAILURE,LVEDVOLUME,PAP,CO,PCWP,TPR
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,HIGH
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,LOW
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,LOW
HIGH,False,HIGH,NORMAL,LOW,NORMAL,NORMAL
HIGH,True,LOW,NORMAL,LOW,LOW,NORMAL
LOW,False,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
HIGH,False,NORMAL,LOW,HIGH,NORMAL,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,LOW
HIGH,True,LOW,NORMAL,LOW,LOW,HIGH
LOW,True,LOW,LOW,LOW,LOW,HIGH
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,HIGH
HIGH,False,HIGH,NORMAL,HIGH,HIGH,NORMAL
HIGH,False,HIGH,NORMAL,LOW,LOW,NORMAL
HIGH,True,LOW,NORMAL,NORMAL,LOW,NORMAL
LOW,False,NORMAL,NORMAL,NORMAL,NORMAL,HIGH
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,HIGH
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,HIGH
LOW,False,NORMAL,NORMAL,LOW,NORMAL,LOW
HIGH,True,LOW,NORMAL,LOW,LOW,LOW
HIGH,False,HIGH,NORMAL,LOW,HIGH,HIGH
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,HIGH
HIGH,False,NORMAL,LOW,HIGH,NORMAL,NORMAL
LOW,False,NORMAL,HIGH,NORMAL,NORMAL,LOW
HIGH,False,HIGH,NORMAL,HIGH,HIGH,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,LOW
HIGH,False,HIGH,NORMAL,NORMAL,HIGH,NORMAL
HIGH,False,NORMAL,LOW,HIGH,NORMAL,NORMAL
LOW,False,NORMAL,NORMAL,NORMAL,NORMAL,HIGH
HIGH,False,NORMAL,HIGH,HIGH,NORMAL,LOW
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,LOW
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
HIGH,False,NORMAL,HIGH,HIGH,NORMAL,HIGH
LOW,False,HIGH,LOW,NORMAL,HIGH,HIGH
HIGH,False,NORMAL,LOW,HIGH,NORMAL,NORMAL
LOW,False,HIGH,NORMAL,NORMAL,HIGH,NORMAL
HIGH,False,NORMAL,HIGH,HIGH,NORMAL,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,LOW
LOW,False,NORMAL,NORMAL,LOW,NORMAL,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,HIGH
HIGH,False,HIGH,NORMAL,HIGH,HIGH,HIGH
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,HIGH
LOW,False,NORMAL,NORMAL,HIGH,NORMAL,LOW
HIGH,False,HIGH,NORMAL,HIGH,HIGH,NORMAL
HIGH,False,HIGH,NORMAL,HIGH,HIGH,LOW
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,HIGH
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL,HIGH,HIGH,NORMAL
LOW,False,NORMAL,NORMAL,LOW,NORMAL,HIGH
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,LOW
HIGH,False,NORMAL,HIGH,HIGH,NORMAL,LOW
LOW,False,HIGH,NORMAL,LOW,HIGH,HIGH
HIGH,False,LOW,NORMAL,HIGH,LOW,HIGH
HIGH,False,NORMAL,NORMAL,HIGH,LOW,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,HIGH
