VENTMACH,VENTTUBE,ANAPHYLAXIS,LVFAILURE,INTUBATION,EXPCO2,PVSAT,PAP,MINVOL,HRSAT,HREKG,KINKEDTUBE,VENTALV,SHUNT
NORMAL,LOW,False,False,NORMAL,LOW,LOW,NORMAL,ZERO,NORMAL,NORMAL,False,ZERO,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,HIGH,NORMAL,HIGH,HIGH,HIGH,False,HIGH,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,True,ZERO,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,LOW,NORMAL,ZERO,NORMAL,NORMAL,False,ZERO,NORMAL
NORMAL,LOW,False,True,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,LOW,NORMAL,ZERO,LOW,LOW,False,ZERO,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO,NORMAL
NORMAL,LOW,False,True,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO,NORMAL
NORMAL,LOW,False,True,NORMAL,LOW,HIGH,LOW,HIGH,LOW,LOW,False,HIGH,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO,NORMAL
NORMAL,LOW,False,False,ONESIDED,NORMAL,LOW,NORMAL,LOW,HIGH,HIGH,False,LOW,HIGH
NORMAL,LOW,False,True,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,HIGH,NORMAL,HIGH,LOW,LOW,False,HIGH,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,LOW,NORMAL,ZERO,LOW,LOW,False,ZERO,HIGH
NORMAL,LOW,False,True,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,HIGH,False,False,ONESIDED,HIGH,LOW,NORMAL,HIGH,HIGH,HIGH,False,LOW,HIGH
NORMAL,LOW,False,False,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL
NORMAL,ZERO,True,False,ONESIDED,LOW,LOW,HIGH,NORMAL,LOW,LOW,False,NORMAL,HIGH
NORMAL,LOW,False,False,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO,NORMAL
NORMAL,ZERO,False,False,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,LOW,LOW,ZERO,NORMAL,NORMAL,False,ZERO,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,LOW,NORMAL,ZERO,LOW,LOW,False,ZERO,HIGH
NORMAL,LOW,False,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,LOW,NORMAL,ZERO,NORMAL,NORMAL,False,ZERO,NORMAL
NORMAL,LOW,False,False,ESOPHAGEAL,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
NORMAL,ZERO,False,False,NORMAL,LOW,NORMAL,LOW,HIGH,LOW,LOW,False,HIGH,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,LOW,LOW,ZERO,NORMAL,NORMAL,False,ZERO,NORMAL
LOW,ZERO,False,False,NORMAL,LOW,HIGH,NORMAL,HIGH,LOW,LOW,False,HIGH,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,HIGH
NORMAL,LOW,False,False,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,LOW,NORMAL,ZERO,NORMAL,HIGH,False,ZERO,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,LOW,NORMAL,ZERO,NORMAL,NORMAL,False,ZERO,NORMAL
LOW,NORMAL,False,False,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,True,ZERO,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,True,ZERO,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,LOW,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,LOW,NORMAL,ZERO,NORMAL,NORMAL,False,ZERO,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO,NORMAL
NORMAL,LOW,False,False,NORMAL,ZERO,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,HIGH,False,False,NORMAL,LOW,HIGH,NORMAL,HIGH,HIGH,HIGH,False,HIGH,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL,LOW,NORMAL,LOW,LOW,LOW,False,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
ZERO,ZERO,False,False,NORMAL,LOW,HIGH,NORMAL,HIGH,HIGH,HIGH,False,HIGH,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO,NORMAL
NORMAL,ZERO,False,False,NORMAL,LOW,HIGH,NORMAL,HIGH,HIGH,HIGH,False,HIGH,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,LOW,NORMAL,ZERO,LOW,HIGH,False,ZERO,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,True,ZERO,NORMAL
HIGH,NORMAL,False,False,NORMAL,HIGH,LOW,NORMAL,LOW,HIGH,HIGH,False,LOW,HIGH
ZERO,ZERO,False,True,NORMAL,ZERO,HIGH,NORMAL,HIGH,LOW,HIGH,False,HIGH,NORMAL
NORMAL,LOW,False,False,ESOPHAGEAL,NORMAL,HIGH,NORMAL,LOW,HIGH,HIGH,False,HIGH,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,HIGH,False,False,ESOPHAGEAL,NORMAL,HIGH,NORMAL,ZERO,HIGH,HIGH,False,HIGH,NORMAL
HIGH,HIGH,False,False,NORMAL,LOW,HIGH,LOW,HIGH,HIGH,HIGH,False,HIGH,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,LOW,NORMAL,NORMAL,HIGH,HIGH,False,ZERO,NORMAL
NORMAL,LOW,False,False,NORMAL,NORMAL,LOW,NORMAL,ZERO,HIGH,HIGH,False,NORMAL,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,LOW,NORMAL,ZERO,LOW,LOW,False,ZERO,NORMAL
NORMAL,ZERO,False,False,NORMAL,LOW,HIGH,NORMAL,HIGH,HIGH,HIGH,False,HIGH,NORMAL
NORMAL,LOW,False,False,ONESIDED,NORMAL,NORMAL,NORMAL,ZERO,HIGH,HIGH,False,LOW,HIGH
NORMAL,LOW,False,False,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO,NORMAL
NORMAL,LOW,False,True,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,HIGH,NORMAL,HIGH,NORMAL,NORMAL,False,HIGH,NORMAL
HIGH,HIGH,False,False,NORMAL,LOW,HIGH,NORMAL,HIGH,HIGH,HIGH,False,HIGH,NORMAL
HIGH,HIGH,False,False,NORMAL,LOW,HIGH,NORMAL,HIGH,LOW,LOW,False,HIGH,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,LOW,NORMAL,ZERO,NORMAL,NORMAL,False,ZERO,NORMAL
NORMAL,LOW,False,True,NORMAL,LOW,LOW,NORMAL,ZERO,LOW,LOW,False,ZERO,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,LOW,NORMAL,LOW,HIGH,HIGH,False,ZERO,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,LOW,HIGH,ZERO,LOW,LOW,False,ZERO,NORMAL
NORMAL,LOW,False,False,ESOPHAGEAL,LOW,HIGH,NORMAL,LOW,HIGH,HIGH,False,HIGH,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,LOW,NORMAL,ZERO,LOW,LOW,False,ZERO,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,LOW,NORMAL,ZERO,LOW,LOW,False,ZERO,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO,NORMAL
NORMAL,LOW,False,False,NORMAL,LOW,LOW,NORMAL,ZERO,NORMAL,NORMAL,False,ZERO,NORMAL
