HRBP,VENTMACH,VENTTUBE,LVFAILURE,INTUBATION,EXPCO2,PVSAT,CO,MINVOL,HRSAT,HREKG,KINKEDTUBE,VENTALV
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,False,HIGH
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,True,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,LOW,ZERO,NORMAL,NORMAL,False,ZERO
HIGH,NORMAL,LOW,True,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO
LOW,NORMAL,LOW,False,NORMAL,LOW,LOW,NORMAL,ZERO,LOW,LOW,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,True,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO
LOW,NORMAL,LOW,True,NORMAL,LOW,HIGH,LOW,HIGH,LOW,LOW,False,HIGH
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,ONESIDED,NORMAL,LOW,LOW,LOW,HIGH,HIGH,False,LOW
HIGH,NORMAL,LOW,True,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO
LOW,NORMAL,LOW,False,NORMAL,LOW,HIGH,NORMAL,HIGH,LOW,LOW,False,HIGH
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
LOW,NORMAL,LOW,False,NORMAL,LOW,LOW,LOW,ZERO,LOW,LOW,False,ZERO
HIGH,NORMAL,LOW,True,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO
HIGH,HIGH,HIGH,False,ONESIDED,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,False,LOW
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
LOW,NORMAL,ZERO,False,ONESIDED,LOW,LOW,NORMAL,NORMAL,LOW,LOW,False,NORMAL
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,ZERO,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,False,ZERO
LOW,NORMAL,LOW,False,NORMAL,LOW,LOW,NORMAL,ZERO,LOW,LOW,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,False,ZERO
HIGH,NORMAL,LOW,False,ESOPHAGEAL,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
LOW,NORMAL,ZERO,False,NORMAL,LOW,NORMAL,NORMAL,HIGH,LOW,LOW,False,HIGH
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,False,ZERO
LOW,LOW,ZERO,False,NORMAL,LOW,HIGH,NORMAL,HIGH,LOW,LOW,False,HIGH
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
LOW,NORMAL,LOW,False,NORMAL,LOW,LOW,LOW,ZERO,NORMAL,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,False,ZERO
HIGH,LOW,NORMAL,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,True,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,True,ZERO
LOW,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,LOW
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,ZERO,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,HIGH,HIGH,False,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,False,HIGH
NORMAL,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
LOW,NORMAL,LOW,False,NORMAL,NORMAL,LOW,LOW,LOW,LOW,LOW,False,NORMAL
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
LOW,ZERO,ZERO,False,NORMAL,LOW,HIGH,LOW,HIGH,HIGH,HIGH,False,HIGH
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
