VENTMACH,LVFAILURE,LVEDVOLUME,EXPCO2,PVSAT,CO,PCWP,SHUNT,TPR
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,HIGH
NORMAL,False,NORMAL,LOW,HIGH,HIGH,NORMAL,NORMAL,LOW
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,LOW
NORMAL,False,HIGH,LOW,LOW,LOW,NORMAL,NORMAL,NORMAL
NORMAL,True,LOW,LOW,LOW,LOW,LOW,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,NORMAL,NORMAL,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,LOW
NORMAL,True,LOW,LOW,LOW,LOW,LOW,NORMAL,HIGH
NORMAL,True,LOW,LOW,HIGH,LOW,LOW,NORMAL,HIGH
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,HIGH
NORMAL,False,HIGH,LOW,LOW,HIGH,HIGH,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL,LOW,LOW,LOW,HIGH,NORMAL
NORMAL,True,LOW,LOW,LOW,NORMAL,LOW,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,HIGH,NORMAL,NORMAL,NORMAL,HIGH
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,HIGH
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,HIGH
NORMAL,False,NORMAL,LOW,LOW,LOW,NORMAL,HIGH,LOW
NORMAL,True,LOW,LOW,LOW,LOW,LOW,NORMAL,LOW
NORMAL,False,HIGH,LOW,LOW,LOW,HIGH,NORMAL,HIGH
HIGH,False,NORMAL,HIGH,LOW,HIGH,NORMAL,HIGH,HIGH
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,NORMAL,NORMAL,HIGH,LOW
NORMAL,False,HIGH,LOW,LOW,HIGH,HIGH,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,LOW
NORMAL,False,HIGH,LOW,LOW,NORMAL,HIGH,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,NORMAL,NORMAL,HIGH,HIGH
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,LOW
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,LOW
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,False,NORMAL,NORMAL,LOW,HIGH,NORMAL,NORMAL,HIGH
NORMAL,False,HIGH,LOW,NORMAL,NORMAL,HIGH,NORMAL,HIGH
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,NORMAL
LOW,False,HIGH,LOW,HIGH,NORMAL,HIGH,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,HIGH,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,LOW
NORMAL,False,NORMAL,LOW,LOW,LOW,NORMAL,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,HIGH
NORMAL,False,HIGH,LOW,LOW,HIGH,HIGH,NORMAL,HIGH
LOW,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,HIGH
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,LOW
NORMAL,False,HIGH,LOW,LOW,HIGH,HIGH,NORMAL,NORMAL
NORMAL,False,HIGH,LOW,LOW,HIGH,HIGH,NORMAL,LOW
NORMAL,False,NORMAL,ZERO,LOW,HIGH,NORMAL,NORMAL,HIGH
HIGH,False,NORMAL,LOW,HIGH,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,False,HIGH,LOW,LOW,HIGH,HIGH,NORMAL,NORMAL
NORMAL,False,NORMAL,NORMAL,LOW,LOW,NORMAL,NORMAL,HIGH
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,LOW
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,LOW
ZERO,False,HIGH,LOW,HIGH,LOW,HIGH,NORMAL,HIGH
NORMAL,False,LOW,LOW,LOW,HIGH,LOW,NORMAL,HIGH
NORMAL,False,NORMAL,LOW,HIGH,HIGH,LOW,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,HIGH
NORMAL,False,HIGH,LOW,LOW,NORMAL,HIGH,NORMAL,LOW
NORMAL,False,HIGH,LOW,LOW,LOW,HIGH,NORMAL,HIGH
