Date,Status
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Returned to Seller
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Returning to Seller
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Returned to Seller
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Returned to Seller
05-31-22,Shipped - Returned to Seller
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Returned to Seller
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Returned to Seller
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Returned to Seller
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Returned to Seller
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Returned to Seller
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Returned to Seller
05-31-22,Shipped - Delivered to Buyer
05-31-22,Shipped - Delivered to Buyer
