Style,Category,Size,Amount
J0385,kurta,M,888
JNE3654,Top,XXL,371
JNE3798,Western Dress,XS,771
J0152,Western Dress,L,0
J0157,Western Dress,XL,690
J0341,Western Dress,L,885
JNE3800,Western Dress,M,771
SET398,Set,3XL,1186
JNE3869,Western Dress,M,721
JNE3800,Western Dress,L,771
SET355,Set,3XL,1229
JNE3800,Western Dress,XXL,771
JNE3904,Western Dress,3XL,599
SET183,Set,M,759
SET224,Set,XL,1132
JNE3802,kurta,XL,487
SET333,Set,M,967
J0280,Set,M,1556
JNE3793,kurta,XL,355
JNE3797,Western Dress,XL,771
J0341,Western Dress,3XL,885
SET145,Set,L,788
NW031,Set,3XL,582
JNE3738,kurta,XL,383
SET356,Set,3XL,999
J0013,Set,3XL,1072
JNE3800,Western Dress,S,771
J0294,Top,XS,377
JNE3687,Top,3XL,545
SET293,Set,XS,736
J0117,Top,M,545
J0113,Top,M,574
SET347,Set,M,852
J0003,Set,M,696
JNE3609,kurta,XXL,568
J0281,Set,L,1477
SET187,Set,XL,699
J0281,Set,L,1477
JNE3640,Top,XXL,518
JNE3797,Western Dress,XL,771
JNE3487,kurta,S,345
NW030,Set,L,582
JNE3797,Western Dress,XL,771
MEN5003,kurta,XXL,633
J0308,Western Dress,3XL,665
JNE3639,Top,XL,518
SET355,Set,3XL,1229
JNE3697,kurta,XXL,517
PJNE3068,kurta,5XL,1099
JNE3468,kurta,XL,399
J0341,Western Dress,3XL,885
SET327,Set,S,999
SET307,Set,S,736
JNE3818,kurta,XXL,475
SET436,Set,XS,1399
JNE3710,Western Dress,M,699
JNE3797,Western Dress,XL,771
JNE3800,Western Dress,3XL,771
SET291,Set,3XL,605
SET278,Set,S,0
J0341,Western Dress,L,885
SET347,Set,XS,852
JNE3865,Top,XXL,513
JNE3779,kurta,XL,346
JNE3759,kurta,XL,568
JNE3798,Western Dress,L,771
JNE3720,kurta,XL,517
JNE3797,Western Dress,XL,771
JNE3431,kurta,M,333
JNE3753,kurta,S,475
SET317,Set,M,1199
SET327,Set,XL,999
SET236,Set,M,788
J0126,Set,M,783
JNE3567,kurta,3XL,399
JNE3800,Western Dress,XXL,771
J0348,Set,XL,478
JNE3577,kurta,M,696
JNE3797,Western Dress,XL,771
MEN5032,kurta,XL,811
J0308,Western Dress,3XL,665
JNE3471,kurta,L,318
JNE3265,kurta,L,318
