Attribute1,Attribute2,Attribute3,Attribute4,Attribute6,Attribute9,Attribute10,Attribute12,Attribute14,Attribute15,Attribute16,Attribute20,class
A11,6,A34,A43,A65,A93,A101,A121,A143,A152,2,A201,1
A12,48,A32,A43,A61,A92,A101,A121,A143,A152,1,A201,2
A14,12,A34,A46,A61,A93,A101,A121,A143,A152,1,A201,1
A11,42,A32,A42,A61,A93,A103,A122,A143,A153,1,A201,1
A11,24,A33,A40,A61,A93,A101,A124,A143,A153,2,A201,2
A14,36,A32,A46,A65,A93,A101,A124,A143,A153,1,A201,1
A14,24,A32,A42,A63,A93,A101,A122,A143,A152,1,A201,1
A12,36,A32,A41,A61,A93,A101,A123,A143,A151,1,A201,1
A14,12,A32,A43,A64,A91,A101,A121,A143,A152,1,A201,1
A12,30,A34,A40,A61,A94,A101,A123,A143,A152,2,A201,2
A12,12,A32,A40,A61,A92,A101,A123,A143,A151,1,A201,2
A11,48,A32,A49,A61,A92,A101,A122,A143,A151,1,A201,2
A12,12,A32,A43,A61,A92,A101,A123,A143,A152,1,A201,1
A11,24,A34,A40,A61,A93,A101,A123,A143,A152,2,A201,2
A11,15,A32,A40,A61,A92,A101,A123,A143,A151,1,A201,1
A11,24,A32,A43,A62,A92,A101,A123,A143,A152,1,A201,2
A14,24,A34,A43,A65,A93,A101,A122,A143,A152,2,A201,1
A11,30,A30,A49,A65,A93,A101,A123,A141,A152,3,A201,1
A12,24,A32,A41,A61,A92,A101,A124,A143,A153,1,A201,2
A14,24,A32,A43,A63,A93,A101,A123,A143,A152,1,A201,1
A14,9,A34,A40,A61,A93,A101,A123,A143,A152,3,A201,1
A11,6,A32,A43,A63,A93,A101,A121,A143,A151,1,A201,1
A11,10,A34,A40,A61,A93,A101,A121,A143,A151,2,A202,1
A12,12,A34,A41,A62,A93,A101,A122,A143,A152,1,A201,1
A14,10,A34,A42,A65,A94,A101,A123,A143,A152,2,A202,1
A11,6,A32,A42,A61,A93,A101,A121,A141,A152,1,A201,1
A14,6,A30,A43,A61,A94,A101,A123,A143,A152,1,A201,1
