Attribute2,Attribute4,Attribute7,Attribute12,Attribute14,Attribute15,Attribute16,Attribute17,Attribute19,Attribute20
6,A43,A75,A121,A143,A152,2,A173,A192,A201
48,A43,A73,A121,A143,A152,1,A173,A191,A201
12,A46,A74,A121,A143,A152,1,A172,A191,A201
42,A42,A74,A122,A143,A153,1,A173,A191,A201
24,A40,A73,A124,A143,A153,2,A173,A191,A201
36,A46,A73,A124,A143,A153,1,A172,A192,A201
24,A42,A75,A122,A143,A152,1,A173,A191,A201
36,A41,A73,A123,A143,A151,1,A174,A192,A201
12,A43,A74,A121,A143,A152,1,A172,A191,A201
30,A40,A71,A123,A143,A152,2,A174,A191,A201
12,A40,A72,A123,A143,A151,1,A173,A191,A201
48,A49,A72,A122,A143,A151,1,A173,A191,A201
12,A43,A73,A123,A143,A152,1,A173,A192,A201
24,A40,A75,A123,A143,A152,2,A172,A191,A201
15,A40,A73,A123,A143,A151,1,A173,A191,A201
24,A43,A73,A123,A143,A152,1,A172,A191,A201
24,A43,A75,A122,A143,A152,2,A173,A191,A201
30,A49,A72,A123,A141,A152,3,A173,A191,A201
24,A41,A75,A124,A143,A153,1,A174,A192,A201
24,A43,A75,A123,A143,A152,1,A173,A192,A201
9,A40,A73,A123,A143,A152,3,A173,A192,A201
6,A43,A73,A121,A143,A151,1,A173,A191,A201
10,A40,A72,A121,A143,A151,2,A172,A191,A202
12,A41,A72,A122,A143,A152,1,A173,A191,A201
10,A42,A73,A123,A143,A152,2,A173,A191,A202
6,A42,A73,A121,A141,A152,1,A172,A192,A201
6,A43,A75,A123,A143,A152,1,A172,A191,A201
12,A43,A73,A121,A143,A151,2,A173,A191,A201
7,A43,A73,A121,A143,A152,1,A173,A191,A201
60,A49,A75,A124,A143,A152,2,A173,A192,A201
18,A49,A72,A121,A141,A152,1,A173,A192,A201
24,A42,A73,A123,A142,A152,1,A173,A191,A201
18,A40,A73,A123,A143,A152,2,A173,A192,A201
12,A49,A75,A124,A143,A151,1,A172,A191,A201
12,A42,A72,A122,A141,A152,1,A174,A192,A201
45,A43,A72,A122,A143,A152,2,A172,A191,A201
