Attribute7,Attribute8,Attribute9,Attribute11,Attribute12,Attribute15,Attribute17,Attribute19,Attribute20
A75,4,A93,4,A121,A152,A173,A192,A201
A73,2,A92,2,A121,A152,A173,A191,A201
A74,2,A93,3,A121,A152,A172,A191,A201
A74,2,A93,4,A122,A153,A173,A191,A201
A73,3,A93,4,A124,A153,A173,A191,A201
A73,2,A93,4,A124,A153,A172,A192,A201
A75,3,A93,4,A122,A152,A173,A191,A201
A73,2,A93,2,A123,A151,A174,A192,A201
A74,2,A91,4,A121,A152,A172,A191,A201
A71,4,A94,2,A123,A152,A174,A191,A201
A72,3,A92,1,A123,A151,A173,A191,A201
A72,3,A92,4,A122,A151,A173,A191,A201
A73,1,A92,1,A123,A152,A173,A192,A201
A75,4,A93,4,A123,A152,A172,A191,A201
A73,2,A92,4,A123,A151,A173,A191,A201
A73,4,A92,2,A123,A152,A172,A191,A201
A75,4,A93,4,A122,A152,A173,A191,A201
A72,2,A93,3,A123,A152,A173,A191,A201
A75,4,A92,2,A124,A153,A174,A192,A201
A75,3,A93,2,A123,A152,A173,A192,A201
A73,4,A93,4,A123,A152,A173,A192,A201
A73,2,A93,3,A121,A151,A173,A191,A201
A72,1,A93,3,A121,A151,A172,A191,A202
A72,3,A93,4,A122,A152,A173,A191,A201
A73,2,A94,1,A123,A152,A173,A191,A202
A73,1,A93,2,A121,A152,A172,A192,A201
A75,4,A94,4,A123,A152,A172,A191,A201
A73,3,A92,3,A121,A151,A173,A191,A201
A73,3,A93,2,A121,A152,A173,A191,A201
A75,3,A93,4,A124,A152,A173,A192,A201
A72,3,A94,3,A121,A152,A173,A192,A201
A73,2,A93,2,A123,A152,A173,A191,A201
A73,2,A93,2,A123,A152,A173,A192,A201
A75,4,A93,4,A124,A151,A172,A191,A201
A72,4,A92,1,A122,A152,A174,A192,A201
A72,4,A93,2,A122,A152,A172,A191,A201
A73,1,A93,3,A124,A153,A173,A192,A201
A73,4,A93,2,A121,A152,A173,A191,A201
A73,2,A93,2,A123,A152,A173,A192,A201
A73,4,A93,3,A121,A152,A173,A191,A201
A75,4,A93,2,A123,A152,A174,A191,A201
A73,3,A91,1,A123,A152,A173,A192,A201
A73,2,A93,4,A121,A152,A172,A192,A201
A74,1,A94,4,A123,A151,A173,A191,A201
A75,4,A92,4,A124,A153,A172,A191,A201
A72,4,A92,4,A123,A152,A174,A191,A201
A75,4,A93,4,A123,A152,A173,A191,A201
A71,1,A92,2,A122,A151,A171,A192,A201
A73,1,A93,4,A122,A152,A172,A191,A201
A73,4,A92,2,A121,A152,A173,A191,A201
A72,4,A93,2,A122,A152,A172,A191,A201
A75,1,A93,2,A123,A152,A174,A192,A201
A73,3,A93,2,A123,A152,A173,A191,A201
A73,2,A93,1,A122,A152,A173,A192,A201
A75,4,A93,4,A124,A153,A173,A192,A201
A73,1,A93,2,A121,A152,A172,A191,A201
A71,2,A93,1,A124,A152,A174,A192,A201
A73,2,A92,2,A123,A152,A173,A191,A201
A75,3,A92,2,A123,A152,A174,A191,A201
A72,4,A92,4,A124,A151,A172,A192,A201
A73,2,A94,1,A121,A152,A173,A192,A201
A75,4,A93,4,A121,A152,A173,A192,A201
A75,4,A93,4,A124,A153,A174,A192,A201
A73,2,A93,2,A123,A152,A173,A192,A201
A72,4,A92,4,A122,A152,A173,A192,A201
A75,4,A93,4,A122,A152,A173,A192,A201
