ChestXray,Grunting,CO2,DuctFlow,GruntingReport,CardiacMixing,LungParench
Oligaemic,no,High,Rt_to_Lt,no,Mild,Abnormal
Grd_Glass,no,Normal,,no,Complete,Congested
Asy/Patch,yes,High,Lt_to_Rt,yes,Complete,Abnormal
Oligaemic,yes,Normal,Rt_to_Lt,yes,Mild,Abnormal
Grd_Glass,no,Normal,,no,Transp.,Normal
Oligaemic,no,High,Lt_to_Rt,no,Complete,Normal
Oligaemic,no,High,Lt_to_Rt,no,Mild,Normal
Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Plethoric,no,High,,no,Transp.,Normal
Asy/Patch,yes,High,Rt_to_Lt,no,,Abnormal
Plethoric,yes,High,Rt_to_Lt,yes,Mild,Abnormal
Oligaemic,yes,Normal,Lt_to_Rt,yes,Complete,Normal
Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
Oligaemic,no,Normal,,no,Transp.,Abnormal
Oligaemic,no,Normal,Rt_to_Lt,no,,Normal
Normal,yes,High,Rt_to_Lt,yes,Transp.,Abnormal
Oligaemic,no,Normal,,no,Complete,Normal
Plethoric,no,High,,no,Complete,Normal
Plethoric,no,High,Lt_to_Rt,no,Transp.,Normal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Plethoric,no,Normal,Rt_to_Lt,no,Mild,Normal
Normal,no,High,Lt_to_Rt,no,Complete,Normal
Normal,no,Low,,no,Transp.,Normal
Normal,no,Normal,,no,Transp.,Normal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Oligaemic,no,Normal,Lt_to_Rt,yes,Complete,Normal
Asy/Patch,yes,Normal,Lt_to_Rt,yes,Complete,Abnormal
Oligaemic,no,Normal,,no,,Normal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
Plethoric,no,Normal,Lt_to_Rt,no,Complete,Normal
Oligaemic,no,Normal,Lt_to_Rt,yes,Complete,Normal
Plethoric,no,Normal,Rt_to_Lt,no,Transp.,Normal
Oligaemic,no,Normal,Lt_to_Rt,no,Mild,Normal
Grd_Glass,no,Normal,Rt_to_Lt,no,Complete,Congested
Asy/Patch,yes,High,,yes,Mild,Abnormal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Asy/Patch,no,Normal,,no,Transp.,Abnormal
Grd_Glass,no,Normal,Lt_to_Rt,no,Complete,Congested
Oligaemic,no,Normal,Lt_to_Rt,yes,Transp.,Normal
Asy/Patch,yes,Normal,,yes,,Abnormal
Plethoric,no,Normal,,no,,Normal
Asy/Patch,yes,Normal,Lt_to_Rt,yes,Complete,Congested
Normal,no,Normal,,no,Transp.,Normal
Plethoric,no,High,,no,Transp.,Normal
Grd_Glass,no,Normal,Lt_to_Rt,no,,Congested
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Plethoric,no,Normal,,no,Transp.,Normal
Oligaemic,yes,High,,no,Transp.,Abnormal
Plethoric,no,High,,no,Transp.,Normal
Normal,no,Normal,Rt_to_Lt,no,Mild,Normal
Asy/Patch,no,High,,no,Transp.,Abnormal
Oligaemic,no,Normal,,no,Complete,Normal
Grd_Glass,no,Normal,Lt_to_Rt,no,Complete,Normal
Plethoric,yes,High,Lt_to_Rt,yes,Complete,Normal
Oligaemic,yes,Low,Lt_to_Rt,no,Complete,Normal
Plethoric,no,High,,no,Transp.,Congested
Plethoric,yes,Normal,Rt_to_Lt,yes,Transp.,Normal
Normal,no,Normal,,no,Transp.,Normal
Oligaemic,no,Normal,Lt_to_Rt,yes,Complete,Normal
Oligaemic,no,Normal,,no,Complete,Normal
Asy/Patch,yes,Normal,Rt_to_Lt,yes,Mild,Abnormal
Oligaemic,yes,Normal,Lt_to_Rt,yes,Complete,Abnormal
Asy/Patch,yes,High,Lt_to_Rt,yes,Mild,Abnormal
Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
Oligaemic,no,Normal,Lt_to_Rt,no,Mild,Normal
Oligaemic,no,High,Lt_to_Rt,no,Complete,Normal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Oligaemic,no,High,Lt_to_Rt,no,Complete,Normal
Normal,no,Low,Lt_to_Rt,no,Complete,Normal
Plethoric,no,Normal,,no,Complete,Normal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Plethoric,no,High,,no,Transp.,Normal
Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
Oligaemic,no,High,Lt_to_Rt,no,Complete,Normal
Oligaemic,no,Normal,Lt_to_Rt,yes,Complete,Normal
Normal,yes,Normal,Lt_to_Rt,no,,Normal
Grd_Glass,no,Normal,,no,Mild,Congested
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Oligaemic,no,Normal,Lt_to_Rt,yes,Complete,Normal
Plethoric,no,High,,no,Mild,Normal
Oligaemic,yes,High,Lt_to_Rt,yes,Mild,Abnormal
Asy/Patch,yes,High,,no,Mild,Abnormal
Grd_Glass,no,High,Rt_to_Lt,no,Mild,Congested
Asy/Patch,yes,High,Lt_to_Rt,yes,Complete,Abnormal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Oligaemic,no,Normal,Lt_to_Rt,no,Mild,Normal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
Oligaemic,no,High,Lt_to_Rt,no,Complete,Normal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Grd_Glass,no,Normal,Lt_to_Rt,no,Complete,Normal
Oligaemic,yes,Low,Lt_to_Rt,yes,Complete,Abnormal
Oligaemic,no,Normal,Lt_to_Rt,yes,Complete,Normal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Asy/Patch,yes,Normal,,yes,Mild,Abnormal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Oligaemic,yes,Normal,,yes,Complete,Normal
Oligaemic,yes,Low,Rt_to_Lt,no,Mild,Normal
Oligaemic,no,Normal,,no,Mild,Normal
Oligaemic,yes,Normal,,no,Transp.,Normal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Oligaemic,no,Normal,Lt_to_Rt,no,Mild,Normal
Normal,yes,Normal,,no,Transp.,Normal
Normal,no,Normal,,no,Transp.,Normal
Oligaemic,no,High,Lt_to_Rt,no,Complete,Normal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Normal,no,Normal,,no,Complete,Normal
Normal,no,Normal,Lt_to_Rt,no,Transp.,Normal
Plethoric,no,Normal,Lt_to_Rt,no,Complete,Normal
Grd_Glass,yes,Normal,,yes,,Abnormal
Oligaemic,no,Normal,Lt_to_Rt,yes,Complete,Normal
Asy/Patch,no,Low,,no,Transp.,Abnormal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Plethoric,no,Low,,no,Transp.,Normal
Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Oligaemic,no,Normal,,no,Transp.,Normal
Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
Grd_Glass,no,High,Rt_to_Lt,no,,Congested
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Grd_Glass,no,High,Lt_to_Rt,no,Complete,Congested
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Oligaemic,no,Normal,,no,Complete,Normal
Plethoric,no,Normal,,no,Transp.,Normal
Oligaemic,no,Normal,Rt_to_Lt,no,Mild,Normal
Oligaemic,yes,Normal,Lt_to_Rt,yes,Complete,Normal
Grd_Glass,yes,High,,no,Transp.,Abnormal
Plethoric,yes,Low,,yes,Complete,Normal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Congested
Normal,yes,Normal,,yes,Transp.,Abnormal
Normal,yes,Normal,,yes,Transp.,Abnormal
Asy/Patch,yes,Normal,Lt_to_Rt,yes,Complete,Abnormal
Asy/Patch,yes,High,Lt_to_Rt,yes,Complete,Abnormal
Plethoric,yes,Normal,Lt_to_Rt,no,Transp.,Normal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Oligaemic,no,Normal,,no,Complete,Normal
Grd_Glass,no,High,,no,Transp.,Congested
Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
Plethoric,no,Normal,Lt_to_Rt,no,Transp.,Normal
Asy/Patch,no,High,,no,Mild,Abnormal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Plethoric,no,Normal,,no,Transp.,Normal
Normal,no,Low,Lt_to_Rt,no,Complete,Normal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Plethoric,no,Normal,,no,Transp.,Normal
Asy/Patch,no,High,,no,Complete,Abnormal
Asy/Patch,no,Normal,,no,Transp.,Normal
Normal,yes,Normal,Lt_to_Rt,no,Complete,Normal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Normal,no,Normal,Rt_to_Lt,no,Mild,Normal
Normal,no,Normal,Lt_to_Rt,yes,Transp.,Normal
Grd_Glass,yes,Low,,yes,Mild,Abnormal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Grd_Glass,no,Normal,,yes,Transp.,Normal
Grd_Glass,no,Normal,,no,,Congested
Oligaemic,no,Normal,Lt_to_Rt,no,Mild,Normal
Oligaemic,no,Normal,Lt_to_Rt,yes,Complete,Normal
Normal,no,Normal,Lt_to_Rt,no,Mild,Normal
Normal,no,High,Lt_to_Rt,no,Transp.,Normal
