Grunting,DuctFlow,GruntingReport,CardiacMixing,LungParench
no,Rt_to_Lt,no,Mild,Abnormal
no,,no,Complete,Congested
yes,Lt_to_Rt,yes,Complete,Abnormal
yes,Rt_to_Lt,yes,Mild,Abnormal
no,,no,Transp.,Normal
no,Lt_to_Rt,no,Complete,Normal
no,Lt_to_Rt,no,Mild,Normal
no,Lt_to_Rt,no,Complete,Normal
no,Lt_to_Rt,no,Complete,Normal
no,Lt_to_Rt,no,Complete,Normal
no,,no,Transp.,Normal
yes,Rt_to_Lt,no,,Abnormal
yes,Rt_to_Lt,yes,Mild,Abnormal
yes,Lt_to_Rt,yes,Complete,Normal
no,Lt_to_Rt,no,Complete,Normal
no,,no,Transp.,Abnormal
no,Rt_to_Lt,no,,Normal
yes,Rt_to_Lt,yes,Transp.,Abnormal
no,,no,Complete,Normal
no,,no,Complete,Normal
no,Lt_to_Rt,no,Transp.,Normal
no,Lt_to_Rt,no,Complete,Normal
no,Rt_to_Lt,no,Mild,Normal
no,Lt_to_Rt,no,Complete,Normal
no,,no,Transp.,Normal
no,,no,Transp.,Normal
no,Lt_to_Rt,no,Complete,Normal
no,Lt_to_Rt,yes,Complete,Normal
yes,Lt_to_Rt,yes,Complete,Abnormal
no,,no,,Normal
no,Lt_to_Rt,no,Complete,Normal
no,Lt_to_Rt,no,Complete,Normal
no,Lt_to_Rt,no,Complete,Normal
no,Lt_to_Rt,yes,Complete,Normal
no,Rt_to_Lt,no,Transp.,Normal
no,Lt_to_Rt,no,Mild,Normal
no,Rt_to_Lt,no,Complete,Congested
yes,,yes,Mild,Abnormal
no,Lt_to_Rt,no,Complete,Normal
no,,no,Transp.,Abnormal
no,Lt_to_Rt,no,Complete,Congested
no,Lt_to_Rt,yes,Transp.,Normal
yes,,yes,,Abnormal
no,,no,,Normal
yes,Lt_to_Rt,yes,Complete,Congested
no,,no,Transp.,Normal
no,,no,Transp.,Normal
no,Lt_to_Rt,no,,Congested
no,Lt_to_Rt,no,Complete,Normal
no,,no,Transp.,Normal
yes,,no,Transp.,Abnormal
no,,no,Transp.,Normal
no,Rt_to_Lt,no,Mild,Normal
no,,no,Transp.,Abnormal
no,,no,Complete,Normal
no,Lt_to_Rt,no,Complete,Normal
yes,Lt_to_Rt,yes,Complete,Normal
yes,Lt_to_Rt,no,Complete,Normal
no,,no,Transp.,Congested
yes,Rt_to_Lt,yes,Transp.,Normal
no,,no,Transp.,Normal
no,Lt_to_Rt,yes,Complete,Normal
no,,no,Complete,Normal
yes,Rt_to_Lt,yes,Mild,Abnormal
yes,Lt_to_Rt,yes,Complete,Abnormal
yes,Lt_to_Rt,yes,Mild,Abnormal
no,Lt_to_Rt,no,Complete,Normal
no,Lt_to_Rt,no,Mild,Normal
no,Lt_to_Rt,no,Complete,Normal
no,Lt_to_Rt,no,Complete,Normal
no,Lt_to_Rt,no,Complete,Normal
no,Lt_to_Rt,no,Complete,Normal
no,,no,Complete,Normal
no,Lt_to_Rt,no,Complete,Normal
no,,no,Transp.,Normal
no,Lt_to_Rt,no,Complete,Normal
no,Lt_to_Rt,no,Complete,Normal
no,Lt_to_Rt,yes,Complete,Normal
yes,Lt_to_Rt,no,,Normal
no,,no,Mild,Congested
no,Lt_to_Rt,no,Complete,Normal
no,Lt_to_Rt,yes,Complete,Normal
no,,no,Mild,Normal
yes,Lt_to_Rt,yes,Mild,Abnormal
yes,,no,Mild,Abnormal
no,Rt_to_Lt,no,Mild,Congested
yes,Lt_to_Rt,yes,Complete,Abnormal
no,Lt_to_Rt,no,Complete,Normal
no,Lt_to_Rt,no,Mild,Normal
no,Lt_to_Rt,no,Complete,Normal
no,Lt_to_Rt,no,Complete,Normal
no,Lt_to_Rt,no,Complete,Normal
no,Lt_to_Rt,no,Complete,Normal
no,Lt_to_Rt,no,Complete,Normal
yes,Lt_to_Rt,yes,Complete,Abnormal
no,Lt_to_Rt,yes,Complete,Normal
no,Lt_to_Rt,no,Complete,Normal
no,Lt_to_Rt,no,Complete,Normal
yes,,yes,Mild,Abnormal
no,Lt_to_Rt,no,Complete,Normal
yes,,yes,Complete,Normal
yes,Rt_to_Lt,no,Mild,Normal
no,,no,Mild,Normal
yes,,no,Transp.,Normal
no,Lt_to_Rt,no,Complete,Normal
no,Lt_to_Rt,no,Mild,Normal
yes,,no,Transp.,Normal
no,,no,Transp.,Normal
no,Lt_to_Rt,no,Complete,Normal
no,Lt_to_Rt,no,Complete,Normal
no,,no,Complete,Normal
no,Lt_to_Rt,no,Transp.,Normal
no,Lt_to_Rt,no,Complete,Normal
yes,,yes,,Abnormal
no,Lt_to_Rt,yes,Complete,Normal
no,,no,Transp.,Abnormal
no,Lt_to_Rt,no,Complete,Normal
no,,no,Transp.,Normal
no,Lt_to_Rt,no,Complete,Normal
no,Lt_to_Rt,no,Complete,Normal
no,,no,Transp.,Normal
no,Lt_to_Rt,no,Complete,Normal
no,Rt_to_Lt,no,,Congested
no,Lt_to_Rt,no,Complete,Normal
no,Lt_to_Rt,no,Complete,Congested
no,Lt_to_Rt,no,Complete,Normal
no,,no,Complete,Normal
no,,no,Transp.,Normal
no,Rt_to_Lt,no,Mild,Normal
yes,Lt_to_Rt,yes,Complete,Normal
yes,,no,Transp.,Abnormal
yes,,yes,Complete,Normal
no,Lt_to_Rt,no,Complete,Congested
yes,,yes,Transp.,Abnormal
yes,,yes,Transp.,Abnormal
yes,Lt_to_Rt,yes,Complete,Abnormal
yes,Lt_to_Rt,yes,Complete,Abnormal
yes,Lt_to_Rt,no,Transp.,Normal
no,Lt_to_Rt,no,Complete,Normal
no,,no,Complete,Normal
no,,no,Transp.,Congested
no,Lt_to_Rt,no,Complete,Normal
no,Lt_to_Rt,no,Transp.,Normal
no,,no,Mild,Abnormal
no,Lt_to_Rt,no,Complete,Normal
no,,no,Transp.,Normal
no,Lt_to_Rt,no,Complete,Normal
no,Lt_to_Rt,no,Complete,Normal
no,,no,Transp.,Normal
no,,no,Complete,Abnormal
no,,no,Transp.,Normal
yes,Lt_to_Rt,no,Complete,Normal
no,Lt_to_Rt,no,Complete,Normal
no,Rt_to_Lt,no,Mild,Normal
no,Lt_to_Rt,yes,Transp.,Normal
yes,,yes,Mild,Abnormal
no,Lt_to_Rt,no,Complete,Normal
no,,yes,Transp.,Normal
no,,no,,Congested
no,Lt_to_Rt,no,Mild,Normal
no,Lt_to_Rt,yes,Complete,Normal
no,Lt_to_Rt,no,Mild,Normal
no,Lt_to_Rt,no,Transp.,Normal
no,,no,Complete,Congested
no,Lt_to_Rt,no,Complete,Normal
no,Lt_to_Rt,no,Mild,Normal
no,,no,Transp.,Normal
no,Lt_to_Rt,yes,Complete,Normal
no,Lt_to_Rt,no,Complete,Normal
no,,no,Complete,Normal
yes,Lt_to_Rt,yes,Complete,Abnormal
yes,,no,Mild,Congested
no,Lt_to_Rt,no,Transp.,Normal
no,Lt_to_Rt,no,Complete,Normal
no,,no,Transp.,Normal
no,Lt_to_Rt,yes,Complete,Normal
no,,no,Transp.,Congested
no,,no,Transp.,Normal
no,Lt_to_Rt,no,Complete,Normal
yes,Lt_to_Rt,no,Mild,Abnormal
no,Rt_to_Lt,no,Transp.,Normal
yes,Lt_to_Rt,yes,Complete,Normal
no,Lt_to_Rt,no,Complete,Normal
no,Lt_to_Rt,no,Complete,Normal
no,,no,Transp.,Normal
yes,,yes,Complete,Abnormal
no,Lt_to_Rt,yes,Mild,Normal
no,Lt_to_Rt,no,Complete,Normal
yes,Rt_to_Lt,yes,Mild,Abnormal
yes,Lt_to_Rt,yes,Complete,Abnormal
no,Lt_to_Rt,no,Complete,Normal
no,,no,Transp.,Normal
no,Lt_to_Rt,no,Complete,Normal
no,,no,Mild,Normal
yes,Lt_to_Rt,yes,Complete,Normal
yes,,yes,Mild,Abnormal
no,Lt_to_Rt,no,Transp.,Normal
no,Lt_to_Rt,no,Complete,Normal
no,,no,Complete,Normal
no,Lt_to_Rt,no,Complete,Normal
no,Lt_to_Rt,no,Complete,Normal
no,Lt_to_Rt,no,Complete,Normal
no,Rt_to_Lt,no,Transp.,Normal
no,Lt_to_Rt,yes,Transp.,Normal
no,Lt_to_Rt,no,Complete,Normal
no,Lt_to_Rt,no,Complete,Normal
no,,no,Transp.,Normal
no,,no,Transp.,Congested
no,Lt_to_Rt,no,Complete,Normal
no,Lt_to_Rt,no,Complete,Normal
no,Lt_to_Rt,no,Complete,Normal
no,Lt_to_Rt,no,Complete,Normal
no,Lt_to_Rt,no,Transp.,Normal
no,Rt_to_Lt,no,Mild,Normal
yes,Rt_to_Lt,yes,Mild,Congested
no,,no,Transp.,Abnormal
yes,,yes,Transp.,Abnormal
yes,,yes,,Abnormal
no,Rt_to_Lt,no,Transp.,Abnormal
no,Lt_to_Rt,no,Complete,Normal
yes,,yes,Transp.,Abnormal
no,Lt_to_Rt,yes,Complete,Normal
no,Lt_to_Rt,yes,Complete,Normal
no,Rt_to_Lt,no,Transp.,Normal
no,,no,Complete,Congested
yes,,yes,Complete,Normal
no,,no,Transp.,Normal
no,,no,Mild,Normal
no,Lt_to_Rt,no,Complete,Abnormal
no,Lt_to_Rt,no,Complete,Normal
no,Lt_to_Rt,no,Complete,Congested
no,Lt_to_Rt,no,Complete,Normal
no,,no,Transp.,Abnormal
yes,,yes,Transp.,Abnormal
no,Lt_to_Rt,no,Mild,Normal
no,,no,Mild,Normal
no,Lt_to_Rt,no,Complete,Normal
no,,no,Transp.,Normal
yes,,yes,Complete,Abnormal
no,Lt_to_Rt,yes,Complete,Normal
no,Lt_to_Rt,no,Complete,Normal
no,Lt_to_Rt,yes,Complete,Normal
yes,Lt_to_Rt,yes,Complete,Normal
no,Lt_to_Rt,no,Complete,Congested
no,Lt_to_Rt,no,Complete,Normal
no,,no,Transp.,Normal
no,Lt_to_Rt,no,Complete,Normal
no,Lt_to_Rt,no,Complete,Congested
yes,Lt_to_Rt,yes,Complete,Abnormal
no,Lt_to_Rt,yes,Complete,Normal
no,Lt_to_Rt,no,Complete,Normal
no,,no,Complete,Normal
no,,no,Mild,Normal
yes,,yes,Mild,Abnormal
yes,,yes,Transp.,Normal
yes,Rt_to_Lt,no,Complete,Congested
no,,no,Transp.,Normal
yes,Lt_to_Rt,yes,Complete,Normal
no,,no,Complete,Normal
yes,Lt_to_Rt,yes,Complete,Congested
no,Lt_to_Rt,yes,Complete,Normal
no,Lt_to_Rt,no,Complete,Normal
no,Rt_to_Lt,no,Mild,Normal
yes,Rt_to_Lt,yes,Mild,Abnormal
no,,no,Mild,Normal
no,Lt_to_Rt,no,Complete,Normal
no,,no,Transp.,Normal
no,,no,Transp.,Normal
no,Rt_to_Lt,no,,Normal
no,Lt_to_Rt,yes,Mild,Normal
no,,no,Transp.,Normal
yes,,yes,Mild,Abnormal
yes,,no,,Congested
no,Lt_to_Rt,no,Complete,Normal
no,Lt_to_Rt,no,Complete,Normal
no,,no,Complete,Congested
no,,no,Complete,Congested
no,Lt_to_Rt,no,,Normal
no,,no,,Normal
no,Rt_to_Lt,yes,Complete,Congested
no,Lt_to_Rt,no,Mild,Congested
no,Lt_to_Rt,no,Complete,Normal
yes,Lt_to_Rt,yes,Complete,Normal
no,Lt_to_Rt,no,Complete,Normal
no,Lt_to_Rt,no,Complete,Normal
no,Lt_to_Rt,no,Transp.,Normal
yes,,yes,Transp.,Normal
no,Lt_to_Rt,no,Complete,Normal
no,Lt_to_Rt,no,Complete,Normal
no,Lt_to_Rt,yes,Complete,Normal
no,,no,Complete,Congested
yes,Lt_to_Rt,yes,Complete,Congested
yes,,yes,Complete,Normal
yes,Lt_to_Rt,no,Complete,Abnormal
no,Lt_to_Rt,no,Transp.,Normal
yes,Lt_to_Rt,no,Complete,Normal
no,,no,Complete,Congested
yes,,yes,Mild,Normal
no,Lt_to_Rt,no,Complete,Congested
no,Lt_to_Rt,no,Complete,Abnormal
yes,,yes,Complete,Normal
no,Lt_to_Rt,no,Complete,Normal
no,Lt_to_Rt,yes,Complete,Normal
no,Rt_to_Lt,yes,Transp.,Normal
no,Lt_to_Rt,no,Complete,Normal
yes,Lt_to_Rt,yes,Complete,Abnormal
yes,Rt_to_Lt,no,Transp.,Abnormal
yes,,yes,Mild,Normal
no,Lt_to_Rt,yes,Complete,Normal
yes,,yes,Transp.,Normal
yes,Lt_to_Rt,yes,Complete,Abnormal
no,Rt_to_Lt,no,Transp.,Normal
yes,Lt_to_Rt,no,Complete,Abnormal
yes,,yes,Transp.,Abnormal
no,Lt_to_Rt,no,Complete,Normal
no,,yes,Transp.,Normal
no,Lt_to_Rt,yes,Mild,Abnormal
no,Lt_to_Rt,no,Complete,Normal
