HRBP,PULMEMBOLUS,INSUFFANESTH,INTUBATION,EXPCO2,MINVOL,VENTALV,SHUNT,VENTLUNG,ARTCO2,SAO2,PRESS
HIGH,False,False,NORMAL,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL
HIGH,False,False,NORMAL,LOW,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,HIGH
HIGH,False,True,NORMAL,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH
HIGH,False,False,NORMAL,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,LOW
HIGH,False,False,NORMAL,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL
LOW,False,False,NORMAL,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,LOW
HIGH,False,False,NORMAL,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,LOW
HIGH,False,False,NORMAL,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,LOW
HIGH,False,False,NORMAL,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,LOW
LOW,False,False,NORMAL,LOW,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,NORMAL
HIGH,False,False,NORMAL,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,LOW
HIGH,False,False,NORMAL,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH
HIGH,False,True,ONESIDED,NORMAL,LOW,LOW,HIGH,LOW,HIGH,LOW,HIGH
HIGH,False,False,NORMAL,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH
LOW,False,True,NORMAL,LOW,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,NORMAL
HIGH,False,False,NORMAL,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,LOW
HIGH,False,False,NORMAL,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,LOW
LOW,False,False,NORMAL,LOW,ZERO,ZERO,HIGH,ZERO,HIGH,LOW,NORMAL
HIGH,False,False,NORMAL,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH
HIGH,False,False,NORMAL,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL
HIGH,False,False,ONESIDED,HIGH,HIGH,LOW,HIGH,HIGH,HIGH,LOW,HIGH
HIGH,False,False,NORMAL,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,LOW
LOW,False,False,ONESIDED,LOW,NORMAL,NORMAL,HIGH,ZERO,NORMAL,LOW,LOW
HIGH,False,False,NORMAL,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH
HIGH,False,False,NORMAL,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL
HIGH,False,False,NORMAL,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL
HIGH,False,False,NORMAL,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,LOW
LOW,False,False,NORMAL,LOW,ZERO,ZERO,HIGH,ZERO,HIGH,LOW,LOW
HIGH,False,False,NORMAL,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,LOW
HIGH,False,False,NORMAL,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL
HIGH,False,False,NORMAL,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,LOW
HIGH,False,True,ESOPHAGEAL,NORMAL,ZERO,ZERO,NORMAL,LOW,HIGH,LOW,HIGH
LOW,False,False,NORMAL,LOW,HIGH,HIGH,NORMAL,LOW,LOW,NORMAL,HIGH
HIGH,False,False,NORMAL,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH
LOW,False,False,NORMAL,LOW,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,HIGH
HIGH,False,False,NORMAL,LOW,ZERO,ZERO,HIGH,ZERO,HIGH,LOW,LOW
HIGH,False,False,NORMAL,LOW,ZERO,ZERO,NORMAL,ZERO,NORMAL,LOW,HIGH
LOW,False,False,NORMAL,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH
HIGH,False,False,NORMAL,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH
HIGH,False,False,NORMAL,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,LOW
HIGH,False,False,NORMAL,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,ZERO
HIGH,False,False,NORMAL,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL
LOW,False,False,NORMAL,LOW,ZERO,LOW,NORMAL,ZERO,HIGH,LOW,NORMAL
HIGH,False,False,NORMAL,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL
HIGH,False,False,NORMAL,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH
HIGH,False,False,NORMAL,ZERO,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH
HIGH,False,False,NORMAL,LOW,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,LOW
NORMAL,False,False,NORMAL,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH
LOW,False,False,NORMAL,NORMAL,LOW,NORMAL,NORMAL,NORMAL,NORMAL,LOW,LOW
HIGH,False,False,NORMAL,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL
HIGH,False,False,NORMAL,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL
LOW,False,False,NORMAL,LOW,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,HIGH
HIGH,False,False,NORMAL,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL
HIGH,False,False,NORMAL,LOW,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,HIGH
HIGH,False,False,NORMAL,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,LOW
HIGH,False,False,NORMAL,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,LOW
HIGH,False,False,NORMAL,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH
HIGH,False,False,NORMAL,HIGH,LOW,LOW,HIGH,HIGH,HIGH,LOW,HIGH
LOW,False,False,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,NORMAL,HIGH,HIGH
HIGH,False,False,ESOPHAGEAL,NORMAL,LOW,HIGH,NORMAL,NORMAL,LOW,HIGH,HIGH
HIGH,False,False,NORMAL,LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH
