middel_1,meldug_2,middel_3,meldug_3
0_25_l_ha,0_00___0_01__,0_50_l_ha,0_00___0_01__
0_50_l_ha,0_00___0_01__,0_25_l_ha,0_00___0_01__
0_l_ha,1___2__,0_50_l_ha,0_01___0_5__
0_25_l_ha,0_5___1__,0_75_l_ha,0_00___0_01__
0_50_l_ha,0_00___0_01__,0_75_l_ha,0_00___0_01__
0_50_l_ha,0_01___0_5__,0_25_l_ha,0_00___0_01__
0_75_l_ha,0_00___0_01__,0_50_l_ha,0_00___0_01__
0_l_ha,1___2__,0_50_l_ha,2___6__
0_l_ha,25___50__,0_50_l_ha,0_5___1__
0_l_ha,2___6__,0_l_ha,0_00___0_01__
0_50_l_ha,0_00___0_01__,0_50_l_ha,0_00___0_01__
0_50_l_ha,0_00___0_01__,0_l_ha,0_00___0_01__
0_75_l_ha,0_5___1__,0_25_l_ha,0_00___0_01__
0_75_l_ha,0_00___0_01__,0_25_l_ha,0_00___0_01__
0_25_l_ha,0_00___0_01__,0_l_ha,0_00___0_01__
0_25_l_ha,0_5___1__,0_75_l_ha,0_00___0_01__
0_25_l_ha,0_00___0_01__,0_25_l_ha,0_00___0_01__
0_25_l_ha,25___50__,0_l_ha,10___25__
0_50_l_ha,0_00___0_01__,0_75_l_ha,0_00___0_01__
0_75_l_ha,0_00___0_01__,0_25_l_ha,0_00___0_01__
0_75_l_ha,0_00___0_01__,0_25_l_ha,0_00___0_01__
0_l_ha,25___50__,0_25_l_ha,1___2__
0_l_ha,25___50__,0_l_ha,25___50__
0_25_l_ha,0_00___0_01__,0_50_l_ha,0_00___0_01__
0_l_ha,0_00___0_01__,0_50_l_ha,0_00___0_01__
0_75_l_ha,0_00___0_01__,0_50_l_ha,0_00___0_01__
0_75_l_ha,0_00___0_01__,0_50_l_ha,0_00___0_01__
0_l_ha,0_00___0_01__,0_75_l_ha,0_00___0_01__
0_25_l_ha,0_5___1__,0_50_l_ha,0_00___0_01__
0_l_ha,6___10__,0_50_l_ha,0_5___1__
0_50_l_ha,0_00___0_01__,0_75_l_ha,0_00___0_01__
0_50_l_ha,0_00___0_01__,0_50_l_ha,0_00___0_01__
0_50_l_ha,0_00___0_01__,0_75_l_ha,0_00___0_01__
0_75_l_ha,0_00___0_01__,0_50_l_ha,0_00___0_01__
0_l_ha,25___50__,0_75_l_ha,6___10__
0_l_ha,0_00___0_01__,0_25_l_ha,0_00___0_01__
0_50_l_ha,0_00___0_01__,0_75_l_ha,0_00___0_01__
0_75_l_ha,6___10__,0_25_l_ha,1___2__
0_50_l_ha,0_00___0_01__,0_75_l_ha,0_00___0_01__
0_25_l_ha,0_00___0_01__,0_50_l_ha,0_00___0_01__
0_75_l_ha,1___2__,0_l_ha,0_00___0_01__
0_50_l_ha,0_00___0_01__,0_l_ha,0_00___0_01__
0_25_l_ha,0_00___0_01__,0_50_l_ha,0_00___0_01__
0_75_l_ha,0_00___0_01__,0_75_l_ha,0_00___0_01__
0_75_l_ha,0_00___0_01__,0_l_ha,0_00___0_01__
0_25_l_ha,0_00___0_01__,0_50_l_ha,0_00___0_01__
0_l_ha,0_00___0_01__,0_75_l_ha,0_00___0_01__
0_l_ha,1___2__,0_75_l_ha,0_00___0_01__
0_l_ha,10___25__,0_25_l_ha,0_00___0_01__
0_50_l_ha,0_00___0_01__,0_50_l_ha,0_00___0_01__
0_50_l_ha,0_5___1__,0_l_ha,0_00___0_01__
0_25_l_ha,0_5___1__,0_l_ha,0_00___0_01__
0_75_l_ha,6___10__,0_50_l_ha,0_00___0_01__
0_50_l_ha,1___2__,0_25_l_ha,0_00___0_01__
0_25_l_ha,0_00___0_01__,0_25_l_ha,0_00___0_01__
0_75_l_ha,0_00___0_01__,0_50_l_ha,0_00___0_01__
0_50_l_ha,0_5___1__,0_50_l_ha,0_01___0_5__
0_25_l_ha,0_5___1__,0_l_ha,2___6__
0_50_l_ha,0_5___1__,0_50_l_ha,0_00___0_01__
0_25_l_ha,0_00___0_01__,0_75_l_ha,0_00___0_01__
0_50_l_ha,0_00___0_01__,0_25_l_ha,0_00___0_01__
0_l_ha,50___100__,0_25_l_ha,6___10__
0_50_l_ha,0_5___1__,0_l_ha,0_00___0_01__
0_75_l_ha,0_01___0_5__,0_l_ha,0_00___0_01__
0_75_l_ha,0_5___1__,0_25_l_ha,0_00___0_01__
0_75_l_ha,0_00___0_01__,0_75_l_ha,0_00___0_01__
0_75_l_ha,0_01___0_5__,0_l_ha,0_00___0_01__
0_50_l_ha,0_00___0_01__,0_l_ha,0_00___0_01__
0_75_l_ha,0_01___0_5__,0_75_l_ha,0_00___0_01__
0_50_l_ha,0_00___0_01__,0_25_l_ha,0_00___0_01__
0_l_ha,50___100__,0_75_l_ha,0_5___1__
0_l_ha,0_01___0_5__,0_25_l_ha,0_00___0_01__
0_25_l_ha,0_00___0_01__,0_75_l_ha,0_00___0_01__
0_75_l_ha,0_00___0_01__,0_25_l_ha,0_00___0_01__
0_50_l_ha,2___6__,0_l_ha,2___6__
0_50_l_ha,0_00___0_01__,0_75_l_ha,0_00___0_01__
0_50_l_ha,1___2__,0_l_ha,0_01___0_5__
0_50_l_ha,0_01___0_5__,0_l_ha,0_00___0_01__
0_75_l_ha,0_00___0_01__,0_75_l_ha,0_00___0_01__
0_50_l_ha,0_00___0_01__,0_75_l_ha,0_00___0_01__
0_l_ha,2___6__,0_l_ha,0_00___0_01__
0_50_l_ha,0_00___0_01__,0_l_ha,0_00___0_01__
0_50_l_ha,0_01___0_5__,0_25_l_ha,0_00___0_01__
0_50_l_ha,0_00___0_01__,0_75_l_ha,0_00___0_01__
0_75_l_ha,0_00___0_01__,0_25_l_ha,0_00___0_01__
0_50_l_ha,0_00___0_01__,0_25_l_ha,0_00___0_01__
0_l_ha,50___100__,0_75_l_ha,2___6__
0_50_l_ha,0_00___0_01__,0_l_ha,0_00___0_01__
0_l_ha,2___6__,0_75_l_ha,0_00___0_01__
0_25_l_ha,0_00___0_01__,0_25_l_ha,0_00___0_01__
0_25_l_ha,0_00___0_01__,0_50_l_ha,0_00___0_01__
0_50_l_ha,0_01___0_5__,0_25_l_ha,0_00___0_01__
0_75_l_ha,0_00___0_01__,0_75_l_ha,0_00___0_01__
0_75_l_ha,0_00___0_01__,0_75_l_ha,0_00___0_01__
0_50_l_ha,0_00___0_01__,0_50_l_ha,0_00___0_01__
0_50_l_ha,0_00___0_01__,0_50_l_ha,0_00___0_01__
0_50_l_ha,0_00___0_01__,0_50_l_ha,0_00___0_01__
0_50_l_ha,2___6__,0_50_l_ha,0_5___1__
0_75_l_ha,10___25__,0_25_l_ha,0_00___0_01__
0_75_l_ha,0_00___0_01__,0_l_ha,0_00___0_01__
0_l_ha,1___2__,0_50_l_ha,0_00___0_01__
0_75_l_ha,0_00___0_01__,0_25_l_ha,0_00___0_01__
0_75_l_ha,0_00___0_01__,0_25_l_ha,0_00___0_01__
0_50_l_ha,0_01___0_5__,0_25_l_ha,0_00___0_01__
0_75_l_ha,0_01___0_5__,0_75_l_ha,0_00___0_01__
0_l_ha,1___2__,0_l_ha,0_00___0_01__
0_25_l_ha,0_00___0_01__,0_75_l_ha,0_00___0_01__
0_l_ha,0_5___1__,0_25_l_ha,2___6__
0_25_l_ha,1___2__,0_50_l_ha,0_00___0_01__
0_50_l_ha,0_00___0_01__,0_25_l_ha,0_00___0_01__
0_75_l_ha,0_01___0_5__,0_75_l_ha,0_00___0_01__
0_25_l_ha,0_00___0_01__,0_50_l_ha,0_00___0_01__
0_50_l_ha,0_00___0_01__,0_50_l_ha,0_00___0_01__
0_75_l_ha,0_00___0_01__,0_50_l_ha,0_00___0_01__
0_l_ha,0_00___0_01__,0_50_l_ha,0_00___0_01__
0_75_l_ha,0_00___0_01__,0_75_l_ha,0_00___0_01__
0_50_l_ha,0_01___0_5__,0_75_l_ha,0_00___0_01__
0_50_l_ha,0_00___0_01__,0_25_l_ha,0_00___0_01__
0_75_l_ha,0_00___0_01__,0_l_ha,0_00___0_01__
0_50_l_ha,0_00___0_01__,0_75_l_ha,0_00___0_01__
0_50_l_ha,6___10__,0_75_l_ha,2___6__
0_50_l_ha,0_00___0_01__,0_l_ha,0_00___0_01__
0_50_l_ha,2___6__,0_75_l_ha,0_00___0_01__
0_l_ha,25___50__,0_75_l_ha,0_5___1__
0_l_ha,10___25__,0_25_l_ha,0_01___0_5__
0_50_l_ha,0_01___0_5__,0_l_ha,0_00___0_01__
0_75_l_ha,0_00___0_01__,0_25_l_ha,0_00___0_01__
0_50_l_ha,1___2__,0_75_l_ha,0_00___0_01__
0_75_l_ha,0_01___0_5__,0_75_l_ha,0_00___0_01__
0_50_l_ha,0_00___0_01__,0_50_l_ha,0_00___0_01__
0_50_l_ha,0_00___0_01__,0_25_l_ha,0_00___0_01__
0_l_ha,25___50__,0_75_l_ha,1___2__
0_25_l_ha,0_00___0_01__,0_75_l_ha,0_01___0_5__
0_50_l_ha,0_5___1__,0_75_l_ha,0_00___0_01__
0_25_l_ha,0_00___0_01__,0_25_l_ha,0_00___0_01__
0_l_ha,10___25__,0_25_l_ha,0_5___1__
0_25_l_ha,0_00___0_01__,0_75_l_ha,0_00___0_01__
0_l_ha,6___10__,0_75_l_ha,0_5___1__
0_l_ha,25___50__,0_75_l_ha,0_00___0_01__
0_75_l_ha,0_5___1__,0_50_l_ha,0_00___0_01__
0_50_l_ha,0_00___0_01__,0_25_l_ha,0_00___0_01__
0_l_ha,50___100__,0_25_l_ha,10___25__
0_l_ha,10___25__,0_25_l_ha,0_01___0_5__
0_25_l_ha,2___6__,0_75_l_ha,0_00___0_01__
0_75_l_ha,0_00___0_01__,0_75_l_ha,0_00___0_01__
0_l_ha,0_00___0_01__,0_50_l_ha,0_00___0_01__
0_50_l_ha,0_5___1__,0_l_ha,0_5___1__
0_50_l_ha,0_00___0_01__,0_25_l_ha,0_00___0_01__
0_l_ha,1___2__,0_75_l_ha,0_00___0_01__
0_75_l_ha,0_00___0_01__,0_75_l_ha,0_00___0_01__
0_25_l_ha,0_00___0_01__,0_l_ha,0_5___1__
0_25_l_ha,0_00___0_01__,0_l_ha,0_00___0_01__
0_50_l_ha,0_00___0_01__,0_50_l_ha,0_00___0_01__
0_50_l_ha,0_00___0_01__,0_50_l_ha,0_00___0_01__
0_25_l_ha,6___10__,0_25_l_ha,0_01___0_5__
0_l_ha,2___6__,0_75_l_ha,0_00___0_01__
0_50_l_ha,0_5___1__,0_l_ha,0_00___0_01__
0_25_l_ha,0_00___0_01__,0_l_ha,0_00___0_01__
0_l_ha,0_01___0_5__,0_25_l_ha,0_00___0_01__
0_25_l_ha,0_00___0_01__,0_l_ha,0_00___0_01__
0_l_ha,6___10__,0_75_l_ha,0_00___0_01__
0_l_ha,6___10__,0_l_ha,0_5___1__
0_50_l_ha,0_00___0_01__,0_75_l_ha,0_00___0_01__
0_75_l_ha,0_01___0_5__,0_l_ha,0_00___0_01__
0_50_l_ha,0_00___0_01__,0_75_l_ha,0_00___0_01__
0_l_ha,10___25__,0_25_l_ha,10___25__
0_75_l_ha,0_00___0_01__,0_50_l_ha,0_00___0_01__
0_l_ha,0_01___0_5__,0_25_l_ha,0_00___0_01__
0_l_ha,0_00___0_01__,0_25_l_ha,0_00___0_01__
0_l_ha,0_5___1__,0_75_l_ha,0_00___0_01__
0_25_l_ha,1___2__,0_l_ha,0_00___0_01__
0_25_l_ha,0_00___0_01__,0_75_l_ha,0_00___0_01__
0_50_l_ha,0_00___0_01__,0_75_l_ha,0_00___0_01__
0_l_ha,1___2__,0_l_ha,10___25__
0_25_l_ha,0_00___0_01__,0_25_l_ha,0_00___0_01__
0_l_ha,0_00___0_01__,0_75_l_ha,0_00___0_01__
0_75_l_ha,0_00___0_01__,0_75_l_ha,0_00___0_01__
0_75_l_ha,0_00___0_01__,0_25_l_ha,0_00___0_01__
0_25_l_ha,0_00___0_01__,0_l_ha,0_00___0_01__
0_l_ha,50___100__,0_25_l_ha,2___6__
0_75_l_ha,0_5___1__,0_l_ha,0_00___0_01__
0_l_ha,0_00___0_01__,0_75_l_ha,0_00___0_01__
0_75_l_ha,0_00___0_01__,0_75_l_ha,0_00___0_01__
0_75_l_ha,0_01___0_5__,0_50_l_ha,0_00___0_01__
0_l_ha,0_5___1__,0_75_l_ha,0_00___0_01__
0_25_l_ha,0_01___0_5__,0_75_l_ha,0_00___0_01__
0_l_ha,2___6__,0_25_l_ha,0_00___0_01__
0_75_l_ha,0_5___1__,0_25_l_ha,0_00___0_01__
0_75_l_ha,0_00___0_01__,0_75_l_ha,0_5___1__
0_75_l_ha,0_00___0_01__,0_l_ha,0_00___0_01__
0_l_ha,50___100__,0_75_l_ha,0_5___1__
0_50_l_ha,0_00___0_01__,0_75_l_ha,0_00___0_01__
0_l_ha,2___6__,0_75_l_ha,0_00___0_01__
0_75_l_ha,0_00___0_01__,0_50_l_ha,0_00___0_01__
0_l_ha,10___25__,0_50_l_ha,0_00___0_01__
0_50_l_ha,1___2__,0_50_l_ha,0_00___0_01__
0_25_l_ha,6___10__,0_75_l_ha,0_01___0_5__
0_25_l_ha,0_00___0_01__,0_l_ha,0_00___0_01__
0_25_l_ha,0_00___0_01__,0_50_l_ha,0_00___0_01__
0_25_l_ha,0_00___0_01__,0_l_ha,0_00___0_01__
0_25_l_ha,2___6__,0_75_l_ha,0_01___0_5__
0_l_ha,2___6__,0_50_l_ha,0_5___1__
0_50_l_ha,0_00___0_01__,0_l_ha,0_00___0_01__
0_75_l_ha,0_00___0_01__,0_75_l_ha,0_00___0_01__
0_75_l_ha,0_00___0_01__,0_l_ha,0_00___0_01__
0_l_ha,0_00___0_01__,0_25_l_ha,0_00___0_01__
0_75_l_ha,0_00___0_01__,0_50_l_ha,0_00___0_01__
0_50_l_ha,0_00___0_01__,0_75_l_ha,0_00___0_01__
0_75_l_ha,0_00___0_01__,0_75_l_ha,0_00___0_01__
0_50_l_ha,0_00___0_01__,0_25_l_ha,0_00___0_01__
0_75_l_ha,0_00___0_01__,0_25_l_ha,0_00___0_01__
0_25_l_ha,0_00___0_01__,0_50_l_ha,0_00___0_01__
0_l_ha,2___6__,0_l_ha,2___6__
0_25_l_ha,1___2__,0_l_ha,0_00___0_01__
0_l_ha,10___25__,0_25_l_ha,0_01___0_5__
0_25_l_ha,0_5___1__,0_50_l_ha,1___2__
0_l_ha,6___10__,0_75_l_ha,0_00___0_01__
0_75_l_ha,0_00___0_01__,0_l_ha,0_00___0_01__
0_75_l_ha,0_00___0_01__,0_50_l_ha,0_00___0_01__
0_50_l_ha,0_00___0_01__,0_75_l_ha,0_00___0_01__
0_25_l_ha,6___10__,0_50_l_ha,0_01___0_5__
0_25_l_ha,0_00___0_01__,0_l_ha,0_00___0_01__
0_25_l_ha,25___50__,0_75_l_ha,6___10__
0_75_l_ha,0_01___0_5__,0_25_l_ha,0_00___0_01__
0_75_l_ha,1___2__,0_l_ha,0_00___0_01__
0_50_l_ha,0_00___0_01__,0_50_l_ha,0_01___0_5__
0_75_l_ha,0_00___0_01__,0_50_l_ha,0_00___0_01__
0_l_ha,0_5___1__,0_25_l_ha,0_00___0_01__
0_25_l_ha,0_00___0_01__,0_l_ha,0_00___0_01__
0_25_l_ha,6___10__,0_25_l_ha,0_00___0_01__
0_75_l_ha,0_5___1__,0_25_l_ha,0_01___0_5__
0_50_l_ha,0_00___0_01__,0_50_l_ha,0_00___0_01__
0_75_l_ha,0_00___0_01__,0_75_l_ha,0_00___0_01__
0_50_l_ha,0_00___0_01__,0_75_l_ha,0_00___0_01__
0_l_ha,1___2__,0_l_ha,0_00___0_01__
0_l_ha,0_00___0_01__,0_50_l_ha,0_00___0_01__
0_75_l_ha,6___10__,0_l_ha,0_5___1__
0_50_l_ha,2___6__,0_75_l_ha,0_00___0_01__
0_50_l_ha,0_5___1__,0_l_ha,0_00___0_01__
0_50_l_ha,0_00___0_01__,0_75_l_ha,0_00___0_01__
0_25_l_ha,0_01___0_5__,0_75_l_ha,0_5___1__
0_75_l_ha,0_00___0_01__,0_50_l_ha,0_00___0_01__
0_25_l_ha,0_01___0_5__,0_75_l_ha,0_00___0_01__
0_l_ha,50___100__,0_50_l_ha,6___10__
0_l_ha,25___50__,0_50_l_ha,0_01___0_5__
0_75_l_ha,0_01___0_5__,0_75_l_ha,0_00___0_01__
