CO2Report,CO2,DuctFlow,Sick,LungParench
<7.5,Normal,Lt_to_Rt,no,Normal
<7.5,Normal,Lt_to_Rt,no,Normal
>=7.5,High,Lt_to_Rt,yes,Abnormal
<7.5,Normal,Lt_to_Rt,no,Abnormal
<7.5,Normal,,no,Normal
<7.5,Normal,,yes,Normal
>=7.5,Normal,Lt_to_Rt,no,Normal
>=7.5,High,,no,Normal
<7.5,Normal,Lt_to_Rt,yes,Normal
<7.5,Normal,Lt_to_Rt,no,Normal
<7.5,Low,,no,Normal
<7.5,Normal,Lt_to_Rt,yes,Congested
>=7.5,High,Lt_to_Rt,no,Normal
>=7.5,High,,no,Abnormal
<7.5,Normal,Lt_to_Rt,yes,Congested
<7.5,Low,,no,Normal
<7.5,Normal,,yes,Congested
<7.5,Normal,,no,Normal
<7.5,Normal,Rt_to_Lt,yes,Congested
<7.5,Normal,Lt_to_Rt,no,Abnormal
<7.5,Normal,Lt_to_Rt,no,Normal
<7.5,Normal,,no,Normal
<7.5,Normal,,yes,Normal
<7.5,Low,,no,Normal
<7.5,Normal,Lt_to_Rt,no,Normal
<7.5,Normal,,yes,Normal
<7.5,Normal,,no,Congested
<7.5,Normal,Lt_to_Rt,yes,Normal
<7.5,Normal,Lt_to_Rt,no,Abnormal
<7.5,Normal,Lt_to_Rt,yes,Abnormal
>=7.5,Normal,Rt_to_Lt,no,Normal
>=7.5,Normal,Lt_to_Rt,no,Normal
<7.5,Normal,Lt_to_Rt,no,Normal
<7.5,Normal,,yes,Normal
<7.5,Normal,,no,Normal
<7.5,Normal,Lt_to_Rt,yes,Congested
<7.5,Normal,,no,Normal
<7.5,Low,Lt_to_Rt,no,Normal
<7.5,Normal,Lt_to_Rt,no,Congested
<7.5,Normal,Lt_to_Rt,no,Congested
<7.5,Normal,Lt_to_Rt,yes,Abnormal
<7.5,Normal,Lt_to_Rt,no,Normal
<7.5,Normal,,yes,Abnormal
<7.5,Normal,Lt_to_Rt,no,Abnormal
<7.5,Normal,Rt_to_Lt,no,Normal
<7.5,Normal,Lt_to_Rt,no,Congested
<7.5,Normal,,yes,Normal
<7.5,Normal,Lt_to_Rt,no,Normal
<7.5,Normal,Lt_to_Rt,yes,Normal
<7.5,Normal,Lt_to_Rt,yes,Normal
>=7.5,High,,no,Normal
<7.5,Normal,Rt_to_Lt,yes,Normal
<7.5,Normal,,yes,Congested
<7.5,Normal,,yes,Abnormal
>=7.5,High,Lt_to_Rt,no,Normal
>=7.5,Low,,no,Normal
<7.5,Normal,Lt_to_Rt,no,Normal
<7.5,Low,Lt_to_Rt,no,Normal
<7.5,Normal,Lt_to_Rt,no,Normal
<7.5,Normal,,no,Abnormal
<7.5,Low,,no,Normal
>=7.5,High,Lt_to_Rt,no,Abnormal
<7.5,Normal,Lt_to_Rt,no,Normal
>=7.5,Normal,Lt_to_Rt,no,Normal
<7.5,Normal,Lt_to_Rt,yes,Normal
<7.5,Normal,Lt_to_Rt,yes,Normal
<7.5,Normal,,yes,Normal
<7.5,Normal,,yes,Normal
<7.5,Normal,Lt_to_Rt,no,Normal
<7.5,Normal,Lt_to_Rt,no,Normal
