LungFlow,XrayReport,ChestXray,LungParench
Low,Normal,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Normal,Asy/Patch,Abnormal
Low,Asy/Patchy,Asy/Patch,Abnormal
Low,Oligaemic,Oligaemic,Normal
High,Asy/Patchy,Oligaemic,Normal
Normal,Normal,Normal,Normal
Low,Asy/Patchy,Normal,Normal
Low,Normal,Oligaemic,Normal
Low,Asy/Patchy,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
Low,Grd_Glass,Grd_Glass,Congested
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Oligaemic,Abnormal
Low,Asy/Patchy,Asy/Patch,Congested
Low,Oligaemic,Oligaemic,Normal
Normal,Asy/Patchy,Grd_Glass,Congested
Normal,Normal,Normal,Normal
High,Grd_Glass,Grd_Glass,Congested
Normal,Plethoric,Asy/Patch,Abnormal
Low,Oligaemic,Oligaemic,Normal
High,Asy/Patchy,Plethoric,Normal
High,Plethoric,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
Normal,Normal,Normal,Normal
High,Plethoric,Plethoric,Normal
Normal,Grd_Glass,Grd_Glass,Congested
Low,Oligaemic,Oligaemic,Normal
Low,Asy/Patchy,Asy/Patch,Abnormal
Normal,Asy/Patchy,Asy/Patch,Abnormal
Low,Oligaemic,Oligaemic,Normal
High,Normal,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
High,Plethoric,Plethoric,Normal
Low,Asy/Patchy,Grd_Glass,Congested
High,Plethoric,Plethoric,Normal
Low,Normal,Normal,Normal
Low,Plethoric,Plethoric,Congested
Normal,Grd_Glass,Grd_Glass,Congested
Low,Normal,Oligaemic,Abnormal
High,Plethoric,Plethoric,Normal
High,Normal,Grd_Glass,Abnormal
Normal,Asy/Patchy,Asy/Patch,Abnormal
Low,Grd_Glass,Oligaemic,Normal
Low,Normal,Normal,Congested
Normal,Normal,Normal,Normal
High,Asy/Patchy,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
Normal,Normal,Normal,Normal
High,Normal,Normal,Normal
High,Plethoric,Plethoric,Normal
Normal,Plethoric,Plethoric,Congested
High,Asy/Patchy,Asy/Patch,Abnormal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Plethoric,Grd_Glass,Normal
High,Plethoric,Plethoric,Normal
Normal,Asy/Patchy,Asy/Patch,Abnormal
High,Plethoric,Plethoric,Normal
Low,Normal,Grd_Glass,Abnormal
Low,Grd_Glass,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Normal,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Normal,Normal,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
Normal,Asy/Patchy,Asy/Patch,Abnormal
Low,Normal,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
High,Normal,Normal,Abnormal
Normal,Normal,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
Normal,Grd_Glass,Asy/Patch,Abnormal
Normal,Normal,Normal,Normal
Low,Plethoric,Normal,Congested
Low,Asy/Patchy,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
Low,Plethoric,Asy/Patch,Abnormal
High,Oligaemic,Oligaemic,Abnormal
Low,Oligaemic,Oligaemic,Normal
Low,Plethoric,Oligaemic,Normal
Normal,Normal,Normal,Normal
Low,Normal,Oligaemic,Normal
High,Normal,Normal,Normal
High,Oligaemic,Oligaemic,Abnormal
Normal,Grd_Glass,Asy/Patch,Abnormal
High,Plethoric,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
Normal,Oligaemic,Oligaemic,Abnormal
High,Plethoric,Plethoric,Normal
Normal,Asy/Patchy,Asy/Patch,Abnormal
Low,Normal,Oligaemic,Normal
High,Grd_Glass,Asy/Patch,Congested
Low,Asy/Patchy,Asy/Patch,Abnormal
High,Plethoric,Plethoric,Normal
Normal,Normal,Normal,Normal
High,Plethoric,Plethoric,Congested
High,Normal,Normal,Normal
High,Normal,Plethoric,Congested
High,Plethoric,Plethoric,Normal
Low,Asy/Patchy,Asy/Patch,Abnormal
Normal,Normal,Normal,Normal
