Age,Disease,XrayReport,CO2Report,Grunting,CO2,GruntingReport,Sick,LVH,LungParench
11-30_days,Fallot,Normal,<7.5,no,Normal,no,no,no,Normal
0-3_days,PFC,Oligaemic,<7.5,no,Normal,no,no,no,Normal
4-10_days,PAIVS,Normal,>=7.5,yes,High,yes,yes,yes,Abnormal
11-30_days,Fallot,Asy/Patchy,<7.5,yes,Normal,yes,no,no,Abnormal
0-3_days,TGA,Oligaemic,<7.5,no,Normal,no,no,no,Normal
0-3_days,TGA,Asy/Patchy,<7.5,no,Normal,no,yes,no,Normal
4-10_days,PAIVS,Normal,>=7.5,no,Normal,no,no,yes,Normal
11-30_days,Fallot,Asy/Patchy,>=7.5,no,High,no,no,no,Normal
0-3_days,PAIVS,Normal,<7.5,no,Normal,no,yes,yes,Normal
11-30_days,Fallot,Asy/Patchy,<7.5,no,Normal,no,no,no,Normal
11-30_days,TGA,Plethoric,<7.5,no,Low,yes,no,yes,Normal
0-3_days,Fallot,Grd_Glass,<7.5,yes,Normal,yes,yes,no,Congested
0-3_days,PAIVS,Oligaemic,>=7.5,no,High,yes,no,yes,Normal
0-3_days,TGA,Plethoric,>=7.5,yes,High,yes,no,no,Abnormal
0-3_days,PAIVS,Asy/Patchy,<7.5,no,Normal,no,yes,yes,Congested
0-3_days,TGA,Oligaemic,<7.5,no,Low,no,no,no,Normal
0-3_days,Lung,Asy/Patchy,<7.5,no,Normal,no,yes,no,Congested
4-10_days,TGA,Normal,<7.5,no,Normal,no,no,yes,Normal
0-3_days,TAPVD,Grd_Glass,<7.5,yes,Normal,yes,yes,no,Congested
4-10_days,Fallot,Plethoric,<7.5,no,Normal,no,no,no,Abnormal
0-3_days,PAIVS,Oligaemic,<7.5,no,Normal,no,no,no,Normal
0-3_days,TGA,Asy/Patchy,<7.5,no,Normal,yes,no,yes,Normal
0-3_days,TGA,Plethoric,<7.5,no,Normal,no,yes,no,Normal
11-30_days,Fallot,Oligaemic,<7.5,no,Low,no,no,no,Normal
0-3_days,PAIVS,Normal,<7.5,no,Normal,no,no,yes,Normal
0-3_days,TGA,Plethoric,<7.5,no,Normal,no,yes,no,Normal
0-3_days,Lung,Grd_Glass,<7.5,no,Normal,no,no,no,Congested
4-10_days,PAIVS,Oligaemic,<7.5,no,Normal,no,yes,yes,Normal
0-3_days,PAIVS,Asy/Patchy,<7.5,no,Normal,no,no,yes,Abnormal
0-3_days,PFC,Asy/Patchy,<7.5,no,Normal,no,yes,no,Abnormal
0-3_days,PFC,Oligaemic,>=7.5,no,Normal,no,no,no,Normal
0-3_days,PAIVS,Normal,>=7.5,no,Normal,no,no,yes,Normal
11-30_days,Fallot,Oligaemic,<7.5,no,Normal,no,no,no,Normal
0-3_days,TGA,Plethoric,<7.5,no,Normal,no,yes,no,Normal
11-30_days,TGA,Plethoric,<7.5,no,Normal,no,no,no,Normal
0-3_days,PFC,Asy/Patchy,<7.5,yes,Normal,yes,yes,no,Congested
0-3_days,TGA,Plethoric,<7.5,no,Normal,no,no,no,Normal
4-10_days,Fallot,Normal,<7.5,no,Low,yes,no,no,Normal
11-30_days,Fallot,Plethoric,<7.5,no,Normal,no,no,no,Congested
11-30_days,TAPVD,Grd_Glass,<7.5,no,Normal,no,no,no,Congested
0-3_days,Fallot,Normal,<7.5,yes,Normal,yes,yes,no,Abnormal
0-3_days,Fallot,Plethoric,<7.5,no,Normal,no,no,no,Normal
11-30_days,TGA,Normal,<7.5,no,Normal,no,yes,no,Abnormal
11-30_days,Fallot,Asy/Patchy,<7.5,yes,Normal,yes,no,no,Abnormal
0-3_days,PFC,Grd_Glass,<7.5,no,Normal,no,no,no,Normal
11-30_days,Fallot,Normal,<7.5,yes,Normal,yes,no,no,Congested
0-3_days,TGA,Normal,<7.5,no,Normal,no,yes,no,Normal
0-3_days,TGA,Asy/Patchy,<7.5,yes,Normal,yes,no,yes,Normal
11-30_days,Fallot,Oligaemic,<7.5,yes,Normal,yes,yes,no,Normal
0-3_days,Fallot,Normal,<7.5,no,Normal,no,yes,no,Normal
11-30_days,TGA,Normal,>=7.5,no,High,no,no,no,Normal
0-3_days,PFC,Plethoric,<7.5,no,Normal,no,yes,no,Normal
0-3_days,Lung,Plethoric,<7.5,yes,Normal,yes,yes,no,Congested
0-3_days,TGA,Asy/Patchy,<7.5,yes,Normal,yes,yes,no,Abnormal
0-3_days,PAIVS,Oligaemic,>=7.5,no,High,no,no,yes,Normal
0-3_days,TGA,Plethoric,>=7.5,no,Low,no,no,no,Normal
0-3_days,Fallot,Oligaemic,<7.5,no,Normal,yes,no,no,Normal
11-30_days,Fallot,Plethoric,<7.5,no,Low,no,no,yes,Normal
0-3_days,TGA,Plethoric,<7.5,no,Normal,no,no,no,Normal
4-10_days,Lung,Asy/Patchy,<7.5,no,Normal,no,no,no,Abnormal
4-10_days,TGA,Plethoric,<7.5,no,Low,no,no,no,Normal
0-3_days,PAIVS,Normal,>=7.5,yes,High,yes,no,yes,Abnormal
0-3_days,Fallot,Grd_Glass,<7.5,no,Normal,no,no,no,Normal
0-3_days,PAIVS,Oligaemic,>=7.5,no,Normal,no,no,yes,Normal
4-10_days,PAIVS,Oligaemic,<7.5,no,Normal,no,yes,yes,Normal
0-3_days,PAIVS,Normal,<7.5,no,Normal,no,yes,yes,Normal
4-10_days,Fallot,Oligaemic,<7.5,yes,Normal,yes,yes,no,Normal
4-10_days,TGA,Oligaemic,<7.5,no,Normal,no,yes,no,Normal
