G,N,S
AR,Heart Attack,AR_AMI-4
CA,Heart Attack,CA_AMI-5
AK,Heart Attack,AK_AMI-1
AZ,Heart Failure,AZ_HF-3
AK,Pneumonia,AK_PN-3B
CA,Heart Attack,CA_AMI-5
AR,Heart Attack,AR_AMI-7A
AL,Heart Attack,AL_AMI-4
AL,Heart Attack,AL_AMI-3
CA,Heart Attack,CA_AMI-7A
AR,Heart Attack,AR_AMI-3
AZ,Heart Failure,AZ_HF-3
AR,Heart Attack,AR_AMI-2
AR,Heart Attack,AR_AMI-5
CA,Surgical Infection Prevention,CA_SCIP-CARD-2
AZ,Surgical Infection Prevention,AZ_SCIP-VTE-1
AZ,Heart Attack,AZ_AMI-5
AL,Heart Attack,AL_AMI-3
AZ,Heart Failure,AZ_HF-1
AL,Heart Attack,AL_AMI-5
AL,Pneumonia,AL_PN-3B
AL,Heart Attack,AL_AMI-7A
AL,Heart Attack,AL_AMI-7A
CA,Heart Attack,CA_AMI-3
AR,Heart Attack,AR_AMI-1
AL,Heart Attack,AL_AMI-1
CA,Heart Attack,CA_AMI-7A
AR,Heart Attack,AR_AMI-1
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
CA,Heart Attack,CA_AMI-2
AK,Heart Failure,AK_HF-4
CA,Heart Attack,CA_AMI-2
AR,Heart Attack,AR_AMI-5
AR,Heart Attack,AR_AMI-7A
AL,Heart Attack,AL_AMI-5
AR,Pneumonia,AR_PN-3B
AR,Heart Attack,AR_AMI-2
AL,Heart Attack,AL_AMI-2
CA,Heart Attack,CA_AMI-4
AZ,Heart Failure,AZ_HF-2
AL,Surgical Infection Prevention,AL_SCIP-VTE-2
AL,Heart Attack,AL_AMI-5
AK,Heart Attack,AK_AMI-7A
AL,Heart Attack,AL_AMI-2
AR,Heart Attack,AR_AMI-2
AZ,Surgical Infection Prevention,AZ_SCIP-CARD-2
AL,Heart Attack,AL_AMI-4
AL,Heart Attack,AL_AMI-4
AL,Heart Attack,AL_AMI-5
CA,Heart Attack,CA_AMI-7A
CA,Surgical Infection Prevention,CA_SCIP-INF-4
AL,Heart Attack,AL_AMI-2
AL,Heart Attack,AL_AMI-3
AR,Heart Attack,AR_AMI-3
AL,Heart Attack,AL_AMI-3
CA,Heart Attack,CA_AMI-5
AZ,Heart Attack,AZ_AMI-1
AK,Heart Attack,AK_AMI-5
AR,Heart Attack,AR_AMI-4
CA,Heart Attack,CA_AMI-4
AR,Heart Attack,AR_AMI-5
AL,Surgical Infection Prevention,AL_SCIP-INF-3
CA,Heart Attack,CA_AMI-4
AZ,Heart Attack,AZ_AMI-3
AL,Heart Attack,AL_AMI-3
CA,Heart Attack,CA_AMI-3
AR,Heart Attack,AR_AMI-3
AK,Heart Attack,AK_AMI-5
AL,Heart Attack,AL_AMI-4
AR,Heart Attack,AR_AMI-4
CA,Heart Attack,CA_AMI-4
AL,Surgical Infection Prevention,AL_SCIP-INF-3
AZ,Heart Failure,AZ_HF-1
AL,Surgical Infection Prevention,AL_SCIP-CARD-2
AZ,Heart Attack,AZ_AMI-7A
AL,Heart Attack,AL_AMI-4
AL,Heart Attack,AL_AMI-5
AL,Heart Attack,AL_AMI-5
AK,Heart Failure,AK_HF-4
AL,Heart Attack,AL_AMI-3
AK,Heart Attack,AK_AMI-5
AZ,Heart Failure,AZ_HF-3
AZ,Heart Attack,AZ_AMI-2
AK,Heart Failure,AK_HF-1
CA,Heart Attack,CA_AMI-7A
AL,Heart Attack,AL_AMI-3
AZ,Heart Attack,AZ_AMI-3
CA,Heart Attack,CA_AMI-4
AK,Heart Attack,AK_AMI-1
CA,Heart Attack,CA_AMI-7A
CA,Heart Attack,CA_AMI-5
AL,Surgical Infection Prevention,AL_SCIP-CARD-2
AL,Heart Attack,AL_AMI-5
AL,Heart Attack,AL_AMI-2
AR,Heart Failure,AR_HF-3
AL,Heart Attack,AL_AMI-3
CA,Heart Attack,CA_AMI-4
AK,Heart Failure,AK_HF-3
AR,Heart Attack,AR_AMI-4
CA,Heart Attack,CA_AMI-8A
CA,Heart Attack,CA_AMI-4
AZ,Surgical Infection Prevention,AZ_SCIP-INF-4
AL,Heart Attack,AL_AMI-3
AR,Heart Attack,AR_AMI-4
AZ,Heart Failure,AZ_HF-1
AZ,Heart Failure,AZ_HF-1
AZ,Heart Failure,AZ_HF-2
AL,Heart Attack,AL_AMI-2
AL,Heart Attack,AL_AMI-5
AL,Heart Attack,AL_AMI-1
AL,Heart Attack,AL_AMI-5
AZ,Heart Attack,AZ_AMI-3
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
AR,Heart Attack,AR_AMI-5
AK,Pneumonia,AK_PN-3B
AR,Surgical Infection Prevention,AR_SCIP-INF-4
AR,Heart Attack,AR_AMI-3
CA,Heart Attack,CA_AMI-3
AZ,Heart Failure,AZ_HF-2
AZ,Surgical Infection Prevention,AZ_SCIP-VTE-2
AR,Heart Attack,AR_AMI-4
AZ,Heart Attack,AZ_AMI-3
AL,Heart Attack,AL_AMI-7A
AR,Surgical Infection Prevention,AR_SCIP-CARD-2
AL,Surgical Infection Prevention,AL_SCIP-VTE-1
AL,Heart Attack,AL_AMI-3
AR,Heart Failure,AR_HF-3
AZ,Heart Failure,AZ_HF-3
AL,Heart Failure,AL_HF-4
CA,Heart Attack,CA_AMI-4
AZ,Heart Failure,AZ_HF-3
AL,Heart Attack,AL_AMI-1
AZ,Heart Attack,AZ_AMI-7A
AZ,Heart Attack,AZ_AMI-8A
AL,Heart Attack,AL_AMI-3
AR,Heart Attack,AR_AMI-7A
AL,Heart Attack,AL_AMI-5
AK,Heart Attack,AK_AMI-5
CA,Heart Attack,CA_AMI-3
AK,Heart Attack,AK_AMI-1
AL,Heart Attack,AL_AMI-1
AR,Heart Attack,AR_AMI-7A
AL,Heart Attack,AL_AMI-4
AZ,Heart Attack,AZ_AMI-3
AR,Surgical Infection Prevention,AR_SCIP-CARD-2
AR,Heart Attack,AR_AMI-4
CA,Heart Attack,CA_AMI-3
AZ,Surgical Infection Prevention,AZ_SCIP-INF-4
AR,Heart Attack,AR_AMI-4
CA,Heart Attack,CA_AMI-7A
CA,Surgical Infection Prevention,CA_SCIP-CARD-2
AL,Heart Attack,AL_AMI-4
AR,Heart Attack,AR_AMI-7A
CA,Heart Attack,CA_AMI-4
CA,Heart Attack,CA_AMI-7A
CA,Heart Attack,CA_AMI-3
CA,Surgical Infection Prevention,CA_SCIP-CARD-2
AZ,Pneumonia,AZ_PN-4
AL,Heart Attack,AL_AMI-2
AL,Heart Attack,AL_AMI-1
AR,Heart Attack,AR_AMI-3
AR,Heart Attack,AR_AMI-7A
AZ,Heart Attack,AZ_AMI-4
AR,Heart Attack,AR_AMI-1
AR,Heart Attack,AR_AMI-1
AL,Surgical Infection Prevention,AL_SCIP-INF-2
CA,Surgical Infection Prevention,CA_SCIP-INF-4
AK,Heart Attack,AK_AMI-2
AR,Heart Attack,AR_AMI-4
CA,Heart Attack,CA_AMI-7A
AL,Heart Attack,AL_AMI-5
AR,Heart Failure,AR_HF-4
CA,Heart Attack,CA_AMI-7A
AK,Pneumonia,AK_PN-3B
AK,Heart Failure,AK_HF-4
CA,Heart Attack,CA_AMI-4
CA,Heart Attack,CA_AMI-4
AK,Heart Failure,AK_HF-4
CA,Heart Attack,CA_AMI-4
AL,Heart Attack,AL_AMI-1
AZ,Surgical Infection Prevention,AZ_SCIP-CARD-2
AL,Surgical Infection Prevention,AL_SCIP-INF-2
CA,Heart Failure,CA_HF-4
CA,Surgical Infection Prevention,CA_SCIP-CARD-2
AR,Surgical Infection Prevention,AR_SCIP-CARD-2
AR,Surgical Infection Prevention,AR_SCIP-VTE-2
AK,Heart Attack,AK_AMI-7A
