OriginState,OriginStateFips
NY,36
FL,12
NJ,34
CA,6
CA,6
MO,29
GA,13
NY,36
UT,49
CA,6
VA,51
CO,8
TX,48
TX,48
GA,13
NC,37
CA,6
CO,8
AZ,4
IN,18
IL,17
LA,22
AZ,4
WA,53
GA,13
FL,12
MN,27
MD,24
CA,6
CO,8
CA,6
IL,17
TX,48
WA,53
MA,25
CO,8
MO,29
TX,48
IL,17
NY,36
FL,12
NJ,34
TX,48
WI,55
WA,53
CO,8
VA,51
MI,26
PR,72
CO,8
IL,17
NY,36
ID,16
CA,6
WA,53
FL,12
FL,12
GA,13
TX,48
NV,32
OK,40
TX,48
AK,2
TX,48
CA,6
GA,13
HI,15
CA,6
MS,28
VA,51
CA,6
MI,26
UT,49
VA,51
CA,6
CT,9
FL,12
TX,48
IL,17
NC,37
IL,17
GA,13
CA,6
TX,48
OK,40
IL,17
CO,8
GA,13
GA,13
MA,25
CA,6
TX,48
NY,36
OR,41
CA,6
CA,6
MA,25
AZ,4
IL,17
TX,48
OR,41
FL,12
NV,32
AZ,4
NY,36
TN,47
FL,12
NC,37
PA,42
TX,48
GA,13
NC,37
SC,45
MN,27
MO,29
NC,37
NY,36
RI,44
HI,15
UT,49
NJ,34
PA,42
NM,35
CA,6
NY,36
TX,48
UT,49
NY,36
CA,6
CA,6
MO,29
NC,37
GA,13
VA,51
NJ,34
TX,48
NV,32
FL,12
NV,32
NC,37
MO,29
NC,37
GA,13
GA,13
MO,29
VA,51
AZ,4
FL,12
FL,12
CA,6
HI,15
NY,36
TX,48
36,New York
NC,37
VA,51
VA,51
CA,6
AZ,4
NY,36
CO,8
TX,48
CA,6
VA,51
WA,53
CA,6
GA,13
MN,27
AZ,4
CO,8
AZ,4
TX,48
CA,6
CO,8
MI,26
IL,17
IL,17
AZ,4
IL,17
MO,29
AL,1
OR,41
AZ,4
MN,27
CA,6
NY,36
CO,8
IL,17
MN,27
CA,6
WA,53
CA,6
CA,6
MO,29
IL,17
AZ,4
OR,41
TN,47
UT,49
IL,17
MO,29
MA,25
FL,12
NY,36
TX,48
NV,32
IL,17
TX,48
GA,13
NY,36
CA,6
IN,18
MD,24
FL,12
CA,6
AZ,4
NC,37
TX,48
TX,48
UT,49
CO,8
LA,22
MI,26
AZ,4
CA,6
WY,56
NM,35
VA,51
AZ,4
NY,36
TX,48
FL,12
IL,17
CO,8
VA,51
IN,18
HI,15
IL,17
UT,49
PA,42
TX,48
UT,49
CA,6
WA,53
NC,37
CA,6
FL,12
CA,6
FL,12
CA,6
MN,27
MA,25
FL,12
IL,17
CA,6
VA,51
FL,12
OR,41
CO,8
TN,47
TX,48
AZ,4
GA,13
MI,26
CA,6
CO,8
CA,6
MA,25
UT,49
CA,6
NC,37
CA,6
GA,13
NV,32
IL,17
FL,12
PA,42
MT,30
NY,36
TX,48
GA,13
FL,12
NY,36
GA,13
AZ,4
VA,51
TX,48
IL,17
NV,32
CA,6
CO,8
CA,6
MI,26
FL,12
TX,48
CA,6
AR,5
CA,6
AZ,4
VA,51
FL,12
CA,6
FL,12
NV,32
AZ,4
NC,37
GA,13
CA,6
NC,37
IL,17
TX,48
TX,48
TX,48
IL,17
TX,48
AZ,4
VA,51
CT,9
CA,6
PA,42
CA,6
CA,6
CA,6
NC,37
CO,8
NY,36
NY,36
NY,36
CA,6
IL,17
TX,48
TX,48
IA,19
TX,48
MD,24
UT,49
GA,13
TX,48
FL,12
TN,47
NY,36
WI,55
MN,27
GA,13
CA,6
NM,35
VI,78
WY,56
CA,6
CA,6
NY,36
FL,12
GA,13
NJ,34
NC,37
CO,8
VA,51
GA,13
NV,32
NC,37
GA,13
NY,36
NY,36
NJ,34
CA,6
WY,56
WA,53
FL,12
MO,29
FL,12
NJ,34
NY,36
NV,32
TX,48
AZ,4
IL,17
CA,6
PA,42
WA,53
CA,6
TX,48
TX,48
AL,1
GA,13
TX,48
CA,6
TX,48
NC,37
KY,21
NC,37
GA,13
FL,12
MD,24
CA,6
CA,6
TX,48
NV,32
CA,6
CA,6
PR,72
CA,6
CA,6
HI,15
AR,5
HI,15
MA,25
CO,8
IN,18
CA,6
MD,24
VI,78
NY,36
FL,12
CA,6
NY,36
TX,48
TX,48
FL,12
VA,51
GA,13
MN,27
NY,36
IL,17
OH,39
CA,6
IL,17
FL,12
ID,16
TN,47
NC,37
LA,22
OR,41
CO,8
CA,6
CA,6
CA,6
VA,51
CO,8
GA,13
AK,2
AL,1
OK,40
NY,36
FL,12
SC,45
OH,39
GA,13
GA,13
FL,12
CA,6
OK,40
WA,53
TX,48
MD,24
HI,15
CO,8
CO,8
OK,40
TX,48
FL,12
IL,17
NY,36
HI,15
CA,6
NY,36
CO,8
IL,17
FL,12
FL,12
IL,17
TN,47
AZ,4
CA,6
VA,51
NJ,34
CO,8
MD,24
FL,12
TX,48
CA,6
RI,44
FL,12
LA,22
MD,24
AZ,4
IA,19
FL,12
TX,48
TX,48
VA,51
TX,48
CO,8
FL,12
TX,48
AK,2
MD,24
CA,6
AZ,4
FL,12
CA,6
FL,12
CA,6
VA,51
NC,37
